Субъект РФ;Год;Ввод в действие жилых домов (всего тыс. кв.м. общей площади жилых помещений)
Тамбовская область;2019;920
Тверская область;2019;640
Тульская область;2019;651
Ярославская область;2019;778
г. Москва;2019;5176
Северо-Западный федеральный округ;2019;9439
Республика Карелия;2019;277
Республика Коми;2019;237
Архангельская область;2019;332
в том числе: ;2019;0
Ненецкий автономный округ;2019;10
Архангельская область без автономного округа;2019;322
Вологодская область;2019;585
Калининградская область;2019;973
Ленинградская область;2019;2930
Мурманская область;2019;45
Новгородская область;2019;287
Псковская область;2019;302
г. Санкт-Петербург;2019;3471
Южный             федеральный округ;2019;9920
Республика Адыгея;2019;257
Республика Калмыкия;2019;101
Республика Крым;2019;800
Краснодарский край;2019;4532
Астраханская область;2019;319
Волгоградская область;2019;731
Ростовская область;2019;2611
г. Севастополь;2019;569
Северо-Кавказский        федеральный округ;2019;4028
Республика Дагестан;2019;1019
Республика Ингушетия;2019;280
Кабардино-Балкарская Республика;2019;474
Карачаево-Черкесская Республика;2019;212
Республика Северная Осетия - Алания;2019;229
Чеченская Республика;2019;637
Ставропольский край;2019;1177
Приволжский федеральный округ;2019;16190
Республика Башкортостан;2019;2372
Республика Марий Эл;2019;398
Республика Мордовия;2019;348
Республика Татарстан;2019;2676
Удмуртская Республика;2019;760
Чувашская Республика;2019;656
Пермский край;2019;1173
Кировская область;2019;504
Нижегородская область ;2019;1410
Оренбургская область;2019;994
Пензенская область;2019;837
Самарская область;2019;1841
Саратовская область;2019;1202
Ульяновская область;2019;1019
Уральский         федеральный округ;2019;6735
Курганская область;2019;251
Свердловская область ;2019;2415
Тюменская область;2019;2563
в том числе:;2019;0
Ханты-Мансийский автономный округ - Югра;2019;802
Ямало-Ненецкий автономный округ;2019;146
Тюменская область  без автономных округов;2019;1615
Челябинская область;2019;1507
Сибирский        федеральный округ;2019;7438
Республика Алтай;2019;99
Республика Тыва;2019;112
Республика Хакасия;2019;248
Алтайский край;2019;758
Красноярский край;2019;1696
Иркутская область;2019;1024
Кемеровская область;2019;766
Новосибирская область ;2019;1759
Омская область;2019;538
Томская область;2019;439
Дальневосточный федеральный округ;2019;2514
Республика Бурятия;2019;268
Республика Саха (Якутия);2019;562
Забайкальский край;2019;217
Камчатский край;2019;45
Приморский край;2019;559
Хабаровский край ;2019;295
Амурская область;2019;205
Магаданская область;2019;7
Сахалинская область;2019;332
Еврейская автономная область;2019;23
Чукотский автономный округ;2019;1
Центральный федеральный округ;2020;25533
Белгородская область;2020;1149
Брянская область;2020;427
Владимирская область;2020;726
Воронежская область;2020;1726
Ивановская область;2020;333
Калужская область;2020;819
Костромская область;2020;259
Курская область;2020;523
Липецкая область;2020;1232
Московская область;2020;9040
Орловская область;2020;440
Рязанская область;2020;647
Смоленская область;2020;444
Тамбовская область;2020;703
Тверская область;2020;660
Тульская область;2020;680
Ярославская область;2020;746
г. Москва;2020;4979
Северо-Западный федеральный округ;2020;9163
Республика Карелия;2020;294
Республика Коми;2020;204
Архангельская область;2020;374
в том числе: ;2020;0
Ненецкий автономный округ;2020;22
Архангельская область без автономного округа;2020;352
Вологодская область;2020;500
Калининградская область;2020;1164
Ленинградская область;2020;2666
Мурманская область;2020;36
Новгородская область;2020;283
Псковская область;2020;273
г. Санкт-Петербург;2020;3370
Южный             федеральный округ;2020;10701
Республика Адыгея;2020;258
Республика Калмыкия;2020;88
Республика Крым;2020;809
Краснодарский край;2020;5124
Астраханская область;2020;365
Волгоградская область;2020;771
Ростовская область;2020;2644
г. Севастополь;2020;642
Северо-Кавказский        федеральный округ;2020;3996
Республика Дагестан;2020;970
Республика Ингушетия;2020;180
Кабардино-Балкарская Республика;2020;500
Карачаево-Черкесская Республика;2020;128
Республика Северная Осетия - Алания;2020;239
Чеченская Республика;2020;756
Ставропольский край;2020;1222
Приволжский федеральный округ;2020;15775
Республика Башкортостан;2020;2455
Республика Марий Эл;2020;370
Республика Мордовия;2020;325
Республика Татарстан;2020;2680
Удмуртская Республика;2020;803
Чувашская Республика;2020;578
Пермский край;2020;1215
Кировская область;2020;460
Нижегородская область ;2020;1477
Оренбургская область;2020;967
Пензенская область;2020;852
Самарская область;2020;1401
Саратовская область;2020;1159
Ульяновская область;2020;1034
Уральский         федеральный округ;2020;6954
Курганская область;2020;267
Свердловская область ;2020;2372
Тюменская область;2020;2742
в том числе:;2020;0
Ханты-Мансийский автономный округ - Югра;2020;993
Ямало-Ненецкий автономный округ;2020;167
Тюменская область  без автономных округов;2020;1581
Челябинская область;2020;1572
Сибирский        федеральный округ;2020;7488
Республика Алтай;2020;89
Республика Тыва;2020;111
Республика Хакасия;2020;288
Алтайский край;2020;826
Красноярский край;2020;1307
Иркутская область;2020;1106
Кемеровская область;2020;825
Новосибирская область ;2020;1944
Омская область;2020;541
Томская область;2020;452
Дальневосточный федеральный округ;2020;2555
Республика Бурятия;2020;276
Республика Саха (Якутия);2020;530
Забайкальский край;2020;180
Камчатский край;2020;68
Приморский край;2020;650
Хабаровский край ;2020;229
Амурская область;2020;156
Магаданская область;2020;9
Сахалинская область;2020;440
Еврейская автономная область;2020;14
Чукотский автономный округ;2020;2
Центральный федеральный округ;2021;29198
Белгородская область;2021;1165
Брянская область;2021;451
Владимирская область;2021;829
Воронежская область;2021;1864
Ивановская область;2021;363
Калужская область;2021;862
Костромская область;2021;335
Курская область;2021;566
Липецкая область;2021;1235
Московская область;2021;9215
Орловская область;2021;308
Рязанская область;2021;757
Смоленская область;2021;483
Тамбовская область;2021;766
Тверская область;2021;597
Тульская область;2021;836
Ярославская область;2021;760
г. Москва;2021;7807
Северо-Западный федеральный округ;2021;10377
Республика Карелия;2021;325
Республика Коми;2021;179
Архангельская область;2021;440
в том числе: ;2021;0
Ненецкий автономный округ;2021;18
Архангельская область без автономного округа;2021;423
Вологодская область;2021;639
Калининградская область;2021;1271
Ленинградская область;2021;3386
Мурманская область;2021;51
Новгородская область;2021;307
Псковская область;2021;314
г. Санкт-Петербург;2021;3464
Южный             федеральный округ;2021;11999
Республика Адыгея;2021;307
Республика Калмыкия;2021;122
Республика Крым;2021;743
Краснодарский край;2021;6283
Астраханская область;2021;543
Волгоградская область;2021;797
Ростовская область;2021;2686
г. Севастополь;2021;518
Северо-Кавказский        федеральный округ;2021;4719
Республика Дагестан;2021;1031
Республика Ингушетия;2021;112
Кабардино-Балкарская Республика;2021;514
Карачаево-Черкесская Республика;2021;235
Республика Северная Осетия - Алания;2021;322
Чеченская Республика;2021;1025
Ставропольский край;2021;1479
Приволжский федеральный округ;2021;17404
Республика Башкортостан;2021;2906
Республика Марий Эл;2021;372
Республика Мордовия;2021;341
Республика Татарстан;2021;3011
Удмуртская Республика;2021;841
Чувашская Республика;2021;717
Пермский край;2021;1317
Кировская область;2021;509
Нижегородская область ;2021;1591
Оренбургская область;2021;1102
Пензенская область;2021;856
Самарская область;2021;1803
Саратовская область;2021;1181
Ульяновская область;2021;858
Уральский         федеральный округ;2021;7673
Курганская область;2021;281
Свердловская область ;2021;2888
Тюменская область;2021;2777
в том числе:;2021;0
Ханты-Мансийский автономный округ - Югра;2021;898
Ямало-Ненецкий автономный округ;2021;173
Тюменская область  без автономных округов;2021;1706
Челябинская область;2021;1727
Сибирский        федеральный округ;2021;8075
Республика Алтай;2021;151
Республика Тыва;2021;109
Республика Хакасия;2021;317
Алтайский край;2021;989
Красноярский край;2021;1346
Иркутская область;2021;1204
Кемеровская область;2021;840
Новосибирская область ;2021;2005
Омская область;2021;639
Томская область;2021;477
Дальневосточный федеральный округ;2021;3115
Республика Бурятия;2021;279
Республика Саха (Якутия);2021;578
Забайкальский край;2021;204
Камчатский край;2021;60
Приморский край;2021;885
Хабаровский край ;2021;334
Амурская область;2021;226
Магаданская область;2021;11
Сахалинская область;2021;503
Еврейская автономная область;2021;30
Чукотский автономный округ;2021;3
