Субъект РФ;Год;Ввод в действие жилых домов (всего тыс. кв.м. общей площади жилых помещений)
Рязанская область;2007;456.6
Смоленская область;2007;300.3
Тамбовская область;2007;501.7
Тверская область;2007;418.7
Тульская область;2007;322.2
Ярославская область;2007;420.3
г. Москва;2007;4824.6
Северо-Западный федеральный округ;2007;5659
Республика Карелия;2007;131.4
Республика Коми;2007;196.6
Архангельская область;2007;259.6
в том числе: ;2007;0
Ненецкий автономный округ;2007;36.7
Архангельская область без автономного округа;2007;223
Вологодская область;2007;488.7
Калининградская область;2007;753.3
Ленинградская область;2007;844
Мурманская область;2007;12.7
Новгородская область;2007;204.5
Псковская область;2007;131.3
г. Санкт-Петербург;2007;2636.9
Южный             федеральный округ;2007;7043.7
Республика Адыгея;2007;68.7
Республика Калмыкия;2007;77.7
Республика Крым;2007;0
Краснодарский край;2007;3704.1
Астраханская область;2007;725.3
Волгоградская область;2007;762.3
Ростовская область;2007;1705.6
г. Севастополь;2007;0
Северо-Кавказский        федеральный округ;2007;2527.6
Республика Дагестан;2007;800.1
Республика Ингушетия;2007;231
Кабардино-Балкарская Республика;2007;237
Карачаево-Черкесская Республика;2007;92.9
Республика Северная Осетия - Алания;2007;175.5
Чеченская Республика;2007;45.3
Ставропольский край;2007;945.8
Приволжский федеральный округ;2007;12288.6
Республика Башкортостан;2007;1856.8
Республика Марий Эл;2007;283.7
Республика Мордовия;2007;242.8
Республика Татарстан;2007;2040.7
Удмуртская Республика;2007;483
Чувашская Республика;2007;1004.5
Пермский край;2007;884.1
Кировская область;2007;375.8
Нижегородская область ;2007;1072
Оренбургская область;2007;752.4
Пензенская область;2007;554.3
Самарская область;2007;1287
Саратовская область;2007;1022.1
Ульяновская область;2007;429.4
Уральский         федеральный округ;2007;5592.6
Курганская область;2007;194.5
Свердловская область ;2007;1658.8
Тюменская область;2007;2066.2
в том числе:;2007;0
Ханты-Мансийский автономный округ - Югра;2007;872.2
Ямало-Ненецкий автономный округ;2007;253.5
Тюменская область  без автономных округов;2007;940
Челябинская область;2007;1673.1
Сибирский        федеральный округ;2007;6412
Республика Алтай;2007;51.8
Республика Тыва;2007;33.1
Республика Хакасия;2007;163.2
Алтайский край;2007;598.2
Красноярский край;2007;1159.1
Иркутская область;2007;575.1
Кемеровская область;2007;1010.4
Новосибирская область ;2007;1274.7
Омская область;2007;1103.8
Томская область;2007;442.8
Дальневосточный федеральный округ;2007;1803
Республика Бурятия;2007;270.6
Республика Саха (Якутия);2007;320.2
Забайкальский край;2007;232.7
Камчатский край;2007;21
Приморский край;2007;366.7
Хабаровский край ;2007;265.8
Амурская область;2007;169
Магаданская область;2007;14.8
Сахалинская область;2007;105.6
Еврейская автономная область;2007;30
Чукотский автономный округ;2007;6.6
Центральный федеральный округ;2008;19134.2
Белгородская область;2008;1112.2
Брянская область;2008;321.7
Владимирская область;2008;419.4
Воронежская область;2008;1120.5
Ивановская область;2008;170.8
Калужская область;2008;631.5
Костромская область;2008;149
Курская область;2008;447.1
Липецкая область;2008;721.9
Московская область;2008;7881.2
Орловская область;2008;326
Рязанская область;2008;502.9
Смоленская область;2008;344.9
Тамбовская область;2008;560.4
Тверская область;2008;347.3
Тульская область;2008;417.1
Ярославская область;2008;396.9
г. Москва;2008;3263.5
Северо-Западный федеральный округ;2008;6562.9
Республика Карелия;2008;147
Республика Коми;2008;184.3
Архангельская область;2008;346.8
в том числе: ;2008;0
Ненецкий автономный округ;2008;63.9
Архангельская область без автономного округа;2008;283
Вологодская область;2008;545.4
Калининградская область;2008;800.6
Ленинградская область;2008;908
Мурманская область;2008;9.4
Новгородская область;2008;258.5
Псковская область;2008;151.4
г. Санкт-Петербург;2008;3211.6
Южный             федеральный округ;2008;7288.7
Республика Адыгея;2008;80.8
Республика Калмыкия;2008;59.3
Республика Крым;2008;0
Краснодарский край;2008;3937.6
Астраханская область;2008;382.4
Волгоградская область;2008;820.2
