Субъекты РФ;Год;Доходы консолидированных бюджетов субъектов российской федерации (млн. руб.);Расходы консолидированных бюджетов субъектов российской федерации (млн. руб.)
Ростовская область;2004;36073.2;35346.6
г. Севастополь;2004;0;0
Северо-Кавказский      федеральный округ;2004;0;0
Республика Дагестан;2004;19055.2;19564.3
Республика Ингушетия;2004;4350.9;4188.8
Кабардино-Балкарская Республика;2004;6395;6466.3
Карачаево-Черкесская Республика;2004;4425.2;4630.1
Республика Северная   Осетия – Алания ;2004;8266.2;8092
Чеченская Республика;2004;25038;24668.5
Ставропольский край;2004;22724.8;22896.6
Приволжский    федеральный округ;2004;0;0
Республика Башкортостан;2004;48586.1;48252.3
Республика Марий Эл;2004;7051.4;7356.9
Республика Мордовия;2004;21467.8;19447.9
Республика Татарстан;2004;75004.4;79373.9
Удмуртская Республика;2004;17694.1;18281.8
Чувашская Республика;2004;12641.3;13165.8
Пермский край;2004;42015.7;38851.1
Кировская область;2004;14321.9;15091.7
Нижегородская область;2004;34151.3;33506.5
Оренбургская область;2004;23052.9;22362.8
Пензенская область;2004;12454.4;12405.3
Самарская область;2004;42820.2;42029.9
Саратовская область;2004;22333.6;23286.6
Ульяновская область;2004;11385.9;11267.8
Уральский        федеральный округ;2004;0;0
Курганская область;2004;9373.4;9336.4
Свердловская область;2004;53211;52584.3
Тюменская область;2004;49671.5;34101.5
Челябинская область;2004;43933.6;37012.3
Ханты-Мансийский      автономный округ – Югра;2004;143810.3;117658.6
Ямало-Ненецкий автономный округ;2004;53801.7;51343.1
Сибирский     федеральный округ;2004;0;0
Республика Алтай;2004;5067.3;5086.8
Республика Тыва;2004;5822.7;5957.3
Республика Хакасия;2004;6428.6;6200.3
Алтайский край;2004;24099.8;24680.3
Красноярский край;2004;68216.9;64530.1
Иркутская область;2004;33611.4;34820.2
Кемеровская область;2004;46850.3;43641.9
Новосибирская область;2004;30269.7;33745.3
Омская область;2004;33389;30107.6
Томская область;2004;15884.4;16360.6
Дальневосточный федеральный округ;2004;0;0
Республика Бурятия;2004;14297.8;14165.1
Республика Саха (Якутия);2004;42888.3;46342.3
Забайкальский край;2004;18704.7;18462
Камчатский край;2004;11556.1;12530
Приморский край;2004;28757;28741.6
Хабаровский край;2004;28850.7;33813.7
Амурская область;2004;15266.5;15773.5
Магаданская область;2004;7585.1;7805.1
Сахалинская область;2004;14410.4;15414.7
Еврейская автономная    область;2004;3115.1;3001.1
Чукотский автономный округ;2004;16877.5;14387.7
Центральный федеральный округ;2005;0;0
Белгородская область;2005;24730.7;25783.9
Брянская область;2005;13453.8;14105.8
Владимирская область;2005;15822.6;15413.1
Воронежская область;2005;25090.4;24463.6
Ивановская область;2005;13207.7;13140.4
Калужская область;2005;14605.3;14953.7
Костромская область;2005;8270.6;8959.6
Курская область;2005;15163.4;14744.7
Липецкая область;2005;21953.1;24550.6
Московская область;2005;139118.3;140922.8
Орловская область;2005;9687.6;9783.1
Рязанская область;2005;14180.2;14825.1
Смоленская область;2005;11283.6;10892.1
Тамбовская область;2005;12699;12612.2
Тверская область;2005;18588.3;18903.5
Тульская область;2005;20735.1;20495.7
Ярославская область;2005;23107.4;23505.7
г. Москва;2005;523277.8;503760.2
Северо-Западный федеральный округ;2005;0;0
Республика Карелия;2005;13816.8;13536.1
Республика Коми;2005;24480.2;23506.5
Архангельская область;2005;22450.9;22230.8
Вологодская область;2005;26376.8;28099.3
Калининградская область;2005;15145.1;15166.8
Ленинградская область;2005;28147.4;29285.1
Мурманская область;2005;17217.5;17237.8
Новгородская область;2005;11132.9;10581
Псковская область;2005;9164.6;8635.4
г. Санкт-Петербург;2005;142718.5;136264.4
Ненецкий автономный округ;2005;4737;5349.3
Южный               федеральный округ;2005;0;0
Республика Адыгея;2005;4698.7;4626.7
Республика Калмыкия;2005;3790.8;4338.9
Республика Крым;2005;0;0
Краснодарский край;2005;61558.4;60032.7
Астраханская область;2005;11792.4;12529.3
Волгоградская область;2005;29562.7;30044.8
Ростовская область;2005;47087.7;46328.1
г. Севастополь;2005;0;0
Северо-Кавказский      федеральный округ;2005;0;0
Республика Дагестан;2005;22579.9;23053.5
Республика Ингушетия;2005;5539.9;5633.4
Кабардино-Балкарская Республика;2005;8627.7;8959.3
Карачаево-Черкесская Республика;2005;5233.3;5260.8
Республика Северная   Осетия – Алания ;2005;9831.9;10238.3
Чеченская Республика;2005;16753.3;15357.2
Ставропольский край;2005;28998.2;29289.2
Приволжский    федеральный округ;2005;0;0
Республика Башкортостан;2005;60323.5;55848.1
Республика Марий Эл;2005;8188;8197
Республика Мордовия;2005;19406;19855.3
Республика Татарстан;2005;87257.9;87822.9
Удмуртская Республика;2005;21505.4;21736.6
Чувашская Республика;2005;15001;15679.4
Пермский край;2005;49701.9;46527.3
Кировская область;2005;17269.3;18255.6
Нижегородская область;2005;40637.4;41448.5
Оренбургская область;2005;29394.7;29407.3
Пензенская область;2005;14200.8;14625.3
Самарская область;2005;55591.4;52914.4
Саратовская область;2005;26759.1;27906.6
Ульяновская область;2005;14017.7;13349.6
Уральский        федеральный округ;2005;0;0
Курганская область;2005;11334.8;11090.9
Свердловская область;2005;67585;64736.4
Тюменская область;2005;134745.7;98704.2
Челябинская область;2005;46249.3;46836.1
Ханты-Мансийский      автономный округ – Югра;2005;142732;130307.9
Ямало-Ненецкий автономный округ;2005;58886.8;52172.4
Сибирский     федеральный округ;2005;0;0
Республика Алтай;2005;5799.1;6001.1
Республика Тыва;2005;6867.9;6751
Республика Хакасия;2005;7292;7151.8
Алтайский край;2005;29397.8;28301.3
Красноярский край;2005;67536.8;72292.4
Иркутская область;2005;43957.2;45588.4
Кемеровская область;2005;57207.8;57655.4
Новосибирская область;2005;40637;41698.6
Омская область;2005;41487.6;41548.8
Томская область;2005;20163.6;20247.5
Дальневосточный федеральный округ;2005;0;0
Республика Бурятия;2005;15557.6;15836.2
Республика Саха (Якутия);2005;51754;64514.4
Забайкальский край;2005;18784.6;19412.3
Камчатский край;2005;14834.5;15728.1
Приморский край;2005;33564.7;33116.7
Хабаровский край;2005;33013.1;35083.8
Амурская область;2005;18372.2;18000.6
Магаданская область;2005;9024.4;9121.6
Сахалинская область;2005;17191.1;17241.7
Еврейская автономная    область;2005;3341.4;3342
Чукотский автономный округ;2005;13150.4;14069.3
Центральный федеральный округ;2006;0;0
Белгородская область;2006;29485;31098.5
Брянская область;2006;17588.2;17786.2
Владимирская область;2006;21514.1;21023.1
Воронежская область;2006;30439.5;30041.8
Ивановская область;2006;17604.5;17474.3
Калужская область;2006;17427.7;18800
Костромская область;2006;10231.7;10910.8
Курская область;2006;16700.1;16398.8
Липецкая область;2006;27933.8;27287.4
Московская область;2006;175120;181416.7
Орловская область;2006;11181.6;10930.4
Рязанская область;2006;17728;18051.4
Смоленская область;2006;13620.5;13292.7
Тамбовская область;2006;15202.4;14907.4
Тверская область;2006;24273.4;24110.8
Тульская область;2006;23781.3;25183
Ярославская область;2006;26447.2;28337.6
г. Москва;2006;757936.7;691329.8
Северо-Западный федеральный округ;2006;0;0
Республика Карелия;2006;15601.9;16646.3
Республика Коми;2006;30067.4;29394.8
Архангельская область;2006;27462.1;27129
Вологодская область;2006;32671.2;32161.5
Калининградская область;2006;20745.9;20906.5
Ленинградская область;2006;37107;34603.1
Мурманская область;2006;29138.7;28997
Новгородская область;2006;12056.5;12343.3
Псковская область;2006;11104.3;10069.2
г. Санкт-Петербург;2006;218098.7;186136.8
Ненецкий автономный округ;2006;7650.1;6613.4
Южный               федеральный округ;2006;0;0
Республика Адыгея;2006;5707.6;5545.5
Республика Калмыкия;2006;4580.3;4645.6
Республика Крым;2006;0;0
Краснодарский край;2006;81017.8;75884.5
Астраханская область;2006;15647.6;16868.7
Волгоградская область;2006;39882.9;40542.8
Ростовская область;2006;59596.1;58120.9
г. Севастополь;2006;0;0
Северо-Кавказский      федеральный округ;2006;0;0
Республика Дагестан;2006;27123.9;26554.6
Республика Ингушетия;2006;6439;6425
Кабардино-Балкарская Республика;2006;11088.7;10561.6
Карачаево-Черкесская Республика;2006;6248.3;6325.8
Республика Северная   Осетия – Алания ;2006;11416.8;11316.8
Чеченская Республика;2006;31625.1;27376.1
Ставропольский край;2006;35720.4;34486.2
