Субъекты РФ;Год;Экспорт (млн. дол. США);Импорт (млн. дол. США)
Костромская область;2004;152.3;344
Курская область;2004;137.1;191.8
Липецкая область;2004;171.8;178.3
Московская область;2004;3216.1;527.7
Орловская область;2004;2977.2;5210.2
Рязанская область;2004;150.5;213.3
Смоленская область;2004;270.9;163.1
Тамбовская область;2004;546.8;188.9
Тверская область;2004;54.2;89.2
Тульская область;2004;114.4;175
Ярославская область;2004;1689.7;255.8
г. Москва;2004;462.7;297.5
Северо-Западный федеральный округ;2004;54464.7;26942.7
Республика Карелия;2004;16353.7;13554.3
Республика Коми;2004;805.4;182.7
Архангельская область;2004;700;129.1
в том числе: ;2004;849.6;132.9
Ненецкий автономный округ;2004;0;0
Архангельская область без автономного округа;2004;0;0
Вологодская область;2004;849.6;132.9
Калининградская область;2004;2694.6;339.9
Ленинградская область;2004;598.1;2845.3
Мурманская область;2004;4748.5;2075.4
Новгородская область;2004;1036.3;119.2
Псковская область;2004;531.5;199.2
г. Санкт-Петербург;2004;271.9;283.8
Южный             федеральный округ;2004;4117.8;7246.7
Республика Адыгея;2004;4120.7;3154.4
Республика Калмыкия;2004;5.5;18.4
Республика Крым;2004;63.4;64.9
Краснодарский край;2004;0;0
Астраханская область;2004;904.3;943.2
Волгоградская область;2004;195.6;85.2
Ростовская область;2004;1381.1;411
г. Севастополь;2004;1570.8;1631.7
Северо-Кавказский        федеральный округ;2004;0;0
Республика Дагестан;2004;1129.1;282.6
Республика Ингушетия;2004;49.9;68.5
Кабардино-Балкарская Республика;2004;599.6;16
Карачаево-Черкесская Республика;2004;15.9;8.5
Республика Северная Осетия - Алания;2004;9.1;8.1
Чеченская Республика;2004;39.3;41.9
Ставропольский край;2004;0;0.1
Приволжский федеральный округ;2004;415.3;139.5
Республика Башкортостан;2004;23246.9;4121.2
Республика Марий Эл;2004;3808.7;325
Республика Мордовия;2004;64.7;33.7
Республика Татарстан;2004;65.5;44.8
Удмуртская Республика;2004;5243.5;414.8
Чувашская Республика;2004;261.7;93.5
Пермский край;2004;141.8;84.1
Кировская область;2004;2710;233
Нижегородская область ;2004;347.4;185.3
Оренбургская область;2004;1419.6;1132.1
Пензенская область;2004;1685.4;69.5
Самарская область;2004;120.2;151.8
Саратовская область;2004;5808.4;979.6
Ульяновская область;2004;1396;296.1
Уральский         федеральный округ;2004;174;77.9
Курганская область;2004;32295.8;3802.9
Свердловская область ;2004;193;184.4
Тюменская область;2004;4917.3;1334.9
в том числе:;2004;22909.5;654.1
Ханты-Мансийский автономный округ - Югра;2004;0;0
Ямало-Ненецкий автономный округ;2004;14163.6;410.3
Тюменская область  без автономных округов;2004;289.6;158.5
Челябинская область;2004;8456.3;85.3
Сибирский        федеральный округ;2004;4276;1629.5
Республика Алтай;2004;20014.7;3229.9
Республика Тыва;2004;50.8;114.9
Республика Хакасия;2004;2.5;3.7
Алтайский край;2004;673;229.3
Красноярский край;2004;652.9;242.4
Иркутская область;2004;5210.5;656.6
Кемеровская область;2004;3380.1;681.3
Новосибирская область ;2004;4203.8;425
Омская область;2004;814.3;553.9
Томская область;2004;4165.1;259.9
Дальневосточный федеральный округ;2004;861.7;62.9
Республика Бурятия;2004;6379.4;2772.7
Республика Саха (Якутия);2004;288.7;27.2
Забайкальский край;2004;1684.3;51.7
Камчатский край;2004;84.8;101.7
Приморский край;2004;111;35
Хабаровский край ;2004;812.6;1351.5
Амурская область;2004;1836.2;282.9
Магаданская область;2004;99.6;50.6
Сахалинская область;2004;25.2;78.6
Еврейская автономная область;2004;707.8;759.9
Чукотский автономный округ;2004;5.4;4.8
Центральный федеральный округ;2005;241473;98708
Белгородская область;2005;96439.6;50164.1
Брянская область;2005;1418.1;1919.2
Владимирская область;2005;260.4;677
Воронежская область;2005;236.6;300.9
Ивановская область;2005;620.6;387.9
Калужская область;2005;124.2;228.6
Костромская область;2005;167.8;435.7
Курская область;2005;195.8;143.4
Липецкая область;2005;344;256.1
Московская область;2005;2795.1;535.7
Орловская область;2005;2091.4;6510.5
Рязанская область;2005;181.8;242.9
Смоленская область;2005;172.2;192.2
Тамбовская область;2005;677.3;282.4
Тверская область;2005;50.7;70.7
Тульская область;2005;123.2;207.4
Ярославская область;2005;2128.9;375.1
г. Москва;2005;355.3;198.7
Северо-Западный федеральный округ;2005;84496.2;37199.6
Республика Карелия;2005;19927.6;18811.1
Республика Коми;2005;998.6;183.4
Архангельская область;2005;696.3;224.2
в том числе: ;2005;1037.3;131.7
Ненецкий автономный округ;2005;0;0
Архангельская область без автономного округа;2005;12.9;1.5
Вологодская область;2005;1024.4;130.2
Калининградская область;2005;3016.3;316.4
Ленинградская область;2005;859.6;3796.6
Мурманская область;2005;6048.9;3206.2
Новгородская область;2005;1190.7;210.4
Псковская область;2005;763.2;299.3
г. Санкт-Петербург;2005;402.1;327.4
Южный             федеральный округ;2005;4914.5;10115.6
Республика Адыгея;2005;5707.8;4233.8
Республика Калмыкия;2005;3.1;7.6
Республика Крым;2005;148.6;73.6
Краснодарский край;2005;0;0
Астраханская область;2005;1425.9;1406.6
Волгоградская область;2005;247;152.1
Ростовская область;2005;2067.2;546.4
г. Севастополь;2005;1816;2047.5
Северо-Кавказский        федеральный округ;2005;0;0
Республика Дагестан;2005;1390.8;460.7
Республика Ингушетия;2005;123.9;182.1
Кабардино-Балкарская Республика;2005;497.5;21
Карачаево-Черкесская Республика;2005;47.4;12.3
Республика Северная Осетия - Алания;2005;17.3;12.7
Чеченская Республика;2005;63.5;54.8
Ставропольский край;2005;0;0
Приволжский федеральный округ;2005;641.2;177.8
Республика Башкортостан;2005;31454.2;5288.1
Республика Марий Эл;2005;6455.6;478.9
Республика Мордовия;2005;54;30.9
Республика Татарстан;2005;58.6;86.5
Удмуртская Республика;2005;8962.2;564.2
Чувашская Республика;2005;412.7;211.6
Пермский край;2005;188.4;92.5
Кировская область;2005;2980.7;320.5
Нижегородская область ;2005;389.8;47.1
Оренбургская область;2005;1672.9;1013.4
Пензенская область;2005;2077;795.8
Самарская область;2005;66.8;78
Саратовская область;2005;6260;1046.1
Ульяновская область;2005;1681.9;453.9
Уральский         федеральный округ;2005;193.6;68.7
Курганская область;2005;41827.1;3997.7
Свердловская область ;2005;182.1;158.4
Тюменская область;2005;6013.7;1590.4
в том числе:;2005;30725;693.8
Ханты-Мансийский автономный округ - Югра;2005;0;0
Ямало-Ненецкий автономный округ;2005;11615.2;434.2
Тюменская область  без автономных округов;2005;532.2;130.4
Челябинская область;2005;18577.6;129.2
Сибирский        федеральный округ;2005;4906.3;1555.1
Республика Алтай;2005;25158.4;3772.9
Республика Тыва;2005;32.1;102.6
Республика Хакасия;2005;3;4.2
Алтайский край;2005;703.8;326.3
Красноярский край;2005;744.1;205.3
Иркутская область;2005;6214.9;647.2
Кемеровская область;2005;3307.4;837.3
Новосибирская область ;2005;4905.8;697
Омская область;2005;954.1;608
Томская область;2005;7180.3;290.1
Дальневосточный федеральный округ;2005;1112.9;54.9
Республика Бурятия;2005;9413.1;5849.4
Республика Саха (Якутия);2005;228.3;42
Забайкальский край;2005;2151.8;70.6
Камчатский край;2005;246.7;165.8
Приморский край;2005;148.6;40.3
Хабаровский край ;2005;1049.2;2208.1
Амурская область;2005;2808.5;561.4
Магаданская область;2005;164.7;113.9
Сахалинская область;2005;19.9;80.4
Еврейская автономная область;2005;1062.7;2486.9
Чукотский автономный округ;2005;8.4;9.1
Центральный федеральный округ;2006;301455;137710
Белгородская область;2006;122914.1;73878
Брянская область;2006;1609;2659.8
Владимирская область;2006;162.7;641.1
Воронежская область;2006;253.9;533.7
Ивановская область;2006;752.5;470.6
Калужская область;2006;147.7;259.4
Костромская область;2006;206.1;555.5
Курская область;2006;208.1;125.1
Липецкая область;2006;349.7;362.8
Московская область;2006;3065.1;768.6
Орловская область;2006;2723;9648.5
Рязанская область;2006;179.9;228.5
Смоленская область;2006;199.5;204.7
Тамбовская область;2006;651;467.5
Тверская область;2006;55.6;189.3
Тульская область;2006;194.4;239.7
Ярославская область;2006;2265.1;370.5
г. Москва;2006;387.5;226.2
Северо-Западный федеральный округ;2006;109503.4;55926.7
Республика Карелия;2006;30154;26011.3
Республика Коми;2006;1206;210.9
Архангельская область;2006;838.1;174.4
в том числе: ;2006;1580.8;388.9
Ненецкий автономный округ;2006;0;0
Архангельская область без автономного округа;2006;1.2;2.6
Вологодская область;2006;1579.6;386.3
Калининградская область;2006;2413.5;384.7
Ленинградская область;2006;1248;5156.8
Мурманская область;2006;6829.6;4690.2
Новгородская область;2006;2078.3;145.4
Псковская область;2006;833.4;249.1
г. Санкт-Петербург;2006;459.1;440.3
Южный             федеральный округ;2006;12667.1;14170.5
Республика Адыгея;2006;7287;5435.3
Республика Калмыкия;2006;6.6;12.8
Республика Крым;2006;114.4;44.2
Краснодарский край;2006;0;0
Астраханская область;2006;2085.4;1860.4
Волгоградская область;2006;313.5;230.6
Ростовская область;2006;2679.8;502.2
г. Севастополь;2006;2087.3;2785.1
Северо-Кавказский        федеральный округ;2006;0;0
Республика Дагестан;2006;1159.8;652.7
Республика Ингушетия;2006;61.7;285.7
Кабардино-Балкарская Республика;2006;239;16.8
Карачаево-Черкесская Республика;2006;25.4;27.4
Республика Северная Осетия - Алания;2006;30.7;17
Чеченская Республика;2006;113.3;62
Ставропольский край;2006;0;0.4
Приволжский федеральный округ;2006;689.7;243.4
Республика Башкортостан;2006;37055.7;6358.2
Республика Марий Эл;2006;7656.1;468.6
Республика Мордовия;2006;70.4;29.6
Республика Татарстан;2006;63.7;98.3
Удмуртская Республика;2006;10611.1;922.5
Чувашская Республика;2006;794.5;268.7
Пермский край;2006;266.4;105.3
Кировская область;2006;3092.1;488.8
Нижегородская область ;2006;629.9;90.6
Оренбургская область;2006;1830.6;932.9
Пензенская область;2006;2096;1103.5
Самарская область;2006;111.8;89.4
Саратовская область;2006;7799.1;1102.8
Ульяновская область;2006;1737.3;530.4
Уральский         федеральный округ;2006;296.7;126.8
Курганская область;2006;53247.8;4913.9
Свердловская область ;2006;146.3;245.4
Тюменская область;2006;7690.8;2135.7
в том числе:;2006;40069;845.7
Ханты-Мансийский автономный округ - Югра;2006;0;0
Ямало-Ненецкий автономный округ;2006;16060.7;491.8
Тюменская область  без автономных округов;2006;830.4;92.8
Челябинская область;2006;23177.9;261.1
Сибирский        федеральный округ;2006;5341.7;1687.1
Республика Алтай;2006;27609.1;5387.8
Республика Тыва;2006;22.1;170.6
Республика Хакасия;2006;2;15.7
Алтайский край;2006;1243.5;524.8
Красноярский край;2006;594.1;308.7
Иркутская область;2006;8454.2;1059.6
Кемеровская область;2006;4375;1055.4
Новосибирская область ;2006;6332.2;687.8
Омская область;2006;1046.7;1018.2
