Субъекты РФ;Год;Экспорт (млн. дол. США);Импорт (млн. дол. США)
Приволжский федеральный округ;2014;1126.2;885.1
Республика Башкортостан;2014;63727.6;17639.8
Республика Марий Эл;2014;13854.3;1186.5
Республика Мордовия;2014;230.1;146.1
Республика Татарстан;2014;228.4;115.3
Удмуртская Республика;2014;18105.8;4208
Чувашская Республика;2014;1310.6;835.7
Пермский край;2014;179.5;281.4
Кировская область;2014;7989.2;1162.3
Нижегородская область ;2014;1031.4;266.5
Оренбургская область;2014;5507.1;3302.5
Пензенская область;2014;3119.2;1112.9
Самарская область;2014;189.9;223.7
Саратовская область;2014;10017;3584.5
Ульяновская область;2014;1382.4;720.9
Уральский         федеральный округ;2014;582.7;493.5
Курганская область;2014;37735.5;8684.1
Свердловская область ;2014;326.7;140.3
Тюменская область;2014;8527.8;3705.9
в том числе:;2014;23638;2077
Ханты-Мансийский автономный округ - Югра;2014;0;0
Ямало-Ненецкий автономный округ;2014;20477.5;1281.9
Тюменская область  без автономных округов;2014;507.8;208.9
Челябинская область;2014;2652.7;586.2
Сибирский        федеральный округ;2014;5243;2760.9
Республика Алтай;2014;33474;7375.3
Республика Тыва;2014;25.6;41.9
Республика Хакасия;2014;0.5;10.6
Алтайский край;2014;1929.9;328.9
Красноярский край;2014;735.7;432.6
Иркутская область;2014;7731;1479.4
Кемеровская область;2014;7133.9;1553.1
Новосибирская область ;2014;12741.2;695.7
Омская область;2014;1893.8;1934.9
Томская область;2014;842.5;428.5
Дальневосточный федеральный округ;2014;439.9;469.7
Республика Бурятия;2014;30177.7;11350.6
Республика Саха (Якутия);2014;1278.9;146.1
Забайкальский край;2014;5050.2;75.1
Камчатский край;2014;217.6;551.3
Приморский край;2014;520.7;87.1
Хабаровский край ;2014;3972.6;7555.2
Амурская область;2014;1437.7;818.2
Магаданская область;2014;383.4;501.1
Сахалинская область;2014;462.1;112.9
Еврейская автономная область;2014;16696.7;1306.5
Чукотский автономный округ;2014;23.5;70.6
Центральный федеральный округ;2015;343512;182903
Белгородская область;2015;168875.9;108797.8
Брянская область;2015;2426.1;1822.7
Владимирская область;2015;352;636.5
Воронежская область;2015;670.4;1212
Ивановская область;2015;1356.5;716.5
Калужская область;2015;138.1;470.2
Костромская область;2015;501.3;3264.2
Курская область;2015;286.3;122.5
Липецкая область;2015;396.3;481.9
Московская область;2015;3203.1;934.5
Орловская область;2015;4886.5;16272.1
Рязанская область;2015;161.8;293.4
Смоленская область;2015;358.2;513.5
Тамбовская область;2015;891.7;1492.1
Тверская область;2015;96.4;209.1
Тульская область;2015;238.7;463.7
Ярославская область;2015;2963.5;748.3
г. Москва;2015;811.5;580.1
Северо-Западный федеральный округ;2015;149137.6;78564.5
Республика Карелия;2015;39697.6;34008.8
Республика Коми;2015;690.1;146.1
Архангельская область;2015;1674.6;173.8
в том числе: ;2015;2048;125.9
Ненецкий автономный округ;2015;0;0
Архангельская область без автономного округа;2015;0;0.7
Вологодская область;2015;2048;125.2
Калининградская область;2015;3359.1;676.3
Ленинградская область;2015;2741.9;7966.7
Мурманская область;2015;10004.9;3151.5
Новгородская область;2015;2205.6;366.4
Псковская область;2015;1040.1;623.4
г. Санкт-Петербург;2015;206.5;530.5
Южный             федеральный округ;2015;15726.8;20248.3
Республика Адыгея;2015;13620.8;7617.7
Республика Калмыкия;2015;32;52.6
Республика Крым;2015;1.2;1.1
Краснодарский край;2015;79.5;100.2
Астраханская область;2015;6275.8;4004
Волгоградская область;2015;416.7;264.5
Ростовская область;2015;2052;1036
г. Севастополь;2015;4804.6;2121.1
Северо-Кавказский        федеральный округ;2015;18;38.2
Республика Дагестан;2015;1108.4;1072.8
Республика Ингушетия;2015;55.4;305.7
Кабардино-Балкарская Республика;2015;0.3;11.3
Карачаево-Черкесская Республика;2015;23;38.4
Республика Северная Осетия - Алания;2015;15.4;144.5
Чеченская Республика;2015;48.3;40
Ставропольский край;2015;1.8;14.9
Приволжский федеральный округ;2015;964.2;518
Республика Башкортостан;2015;42043.8;11398
Республика Марий Эл;2015;7518.2;648.6
Республика Мордовия;2015;411.3;84.4
Республика Татарстан;2015;121;122.2
Удмуртская Республика;2015;11408.3;2579.9
Чувашская Республика;2015;684.3;501.6
Пермский край;2015;143.1;222.1
Кировская область;2015;6356.3;672.2
Нижегородская область ;2015;906.5;152
Оренбургская область;2015;3163;2130
Пензенская область;2015;2463.9;654.3
Самарская область;2015;278.8;171
Саратовская область;2015;6736.3;2452
Ульяновская область;2015;1375.5;522.1
Уральский         федеральный округ;2015;477.3;485.6
Курганская область;2015;27282.3;7086.4
Свердловская область ;2015;279.6;73.4
Тюменская область;2015;7324;3057.9
в том числе:;2015;15302.2;1986.6
Ханты-Мансийский автономный округ - Югра;2015;0;0
Ямало-Ненецкий автономный округ;2015;12504.8;839.9
Тюменская область  без автономных округов;2015;669;720
Челябинская область;2015;2128.4;426.7
Сибирский        федеральный округ;2015;4376.5;1968.5
Республика Алтай;2015;28449.8;6277.9
Республика Тыва;2015;45.3;14.2
Республика Хакасия;2015;19.8;2.8
Алтайский край;2015;1630.4;295.9
Красноярский край;2015;663.5;255.7
Иркутская область;2015;6555.7;1487.4
Кемеровская область;2015;6196.2;1388.2
Новосибирская область ;2015;10346.6;638.4
Омская область;2015;1891.8;1256.8
Томская область;2015;790.4;369.5
Дальневосточный федеральный округ;2015;310.1;569
Республика Бурятия;2015;22404.7;6460
Республика Саха (Якутия);2015;1567.5;112.7
Забайкальский край;2015;3785.6;187
Камчатский край;2015;204;464.5
Приморский край;2015;554.9;63.4
Хабаровский край ;2015;2707.9;3631.6
Амурская область;2015;1145.4;473.7
Магаданская область;2015;398.6;276.9
Сахалинская область;2015;330.9;45.6
Еврейская автономная область;2015;11583.7;1092.9
Чукотский автономный округ;2015;37.3;40.8
Центральный федеральный округ;2016;285653;182448
Белгородская область;2016;137289;109435.9
Брянская область;2016;2185.7;1401.2
Владимирская область;2016;214.4;584.2
Воронежская область;2016;633.7;1202.4
Ивановская область;2016;1145.5;822.5
Калужская область;2016;146.4;440.9
Костромская область;2016;707.7;4062.7
Курская область;2016;286.4;157.6
Липецкая область;2016;452.7;437.1
Московская область;2016;3036.5;921.9
Орловская область;2016;4761.1;18779.4
Рязанская область;2016;176.9;195.2
Смоленская область;2016;399.6;535.5
Тамбовская область;2016;950.4;1491.5
Тверская область;2016;122.2;154.3
Тульская область;2016;201.1;425.4
Ярославская область;2016;2861;818.6
г. Москва;2016;626.7;651
Северо-Западный федеральный округ;2016;118381;76354.5
Республика Карелия;2016;31855.1;32157.7
Республика Коми;2016;669.8;179.5
Архангельская область;2016;838.6;126.2
в том числе: ;2016;2088.4;217.8
Ненецкий автономный округ;2016;0;0
Архангельская область без автономного округа;2016;0;0
Вологодская область;2016;2088.4;217.8
Калининградская область;2016;2881.5;603.8
Ленинградская область;2016;1238.9;5808.2
Мурманская область;2016;4808.6;2681.5
Новгородская область;2016;2465.6;395.4
Псковская область;2016;937.8;437.4
г. Санкт-Петербург;2016;123;372.7
Южный             федеральный округ;2016;15802.8;21335.3
Республика Адыгея;2016;12850;7001.3
Республика Калмыкия;2016;23.9;51.5
Республика Крым;2016;1.5;0
Краснодарский край;2016;47.8;67
Астраханская область;2016;5588.8;3634.2
Волгоградская область;2016;320.8;357.7
Ростовская область;2016;1315.4;670.8
г. Севастополь;2016;5545.7;2186.6
Северо-Кавказский        федеральный округ;2016;6;33.5
Республика Дагестан;2016;981.9;1013.1
Республика Ингушетия;2016;47.3;207.7
Кабардино-Балкарская Республика;2016;1.2;18
Карачаево-Черкесская Республика;2016;25.6;49.3
Республика Северная Осетия - Алания;2016;16.1;123.4
Чеченская Республика;2016;59;45.3
Ставропольский край;2016;1;37.1
Приволжский федеральный округ;2016;831.7;532.3
Республика Башкортостан;2016;31466.3;10321.4
Республика Марий Эл;2016;5712.4;629.8
Республика Мордовия;2016;220.9;50.6
Республика Татарстан;2016;158.4;129.3
Удмуртская Республика;2016;9316.3;2687.2
Чувашская Республика;2016;511.8;270.7
Пермский край;2016;145.8;232.8
Кировская область;2016;4183.3;713.3
Нижегородская область ;2016;710.3;192
Оренбургская область;2016;2761.8;2056.3
Пензенская область;2016;2152.8;405.1
Самарская область;2016;204.8;157.2
Саратовская область;2016;3826.8;1884
Ульяновская область;2016;1136.1;475.2
Уральский         федеральный округ;2016;424.8;437.9
Курганская область;2016;26904.8;10843.3
Свердловская область ;2016;204.8;72.9
Тюменская область;2016;7118.8;2551
в том числе:;2016;15679.9;6383.3
Ханты-Мансийский автономный округ - Югра;2016;0;0
Ямало-Ненецкий автономный округ;2016;11949.1;761
Тюменская область  без автономных округов;2016;1678.3;5084.8
Челябинская область;2016;2052.5;537.5
Сибирский        федеральный округ;2016;3901.3;1836.1
Республика Алтай;2016;24511.6;5230.9
Республика Тыва;2016;29.8;15.8
Республика Хакасия;2016;53.7;4
Алтайский край;2016;1418.9;249.9
Красноярский край;2016;666.7;301.7
Иркутская область;2016;4824.8;1236.9
Кемеровская область;2016;5373.3;1015.6
Новосибирская область ;2016;9602.5;501.2
Омская область;2016;1812;1377.8
Томская область;2016;499;269.8
Дальневосточный федеральный округ;2016;230.9;258.2
Республика Бурятия;2016;19815.1;6263.4
Республика Саха (Якутия);2016;960;59.1
Забайкальский край;2016;4463.5;98.5
Камчатский край;2016;214.8;412.2
Приморский край;2016;570.6;88.2
Хабаровский край ;2016;2175.5;3187.7
Амурская область;2016;1546.2;418.8
Магаданская область;2016;340.2;165.8
Сахалинская область;2016;415.7;48.5
Еврейская автономная область;2016;8998.7;1705
Чукотский автономный округ;2016;34.5;27.3
Центральный федеральный округ;2017;357766.8499;227464.288
Белгородская область;2017;174915.1933;140460.8913
Брянская область;2017;2790.00859;1609.952283
Владимирская область;2017;272.5435943;724.8592283
Воронежская область;2017;670.3945616;1482.052026
Ивановская область;2017;1322.896633;1308.331694
Калужская область;2017;164.1368176;498.2928072
Костромская область;2017;1330.946885;5288.506706
Курская область;2017;278.9227608;160.5659053
Липецкая область;2017;622.0054223;452.4954891
Московская область;2017;4324.498799;1284.252215
Орловская область;2017;6579.971216;23671.50168
Рязанская область;2017;222.0741888;236.212328
Смоленская область;2017;996.650559;637.2123315
Тамбовская область;2017;1094.592385;1761.993598
Тверская область;2017;168.5577349;213.5164503
Тульская область;2017;238.8638207;502.3500553
Ярославская область;2017;3766.690105;1053.948676
г. Москва;2017;824.8512096;774.6229792
Северо-Западный федеральный округ;2017;149246.5881;98800.22483
Республика Карелия;2017;41364.1674;35983.0329
Республика Коми;2017;1061.0405;240.5792447
Архангельская область;2017;979.0035658;134.175126
в том числе: ;2017;2406.437169;192.8399556
Ненецкий автономный округ;2017;0;0
Архангельская область без автономного округа;2017;0.0046803;0
Вологодская область;2017;2406.437169;192.9
Калининградская область;2017;3419.17812;663.0025816
Ленинградская область;2017;1269.231703;7208.239895
Мурманская область;2017;5652.906972;3585.621678
Новгородская область;2017;3492.996197;358.419282
Псковская область;2017;1054.821673;389.3672542
г. Санкт-Петербург;2017;213.5815858;359.3810825
Южный             федеральный округ;2017;21814.96523;22851.4068
Республика Адыгея;2017;16192.19303;8499.646431
Республика Калмыкия;2017;38.7861745;48.948607
Республика Крым;2017;0.4493648;0.0258151
Краснодарский край;2017;30.0287787;63.5622609
Астраханская область;2017;7000.976604;4604.550937
Волгоградская область;2017;720.0782477;159.5862187
Ростовская область;2017;1551.765313;718.6223661
г. Севастополь;2017;6844.652923;2889.482162
Северо-Кавказский        федеральный округ;2017;5.4556582;14.868064
Республика Дагестан;2017;1166.783748;1136.303132
Республика Ингушетия;2017;55.3517449;155.3241786
Кабардино-Балкарская Республика;2017;3.6663037;9.1053571
Карачаево-Черкесская Республика;2017;25.0490764;70.2031664
Республика Северная Осетия - Алания;2017;16.5016127;168.0611099
Чеченская Республика;2017;64.1830137;33.7477106
Ставропольский край;2017;1.8509514;44.2135623
Приволжский федеральный округ;2017;1000.181046;655.6480469
Республика Башкортостан;2017;37099.63404;13571.28778
Республика Марий Эл;2017;4270.926255;760.4515132
Республика Мордовия;2017;338.7974954;77.9827525
Республика Татарстан;2017;215.8370516;151.2130326
Удмуртская Республика;2017;13106.69071;3876.061773
Чувашская Республика;2017;327.9221421;290.1945996
Пермский край;2017;173.8266464;321.9577851
Кировская область;2017;4981.553914;678.4130543
Нижегородская область ;2017;808.7615682;357.7764405
Оренбургская область;2017;3919.559536;2880.982936
Пензенская область;2017;2455.673192;544.1088451
Самарская область;2017;246.8043746;256.2514635
Саратовская область;2017;4261.171862;2264.819852
Ульяновская область;2017;1304.953438;598.6316617
Уральский         федеральный округ;2017;687.1558586;512.4420719
Курганская область;2017;31850.69356;13968.0577
Свердловская область ;2017;111.4983365;72.7728798
Тюменская область;2017;6923.899871;3709.884435
в том числе:;2017;19845.28032;7488.211127
Ханты-Мансийский автономный округ - Югра;2017;0;0
Ямало-Ненецкий автономный округ;2017;14498.91789;546.2166747
Тюменская область  без автономных округов;2017;2406.122274;5118.300856
Челябинская область;2017;2940.240154;1823.693596
Сибирский        федеральный округ;2017;4970.015035;2697.189255
Республика Алтай;2017;31890.81981;6882.536933
Республика Тыва;2017;24.9286726;14.4172902
Республика Хакасия;2017;41.5953816;10.6242699
Алтайский край;2017;1919.463023;299.4465635
Красноярский край;2017;951.6299189;487.6418474
Иркутская область;2017;5956.183614;1301.202127
Кемеровская область;2017;6142.024181;1256.917657
Новосибирская область ;2017;13873.23701;646.2211552
Омская область;2017;2112.176981;2184.224086
Томская область;2017;613.9469772;362.3452854
Дальневосточный федеральный округ;2017;255.6340535;319.4966511
Республика Бурятия;2017;23287.36498;6962.531878
Республика Саха (Якутия);2017;756.0398926;83.0942638
Забайкальский край;2017;4800.213715;148.1929129
Камчатский край;2017;286.9452151;589.6010035
Приморский край;2017;700.3916785;110.7093352
Хабаровский край ;2017;3073.24103;3744.761341
Амурская область;2017;2138.787316;525.3934352
Магаданская область;2017;308.8003482;208.0731216
Сахалинская область;2017;405.0023512;69.3706156
Еврейская автономная область;2017;10574.59124;1391.281029
Чукотский автономный округ;2017;119.2022713;34.9410736
Центральный федеральный округ;2018;449563.6;238493.5
Белгородская область;2018;225756.8;150168.4
Брянская область;2018;3339.5;1486.5
Владимирская область;2018;325.9;809.5
Воронежская область;2018;843.8;1607.2
Ивановская область;2018;1576.8;928.4
Калужская область;2018;168;566.7
Костромская область;2018;1471.7;6004.2
Курская область;2018;339.1;139.4
Липецкая область;2018;683.5;522.4
Московская область;2018;5530.2;1129.1
Орловская область;2018;7095.2;27806.1
Рязанская область;2018;243.9;325
Смоленская область;2018;486.7;705.3
Тамбовская область;2018;1242.1;1917.3
Тверская область;2018;239.5;183.4
Тульская область;2018;299.5;602.8
Ярославская область;2018;3556;1082.3
г. Москва;2018;1213.2;778
Северо-Западный федеральный округ;2018;197102.2;103575
Республика Карелия;2018;50868.6;37573.6
Республика Коми;2018;1224.8;200.4
Архангельская область;2018;1022.6;206.3
в том числе: ;2018;2958.3;232.1
Ненецкий автономный округ;2018;0;0
Архангельская область без автономного округа;2018;0;0
Вологодская область;2018;2958.3;232.1
Калининградская область;2018;4711;711.1
Ленинградская область;2018;2000;8251.2
Мурманская область;2018;7112.3;4117.5
Новгородская область;2018;3648.6;330.3
Псковская область;2018;1343.1;440.7
г. Санкт-Петербург;2018;283.5;310.2
Южный             федеральный округ;2018;26564.2;22773.8
Республика Адыгея;2018;20457.5;9415.6
Республика Калмыкия;2018;40.4;55.8
Республика Крым;2018;0;4.6
Краснодарский край;2018;23.8;56.5
Астраханская область;2018;8441.7;4677.3
Волгоградская область;2018;951.1;646.8
Ростовская область;2018;1933.2;910.7
г. Севастополь;2018;9062.5;3054.3
Северо-Кавказский        федеральный округ;2018;4.6;9.5
Республика Дагестан;2018;1295.4;1050.8
Республика Ингушетия;2018;64.2;109.5
Кабардино-Балкарская Республика;2018;0.6;15.9
Карачаево-Черкесская Республика;2018;35.6;68.5
Республика Северная Осетия - Алания;2018;21.6;111.4
Чеченская Республика;2018;96.5;48.5
Ставропольский край;2018;3.7;53.6
Приволжский федеральный округ;2018;1072.8;643.4
Республика Башкортостан;2018;43570.3;14828.2
Республика Марий Эл;2018;4464.7;1019.4
Республика Мордовия;2018;467.5;95.7
Республика Татарстан;2018;287.1;218.5
Удмуртская Республика;2018;15476.5;3855
Чувашская Республика;2018;402.7;382.9
Пермский край;2018;207.7;358.3
Кировская область;2018;5387.4;793
Нижегородская область ;2018;893.9;323.2
Оренбургская область;2018;5494.3;3246.7
Пензенская область;2018;2758.7;529.6
Самарская область;2018;298.6;272.5
Саратовская область;2018;5047.2;2448.5
Ульяновская область;2018;1594.5;637.1
Уральский         федеральный округ;2018;789.3;647.8
Курганская область;2018;40953.4;9531
Свердловская область ;2018;216.8;82.7
Тюменская область;2018;8566.7;4519.1
в том числе:;2018;26915.6;2153.4
Ханты-Мансийский автономный округ - Югра;2018;0;0
Ямало-Ненецкий автономный округ;2018;20154.2;497.4
Тюменская область  без автономных округов;2018;2999.9;137.7
Челябинская область;2018;3761.5;1518.3
Сибирский        федеральный округ;2018;5254.2;2775.8
Республика Алтай;2018;37460.4;9096.5
Республика Тыва;2018;23.7;15.6
Республика Хакасия;2018;128;13.1
Алтайский край;2018;2213.7;369.4
Красноярский край;2018;1138.2;510.5
Иркутская область;2018;6785.9;2099.9
Кемеровская область;2018;6991.6;1769.4
Новосибирская область ;2018;16435.6;892.7
Омская область;2018;2597;2703.4
Томская область;2018;825.6;397
Дальневосточный федеральный округ;2018;321.1;325.5
Республика Бурятия;2018;29201.2;6829.4
Республика Саха (Якутия);2018;950;105.2
Забайкальский край;2018;4643;271.7
Камчатский край;2018;433.9;548.5
Приморский край;2018;843.1;74
Хабаровский край ;2018;3414.8;4138.1
Амурская область;2018;2581.9;538.8
Магаданская область;2018;371.8;312.8
Сахалинская область;2018;407.2;65.2
Еврейская автономная область;2018;15272.7;690.6
Чукотский автономный округ;2018;149.6;29.1
Центральный федеральный округ;2019;424467.6;244348.4
Белгородская область;2019;211619.2;154549.5
Брянская область;2019;3264.9;1487.4
Владимирская область;2019;388.2;883.7
Воронежская область;2019;642.3;1496.7
Ивановская область;2019;1226.5;906.5
Калужская область;2019;183.3;539.5
Костромская область;2019;1161.6;6682
Курская область;2019;721.6;147.5
Липецкая область;2019;793;601
Московская область;2019;3766.5;1227.4
Орловская область;2019;7859.1;27538
Рязанская область;2019;246.9;343.9
Смоленская область;2019;1311.2;672.4
Тамбовская область;2019;1133;1954.3
Тверская область;2019;227.2;239
Тульская область;2019;350.4;573
Ярославская область;2019;3035.8;1185.5
г. Москва;2019;1038.9;733.9
Северо-Западный федеральный округ;2019;184269;107338
Республика Карелия;2019;50816.9;37760.9
Республика Коми;2019;991.9;191.4
Архангельская область;2019;1002.9;152.8
в том числе: ;2019;2541.2;281.5
Ненецкий автономный округ;2019;0;0
Архангельская область без автономного округа;2019;624;0.2
Вологодская область;2019;1917.2;281.3
Калининградская область;2019;4306.9;828.8
Ленинградская область;2019;1509;7998.7
Мурманская область;2019;6849.6;3928.3
Новгородская область;2019;4076.1;335.2
Псковская область;2019;1600.3;588.7
г. Санкт-Петербург;2019;270.7;322.1
Южный             федеральный округ;2019;27668.2;23133.7
Республика Адыгея;2019;17830.7;8219
Республика Калмыкия;2019;28.6;68.3
Республика Крым;2019;5.1;0.7
Краснодарский край;2019;33.7;60.4
Астраханская область;2019;7414.3;4303.1
Волгоградская область;2019;507.3;131.6
Ростовская область;2019;1560.5;779.2
г. Севастополь;2019;8275;2869.3
Северо-Кавказский        федеральный округ;2019;6.4;6.2
Республика Дагестан;2019;1401.3;948.8
Республика Ингушетия;2019;62.8;108.4
Кабардино-Балкарская Республика;2019;4.2;6.2
Карачаево-Черкесская Республика;2019;63.5;25
Республика Северная Осетия - Алания;2019;49.9;19
Чеченская Республика;2019;71.1;61.4
Ставропольский край;2019;59.6;6.7
Приволжский федеральный округ;2019;1225.3;586.7
Республика Башкортостан;2019;39531.6;14265
Республика Марий Эл;2019;4256.9;764.6
Республика Мордовия;2019;347.1;97.3
Республика Татарстан;2019;269.9;174
Удмуртская Республика;2019;12866.4;3168.8
Чувашская Республика;2019;619.4;384.3
Пермский край;2019;200.7;325.6
Кировская область;2019;5781.5;1150.4
Нижегородская область ;2019;773.8;376.4
Оренбургская область;2019;4896.3;3434
Пензенская область;2019;2052.9;297.7
Самарская область;2019;308.4;252.4
Саратовская область;2019;4667.3;2432.3
Ульяновская область;2019;1368.6;676.9
Уральский         федеральный округ;2019;1122.4;730.3
Курганская область;2019;38042.2;10477.6
Свердловская область ;2019;253.1;129.2
Тюменская область;2019;7351.7;4743.2
в том числе:;2019;26105;2589.9
Ханты-Мансийский автономный округ - Югра;2019;0;0
Ямало-Ненецкий автономный округ;2019;19348.5;467.7
Тюменская область  без автономных округов;2019;4950.3;152.9
Челябинская область;2019;1806.2;1969.3
Сибирский        федеральный округ;2019;4332.3;3015.2
Республика Алтай;2019;36318;9656.3
Республика Тыва;2019;37.5;14.6
Республика Хакасия;2019;103.6;16.7
Алтайский край;2019;1761;328.6
Красноярский край;2019;1207.1;526
Иркутская область;2019;6787.1;2481.6
Кемеровская область;2019;7006.9;1645.9
Новосибирская область ;2019;14885.7;864.9
Омская область;2019;3199.6;2916.6
Томская область;2019;1013.7;473.7
Дальневосточный федеральный округ;2019;315.6;387.5
Республика Бурятия;2019;28832.9;8421.7
Республика Саха (Якутия);2019;910.4;95.8
Забайкальский край;2019;4051.7;281.2
Камчатский край;2019;633.3;377.9
Приморский край;2019;869.4;178.2
Хабаровский край ;2019;4064.2;5211.1
Амурская область;2019;1870;897.1
Магаданская область;2019;480.4;276
Сахалинская область;2019;463.6;68.9
Еврейская автономная область;2019;15188.2;951.1
Чукотский автономный округ;2019;118.4;23.5
Центральный федеральный округ;2020;337105.3;231668
Белгородская область;2020;163419.1;147197.5
Брянская область;2020;3144.1;1422.6
Владимирская область;2020;379.2;1025
Воронежская область;2020;718.3;1346.9
Ивановская область;2020;1068.7;992.5
Калужская область;2020;182.6;562.9
Костромская область;2020;1027.3;5963.9
Курская область;2020;3665.3;150.1
Липецкая область;2020;834;618.4
Московская область;2020;3203.6;1177.1
Орловская область;2020;6840.8;25404.7
Рязанская область;2020;289.6;274.8
Смоленская область;2020;502.9;721.4
Тамбовская область;2020;1003.7;1981.4
Тверская область;2020;400;214.6
Тульская область;2020;439.9;532.8
Ярославская область;2020;3053;1125.2
г. Москва;2020;949.7;626
Северо-Западный федеральный округ;2020;135716.3;103057.3
Республика Карелия;2020;42242.8;34528
Республика Коми;2020;695;223.8
Архангельская область;2020;824.4;133
в том числе: ;2020;2086.7;232.3
Ненецкий автономный округ;2020;0;0
Архангельская область без автономного округа;2020;445.5;0
Вологодская область;2020;1641.2;232.3
Калининградская область;2020;4218.1;808.9
Ленинградская область;2020;1716.1;6759.5
Мурманская область;2020;5398.7;3576.2
Новгородская область;2020;4729;328
Псковская область;2020;1348.9;567.2
г. Санкт-Петербург;2020;208.5;309.7
Южный             федеральный округ;2020;21017.4;21589.4
Республика Адыгея;2020;16997.5;8133.4
Республика Калмыкия;2020;25.3;54
Республика Крым;2020;2.5;0.3
Краснодарский край;2020;33.9;41.2
Астраханская область;2020;5637.6;4521.3
Волгоградская область;2020;657.3;335.9
Ростовская область;2020;1887.8;648.8
г. Севастополь;2020;8748.1;2526.9
Северо-Кавказский        федеральный округ;2020;4.7;5.1
Республика Дагестан;2020;1303.3;891.1
Республика Ингушетия;2020;56.3;108.2
Кабардино-Балкарская Республика;2020;4.2;9
Карачаево-Черкесская Республика;2020;31.9;80.2
Республика Северная Осетия - Алания;2020;15.2;47.5
Чеченская Республика;2020;124.2;43.7
Ставропольский край;2020;12.9;32.9
Приволжский федеральный округ;2020;1058.5;569.5
Республика Башкортостан;2020;31203;13846.5
Республика Марий Эл;2020;3152.4;927.8
Республика Мордовия;2020;168.2;98.6
Республика Татарстан;2020;251.1;205.9
Удмуртская Республика;2020;8825.1;3640.3
Чувашская Республика;2020;497.3;358.6
Пермский край;2020;248.5;291
Кировская область;2020;4460.2;827.4
Нижегородская область ;2020;825.3;357.3
Оренбургская область;2020;4898;2936.7
Пензенская область;2020;1805.8;322.3
Самарская область;2020;403.6;301.5
Саратовская область;2020;3801.6;2271.3
Ульяновская область;2020;1371.2;762.1
Уральский         федеральный округ;2020;494.9;545.7
Курганская область;2020;27425.1;9849.9
Свердловская область ;2020;130.7;141.3
Тюменская область;2020;7663;5004.7
в том числе:;2020;15443.1;2265.9
Ханты-Мансийский автономный округ - Югра;2020;0;0
Ямало-Ненецкий автономный округ;2020;11052.7;360.5
Тюменская область  без автономных округов;2020;3914.1;307.9
Челябинская область;2020;476.4;1597.5
Сибирский        федеральный округ;2020;4188.3;2438
Республика Алтай;2020;30460.7;9157.9
Республика Тыва;2020;49.9;13.9
Республика Хакасия;2020;79;9.2
Алтайский край;2020;1636.3;308.7
Красноярский край;2020;949.9;467.9
Иркутская область;2020;6395;2510.7
Кемеровская область;2020;5723.6;1548.6
Новосибирская область ;2020;11623.4;790.4
Омская область;2020;2932.3;2719.5
Томская область;2020;760.9;451.3
Дальневосточный федеральный округ;2020;310.3;337.9
Республика Бурятия;2020;24053.7;8063.7
Республика Саха (Якутия);2020;1163.1;69.1
Забайкальский край;2020;3427.8;97.3
Камчатский край;2020;1074.3;445.3
Приморский край;2020;823.2;228.5
Хабаровский край ;2020;2844.8;5087.4
Амурская область;2020;1805.3;779.9
Магаданская область;2020;647.1;277.6
Сахалинская область;2020;457.2;83.4
Еврейская автономная область;2020;11323.8;901.8
Чукотский автономный округ;2020;198.3;9
Центральный федеральный округ;2021;493096.1;293531.1
Белгородская область;2021;252122.6;185610.2
Брянская область;2021;5052.5;1479.1
Владимирская область;2021;414.8;785.4
Воронежская область;2021;1137.7;1760.3
Ивановская область;2021;1508.9;1220.5
Калужская область;2021;272.6;796.4
Костромская область;2021;1513.3;7531.6
Курская область;2021;5480.9;253.5
Липецкая область;2021;1631.3;596.7
Московская область;2021;6824.1;1374.6
Орловская область;2021;11413.4;33561.7
Рязанская область;2021;418.8;396.2
Смоленская область;2021;1561;916.7
Тамбовская область;2021;1488.3;2391
Тверская область;2021;426.4;235.8
Тульская область;2021;605.8;678.4
Ярославская область;2021;3953.2;1797.1
г. Москва;2021;1134.4;855.2
Северо-Западный федеральный округ;2021;207285.3;128979.8
Республика Карелия;2021;61026.6;42863
Республика Коми;2021;1232.3;405.4
Архангельская область;2021;1281.4;128.8
в том числе: ;2021;3207.3;374.4
Ненецкий автономный округ;2021;0;0
Архангельская область без автономного округа;2021;1119.9;6.1
Вологодская область;2021;2087.4;368.3
Калининградская область;2021;7165.7;630.6
Ленинградская область;2021;2384.8;8764.8
Мурманская область;2021;8369.8;4353.2
Новгородская область;2021;4668.8;543.4
Псковская область;2021;2550;565.6
г. Санкт-Петербург;2021;256.3;472.5
Южный             федеральный округ;2021;29910;26624.5
Республика Адыгея;2021;23528.4;9614
Республика Калмыкия;2021;38.1;67.5
Республика Крым;2021;1;0.5
Краснодарский край;2021;36.6;31.7
Астраханская область;2021;7566.8;5628
Волгоградская область;2021;1022.8;138.8
Ростовская область;2021;3289;761.1
г. Севастополь;2021;11568.7;2981.5
Северо-Кавказский        федеральный округ;2021;5.5;4.9
Республика Дагестан;2021;1768.5;1092.4
Республика Ингушетия;2021;68.1;146.5
Кабардино-Балкарская Республика;2021;6.2;5.4
Карачаево-Черкесская Республика;2021;21.5;78.6
Республика Северная Осетия - Алания;2021;16.1;40.4
Чеченская Республика;2021;122.8;33.5
Ставропольский край;2021;23.1;49.2
Приволжский федеральный округ;2021;1510.9;738.7
Республика Башкортостан;2021;44248.8;17277.3
