Субъект РФ;Год;Среднегодовая численность занятых (тыс. чел);Численность безработных (тыс. чел);Численность незанятых граждан, состоящих на учете в органах службы занятости населения в целях поиска подходящей работы (тыс. чел)
Красноярский край;2001;1409.1;148;45.3
Иркутская область;2001;1141.5;145;27.2
Кемеровская область;2001;1246.2;142;27.6
Новосибирская область ;2001;1125.6;162;14.2
Омская область;2001;954.8;98;19.8
Томская область;2001;464.7;51;16.1
Дальневосточный федеральный округ;2001;4054.3;522;145
Республика Бурятия;2001;394.3;81;11.9
Республика Саха (Якутия);2001;462.6;39;9.3
Забайкальский край;2001;459.8;82;31.4
Камчатский край;2001;182.3;31;7.5
Приморский край;2001;970.7;96;28.9
Хабаровский край ;2001;680.6;77;28.5
Амурская область;2001;426;54;11.8
Магаданская область;2001;103.3;13;6
Сахалинская область;2001;268.7;36;7.5
Еврейская автономная область;2001;72;9;1.1
Чукотский автономный округ;2001;34.1;2;1.2
Центральный федеральный округ;2002;17927.8;1000;288.7
Белгородская область;2002;673.4;58;9.5
Брянская область;2002;601.1;54;13.8
Владимирская область;2002;716;84;20.5
Воронежская область;2002;1091.8;101;21.7
Ивановская область;2002;483.2;39;11.1
Калужская область;2002;482;35;5.2
Костромская область;2002;326.4;18;5.9
Курская область;2002;607.9;44;10.1
Липецкая область;2002;572.8;30;4.8
Московская область;2002;2494.4;152;48.6
Орловская область;2002;415.3;30;6.9
Рязанская область;2002;555.7;50;8.4
Смоленская область;2002;482;60;5.7
Тамбовская область;2002;502.9;53;16.2
Тверская область;2002;642;35;6.7
Тульская область;2002;772.9;49;10.5
Ярославская область;2002;675.7;27;13.2
г. Москва;2002;5832.4;81;70
Северо-Западный федеральный округ;2002;6659.5;460;187.4
Республика Карелия;2002;342.9;30;12.6
Республика Коми;2002;463.9;49;17.1
Архангельская область;2002;609;58;21
в том числе: ;2002;0;0;0
Ненецкий автономный округ;2002;24.3;2;1
Архангельская область без автономного округа;2002;584.7;56;20
Вологодская область;2002;623.9;39;15.4
Калининградская область;2002;414;35;11
Ленинградская область;2002;718.3;59;14.8
Мурманская область;2002;436.8;54;23.7
Новгородская область;2002;315;22;5.1
Псковская область;2002;323.8;28;9.9
г. Санкт-Петербург;2002;2412;86;56.8
Южный             федеральный округ;2002;5966.3;644;88.1
Республика Адыгея;2002;156.5;27;5.7
Республика Калмыкия;2002;117.8;25;4.1
Республика Крым;2002;0;0;0
Краснодарский край;2002;2122.3;186;21
Астраханская область;2002;429.8;52;11.6
Волгоградская область;2002;1244.9;114;19.5
Ростовская область;2002;1895;240;26.1
г. Севастополь;2002;0;0;0
Северо-Кавказский        федеральный округ;2002;2719.9;581;307.2
Республика Дагестан;2002;819.7;260;53.5
Республика Ингушетия;2002;68.9;66;22.1
Кабардино-Балкарская Республика;2002;321.5;72;11.1
Карачаево-Черкесская Республика;2002;151.5;24;2.9
Республика Северная Осетия - Алания;2002;272;44;5.4
Чеченская Республика;2002;…;…;199.1
Ставропольский край;2002;1086.4;116;13
Приволжский федеральный округ;2002;14481;1199;282.9
Республика Башкортостан;2002;1769;161;35.7
Республика Марий Эл;2002;324.3;51;9.6
Республика Мордовия;2002;401.4;40;9.1
Республика Татарстан;2002;1722.5;100;25
Удмуртская Республика;2002;782;65;18
Чувашская Республика;2002;611.2;63;14.6
Пермский край;2002;1392.7;131;21.8
Кировская область;2002;707;56;32.8
Нижегородская область ;2002;1699.6;141;16.8
Оренбургская область;2002;1036.9;105;8.5
Пензенская область;2002;680.8;51;19.8
Самарская область;2002;1552.2;94;31.5
Саратовская область;2002;1195.6;98;23.2
Ульяновская область;2002;605.9;43;16.6
Уральский         федеральный округ;2002;5879;509;127.1
Курганская область;2002;436.5;51;12
Свердловская область ;2002;2040.8;195;44.1
Тюменская область;2002;1829.1;152;38.5
в том числе:;2002;0;0;0
Ханты-Мансийский автономный округ - Югра;2002;878;80;21.4
Ямало-Ненецкий автономный округ;2002;330.9;21;9.5
Тюменская область  без автономных округов;2002;620.2;51;7.6
Челябинская область;2002;1572.7;110;32.4
Сибирский        федеральный округ;2002;7864.7;869;263.2
Республика Алтай;2002;81.5;10;3
Республика Тыва;2002;100.8;26;12.6
Республика Хакасия;2002;237;21;9.2
Алтайский край;2002;1096.3;106;45.8
Красноярский край;2002;1415.1;120;49.8
Иркутская область;2002;1131.5;142;30.4
Кемеровская область;2002;1249;135;49.7
Новосибирская область ;2002;1133.5;154;19.4
Омская область;2002;950.5;95;21.2
Томская область;2002;469.4;59;22.2
Дальневосточный федеральный округ;2002;4075.4;436;152.5
Республика Бурятия;2002;393;70;9
Республика Саха (Якутия);2002;462.5;35;8.9
Забайкальский край;2002;469.4;63;25.2
Камчатский край;2002;181.2;24;10
Приморский край;2002;968.7;97;42.5
Хабаровский край ;2002;696.4;52;26.5
Амурская область;2002;428.7;48;13.6
Магаданская область;2002;98.1;9;6.1
Сахалинская область;2002;269.1;27;8.2
Еврейская автономная область;2002;75.8;9;1.5
Чукотский автономный округ;2002;32.3;2;1
Центральный федеральный округ;2003;18054;1002;286.9
Белгородская область;2003;668.3;60;10.7
Брянская область;2003;602.3;48;13.2
Владимирская область;2003;714.2;81;19.5
Воронежская область;2003;1065.9;92;27.4
Ивановская область;2003;476.1;36;11.5
Калужская область;2003;480;33;4.4
Костромская область;2003;325.2;22;5.3
Курская область;2003;591.6;50;10.1
Липецкая область;2003;556.4;27;5
Московская область;2003;2582.8;160;44.7
Орловская область;2003;409.1;34;7
Рязанская область;2003;532.7;49;7.4
Смоленская область;2003;480.2;56;5.5
Тамбовская область;2003;502.2;50;14.7
Тверская область;2003;630.6;47;6.2
Тульская область;2003;770.7;43;12.2
Ярославская область;2003;666.3;41;13.3
г. Москва;2003;5999.3;74;68.8
Северо-Западный федеральный округ;2003;6676.8;516;170.3
Республика Карелия;2003;350.3;31;12.6
Республика Коми;2003;465;67;16.5
Архангельская область;2003;609.7;70;18.9
в том числе: ;2003;0;0;0
Ненецкий автономный округ;2003;26.2;2;1
Архангельская область без автономного округа;2003;583.5;68;17.8
