Субъект РФ;Год;Среднегодовая численность занятых (тыс. чел);Численность безработных (тыс. чел);Численность незанятых граждан, состоящих на учете в органах службы занятости населения в целях поиска подходящей работы (тыс. чел)
Смоленская область;2013;475.3;28;6.7
Тамбовская область;2013;504.1;25;5.1
Тверская область;2013;645.8;38;8.3
Тульская область;2013;761.3;34;7.6
Ярославская область;2013;640;30;11.5
г. Москва;2013;8459.1;117;36.3
Северо-Западный федеральный округ;2013;7363.2;327;86
Республика Карелия;2013;296.1;27;8
Республика Коми;2013;462.1;35;8.2
Архангельская область;2013;567.9;38;11.9
в том числе: ;2013;0;0;0
Ненецкий автономный округ;2013;33.4;2;0.4
Архангельская область без автономного округа;2013;534.4;37;11.5
Вологодская область;2013;559.2;38;9.4
Калининградская область;2013;476.5;30;6.5
Ленинградская область;2013;847.6;41;5.1
Мурманская область;2013;405.4;34;8.3
Новгородская область;2013;308.7;16;3.5
Псковская область;2013;314.5;24;4.9
г. Санкт-Петербург;2013;3125.2;43;20.2
Южный             федеральный округ;2013;6493.1;452;79.9
Республика Адыгея;2013;156;17;2.7
Республика Калмыкия;2013;113;18;3.3
Республика Крым;2013;0;0;0
Краснодарский край;2013;2550.1;160;29.7
Астраханская область;2013;482.2;40;6.4
Волгоградская область;2013;1229.3;89;16.1
Ростовская область;2013;1962.5;129;21.7
г. Севастополь;2013;0;0;0
Северо-Кавказский        федеральный округ;2013;3711.8;586;224.2
Республика Дагестан;2013;1057.4;153;27.4
Республика Ингушетия;2013;143;88;26
Кабардино-Балкарская Республика;2013;359.2;44;8.8
Карачаево-Черкесская Республика;2013;177.5;22;4.3
Республика Северная Осетия - Алания;2013;300.7;28;11
Чеченская Республика;2013;452.2;175;129
Ставропольский край;2013;1221.8;77;17.6
Приволжский федеральный округ;2013;14511.2;767;164.2
Республика Башкортостан;2013;1849.1;116;24.7
Республика Марий Эл;2013;312;19;3.2
Республика Мордовия;2013;406.5;20;4
Республика Татарстан;2013;1941.5;81;18.7
Удмуртская Республика;2013;750;47;9.1
Чувашская Республика;2013;567.1;38;5.5
Пермский край;2013;1230.4;87;25
Кировская область;2013;605.3;38;9.7
Нижегородская область ;2013;1710.7;76;11
Оренбургская область;2013;983.5;53;13.7
Пензенская область;2013;635.5;34;7.2
Самарская область;2013;1735.6;56;16.3
Саратовская область;2013;1183.7;66;12.2
Ульяновская область;2013;600.2;37;3.8
Уральский         федеральный округ;2013;6482.7;373;84
Курганская область;2013;373.4;33;7.5
Свердловская область ;2013;2154.3;136;33.5
Тюменская область;2013;2214.8;90;14.1
в том числе:;2013;0;0;0
Ханты-Мансийский автономный округ - Югра;2013;1041.5;44;6.1
Ямало-Ненецкий автономный округ;2013;396.1;10;2.7
Тюменская область  без автономных округов;2013;777.2;36;5.3
Челябинская область;2013;1740.2;113;28.9
Сибирский        федеральный округ;2013;8217.4;618;156.8
Республика Алтай;2013;85;12;2.5
Республика Тыва;2013;100.2;24;6
Республика Хакасия;2013;246.3;16;4.1
Алтайский край;2013;1090.1;96;24.6
Красноярский край;2013;1435.2;86;25
Иркутская область;2013;1156.6;104;24.5
Кемеровская область;2013;1305.4;85;28.2
Новосибирская область ;2013;1376.5;84;19.8
Омская область;2013;930.4;72;12.5
Томская область;2013;491.7;39;9.8
Дальневосточный федеральный округ;2013;4142.7;317;82.6
Республика Бурятия;2013;418.5;37;5.5
Республика Саха (Якутия);2013;482.7;37;10.2
Забайкальский край;2013;485.4;56;11
Камчатский край;2013;173.3;11;3.7
Приморский край;2013;973.8;76;17.3
Хабаровский край ;2013;708.6;42;14.7
Амурская область;2013;405.5;26;13.3
Магаданская область;2013;96.7;3;1.5
Сахалинская область;2013;291.5;21;3.3
Еврейская автономная область;2013;73;7;1.2
Чукотский автономный округ;2013;33.7;1;0.9
Центральный федеральный округ;2014;21390.2;655;182.4
Белгородская область;2014;764.5;32;8.3
Брянская область;2014;557.8;32;7.5
Владимирская область;2014;669.7;33;11.3
Воронежская область;2014;1117.8;53;12.6
Ивановская область;2014;455.9;23;6.4
Калужская область;2014;519;22;4.9
Костромская область;2014;307.6;15;3.7
Курская область;2014;529.5;23;6.3
Липецкая область;2014;599.3;22;4.4
Московская область;2014;3405.3;105;26.9
Орловская область;2014;340.6;20;4.5
Рязанская область;2014;513.6;24;4.9
Смоленская область;2014;470;27;8.5
Тамбовская область;2014;502.2;23;4.8
Тверская область;2014;640.3;38;8
Тульская область;2014;750;33;8.9
Ярославская область;2014;633.4;26;10.5
г. Москва;2014;8613.9;104;40.2
Северо-Западный федеральный округ;2014;7330.6;310;83.2
Республика Карелия;2014;290.1;26;7.4
Республика Коми;2014;446.8;29;8.5
Архангельская область;2014;562.2;44;11.5
в том числе: ;2014;0;0;0
Ненецкий автономный округ;2014;33.4;1;0.4
Архангельская область без автономного округа;2014;528.8;43;11.1
Вологодская область;2014;554.8;35;9.2
Калининградская область;2014;477.8;29;6.1
Ленинградская область;2014;843.1;43;4.6
Мурманская область;2014;396;31;8.2
Новгородская область;2014;304.2;12;3.8
Псковская область;2014;309.4;22;4.8
г. Санкт-Петербург;2014;3146.2;39;19.1
Южный             федеральный округ;2014;6436.1;434;81.1
Республика Адыгея;2014;155.5;17;3.1
Республика Калмыкия;2014;112.6;16;3.1
Республика Крым;2014;…;…;…
Краснодарский край;2014;2541.4;149;31.8
Астраханская область;2014;481.6;40;6.2
Волгоградская область;2014;1194;87;16.1
Ростовская область;2014;1951;126;20.8
г. Севастополь;2014;…;…;…
Северо-Кавказский        федеральный округ;2014;3742.4;507;196
Республика Дагестан;2014;1069.2;135;26.6
Республика Ингушетия;2014;150;63;30.5
Кабардино-Балкарская Республика;2014;357.7;41;8.6
Карачаево-Черкесская Республика;2014;175.7;30;4.3
Республика Северная Осетия - Алания;2014;298.3;29;9.2
Чеченская Республика;2014;466;136;99.6
Ставропольский край;2014;1225.5;73;17.2
Приволжский федеральный округ;2014;14449.4;703;169.5
Республика Башкортостан;2014;1839.3;105;24.1
Республика Марий Эл;2014;309.6;17;3.4
Республика Мордовия;2014;402.4;19;4.4
Республика Татарстан;2014;1947;81;16.7
Удмуртская Республика;2014;745.7;42;9.5
Чувашская Республика;2014;566.4;34;5.2
Пермский край;2014;1216;75;27.1
Кировская область;2014;602.8;34;9.6
Нижегородская область ;2014;1713.5;75;11
Оренбургская область;2014;959.9;46;17.3
Пензенская область;2014;633.6;33;6.4
Самарская область;2014;1741.3;53;19.4
Саратовская область;2014;1180.1;58;12
Ульяновская область;2014;591.8;31;3.5
Уральский         федеральный округ;2014;6462.1;375;86.3
Курганская область;2014;367.4;30;7.4
Свердловская область ;2014;2144.6;138;33.4
Тюменская область;2014;2217.6;91;14.8
в том числе:;2014;0;0;0
Ханты-Мансийский автономный округ - Югра;2014;1040.2;42;6.4
Ямало-Ненецкий автономный округ;2014;395.4;10;3
Тюменская область  без автономных округов;2014;782;38;5.5
Челябинская область;2014;1732.4;116;30.7
Сибирский        федеральный округ;2014;8166;593;150.8
Республика Алтай;2014;85;10;2.7
Республика Тыва;2014;98.6;24;5.8
Республика Хакасия;2014;240;16;4.5
Алтайский край;2014;1069.6;83;22.6
Красноярский край;2014;1427.3;76;22.2
Иркутская область;2014;1150.6;110;21.5
Кемеровская область;2014;1276.7;88;31.3
Новосибирская область ;2014;1397.7;74;18
Омская область;2014;934.5;70;12.9
Томская область;2014;485.8;42;9.5
Дальневосточный федеральный округ;2014;4103.8;311;76.3
Республика Бурятия;2014;405.5;38;5.7
Республика Саха (Якутия);2014;482.8;37;9.8
Забайкальский край;2014;480.4;54;11.5
Камчатский край;2014;169.5;11;3.4
Приморский край;2014;968.6;73;15.9
Хабаровский край ;2014;700.6;44;10.3
Амурская область;2014;406.3;24;13
Магаданская область;2014;96.3;3;1.7
Сахалинская область;2014;290;18;3
Еврейская автономная область;2014;70.8;7;0.9
Чукотский автономный округ;2014;33.3;1;1
Центральный федеральный округ;2015;21178;745;226.2
Белгородская область;2015;754;33;8.4
Брянская область;2015;547.7;29;8.9
Владимирская область;2015;664.4;42;13.9
Воронежская область;2015;1092.5;52;14.2
Ивановская область;2015;451.5;31;8
Калужская область;2015;508;23;5.5
Костромская область;2015;299.4;17;3.9
Курская область;2015;520.3;24;7.4
Липецкая область;2015;565.2;24;4.6
Московская область;2015;3366.9;129;38.8
Орловская область;2015;335.9;24;5.2
Рязанская область;2015;504.8;25;5.5
Смоленская область;2015;460.8;33;8.8
Тамбовская область;2015;499.8;24;5.1
Тверская область;2015;630.1;39;9.6
Тульская область;2015;742.6;33;7.7
Ярославская область;2015;635.9;37;12.8
г. Москва;2015;8598;125;57.9
Северо-Западный федеральный округ;2015;7296.8;360;100.7
Республика Карелия;2015;284;29;8.7
Республика Коми;2015;437.7;33;9.6
Архангельская область;2015;558.4;42;14.8
в том числе: ;2015;0;0;0
Ненецкий автономный округ;2015;33.3;2;0.6
Архангельская область без автономного округа;2015;525.1;40;14.2
Вологодская область;2015;554.1;42;11.1
Калининградская область;2015;478.2;30;7
Ленинградская область;2015;842.1;49;5.7
Мурманская область;2015;383.2;35;10
Новгородская область;2015;298.7;15;4.7
Псковская область;2015;295.6;23;5.5
г. Санкт-Петербург;2015;3164.8;62;23.6
Южный             федеральный округ;2015;7442.5;546;98.1
Республика Адыгея;2015;155.1;18;2.8
Республика Калмыкия;2015;111.8;15;3
Республика Крым;2015;852.7;69;9.6
Краснодарский край;2015;2546.1;162;32.5
Астраханская область;2015;479.8;40;8.2
Волгоградская область;2015;1176;95;17.3
Ростовская область;2015;1948.8;130;24.1
г. Севастополь;2015;172.2;17;0.6
Северо-Кавказский        федеральный округ;2015;3745.8;499;170.1
Республика Дагестан;2015;1063.4;140;27.3
Республика Ингушетия;2015;153.2;68;29.6
Кабардино-Балкарская Республика;2015;357;43;9.1
Карачаево-Черкесская Республика;2015;173.3;33;4.1
Республика Северная Осетия - Алания;2015;294.7;31;8.2
Чеченская Республика;2015;488.7;106;75
Ставропольский край;2015;1215.5;78;16.8
Приволжский федеральный округ;2015;14221;743;195.1
Республика Башкортостан;2015;1778.8;123;27.7
Республика Марий Эл;2015;307.5;19;4.4
Республика Мордовия;2015;393.6;19;4
Республика Татарстан;2015;1950.3;82;18
Удмуртская Республика;2015;741.6;41;11.7
Чувашская Республика;2015;564.3;33;5.4
Пермский край;2015;1201;82;31.1
Кировская область;2015;596.6;36;10.7
Нижегородская область ;2015;1653.6;75;13.6
Оренбургская область;2015;930.2;49;17.6
Пензенская область;2015;632.6;33;7.2
Самарская область;2015;1739.1;60;24.5
Саратовская область;2015;1149.4;59;14.8
Ульяновская область;2015;582.3;32;4.6
Уральский         федеральный округ;2015;6425.9;406;103.9
Курганская область;2015;359.8;32;8.9
Свердловская область ;2015;2137.9;149;39.5
Тюменская область;2015;2209.8;95;17.9
в том числе:;2015;0;0;0
Ханты-Мансийский автономный округ - Югра;2015;1037.4;41;7.7
Ямало-Ненецкий автономный округ;2015;393.8;11;3.6
Тюменская область  без автономных округов;2015;778.6;43;6.6
Челябинская область;2015;1718.3;129;37.6
Сибирский        федеральный округ;2015;8061.3;656;169.5
Республика Алтай;2015;85.6;10;2.7
Республика Тыва;2015;99;23;5.4
Республика Хакасия;2015;237.2;15;6
Алтайский край;2015;1055.9;95;23.9
Красноярский край;2015;1424.4;93;23.7
Иркутская область;2015;1158.8;103;22.4
Кемеровская область;2015;1229.1;106;38.8
Новосибирская область ;2015;1363.5;99;22.6
Омская область;2015;932.7;72;13.6
Томская область;2015;475.2;40;10.5
Дальневосточный федеральный округ;2015;4053.7;309;86.6
Республика Бурятия;2015;398;42;6.8
Республика Саха (Якутия);2015;482.7;37;11.3
Забайкальский край;2015;475.4;56;12.8
Камчатский край;2015;170.1;8;3.8
Приморский край;2015;965.3;73;19.1
Хабаровский край ;2015;683;39;11.1
Амурская область;2015;393.2;24;14.3
Магаданская область;2015;94.9;4;2
Сахалинская область;2015;287.7;18;3.3
Еврейская автономная область;2015;70.3;7;1.2
Чукотский автономный округ;2015;33.1;1;0.9
Центральный федеральный округ;2016;21181.9;755;193
Белгородская область;2016;756.8;33;6.3
Брянская область;2016;540.6;29;8.2
Владимирская область;2016;647.4;41;11.6
Воронежская область;2016;1094.8;52;13.2
Ивановская область;2016;447.1;30;6.9
Калужская область;2016;508.9;23;4.9
Костромская область;2016;293.2;18;3.5
Курская область;2016;520.6;24;5.8
Липецкая область;2016;565.5;24;3.8
Московская область;2016;3377;133;31.8
Орловская область;2016;330.2;25;5
Рязанская область;2016;505.5;24;5.2
Смоленская область;2016;443.9;31;8.1
Тамбовская область;2016;492.1;24;4.7
Тверская область;2016;608.5;40;8.1
Тульская область;2016;731.5;33;6.5
Ярославская область;2016;626.6;45;12.2
г. Москва;2016;8692;127;47.1
Северо-Западный федеральный округ;2016;7251.1;351;93.5
Республика Карелия;2016;283.6;30;8
Республика Коми;2016;421.8;40;10
Архангельская область;2016;547.5;42;13
в том числе: ;2016;0;0;0
Ненецкий автономный округ;2016;33.2;2;0.7
Архангельская область без автономного округа;2016;514.4;40;12.3
Вологодская область;2016;556.6;40;9.7
Калининградская область;2016;476.9;31;5.5
Ленинградская область;2016;820.2;44;5.3
Мурманская область;2016;379.8;34;9.4
Новгородская область;2016;294;16;3.8
Псковская область;2016;291.2;22;4.5
г. Санкт-Петербург;2016;3179.4;50;24.5
Южный             федеральный округ;2016;7402.8;521;82.9
Республика Адыгея;2016;151.1;18;2.5
Республика Калмыкия;2016;112.3;15;2.8
Республика Крым;2016;825.4;62;7.3
Краснодарский край;2016;2553.2;159;26.1
Астраханская область;2016;473.7;40;8.4
Волгоградская область;2016;1147.6;88;14.7
Ростовская область;2016;1968.3;126;20.5
г. Севастополь;2016;171.3;12;0.6
Северо-Кавказский        федеральный округ;2016;3778.9;500;146.4
Республика Дагестан;2016;1066.8;146;27.1
Республика Ингушетия;2016;162.3;70;24.6
Кабардино-Балкарская Республика;2016;358.9;44;8.3
Карачаево-Черкесская Республика;2016;171.7;31;4.3
Республика Северная Осетия - Алания;2016;287.2;32;9.2
Чеченская Республика;2016;490;98;57.4
Ставропольский край;2016;1242;78;15.5
Приволжский федеральный округ;2016;14116.2;747;173.4
Республика Башкортостан;2016;1757.5;116;24.6
Республика Марий Эл;2016;300.9;21;4.1
Республика Мордовия;2016;387.6;19;4.2
Республика Татарстан;2016;1951.2;77;16
Удмуртская Республика;2016;726.5;42;10.4
Чувашская Республика;2016;545.9;34;6.3
Пермский край;2016;1204.4;76;20.7
Кировская область;2016;590.8;36;10.3
Нижегородская область ;2016;1644.9;76;12.5
Оренбургская область;2016;935.6;50;16
Пензенская область;2016;632.6;33;7.1
Самарская область;2016;1714.3;72;23.5
Саратовская область;2016;1136.9;64;13.6
Ульяновская область;2016;587.1;30;3.9
Уральский         федеральный округ;2016;6347.1;393;97.5
Курганская область;2016;348.3;34;8.5
Свердловская область ;2016;2093.9;138;36.3
Тюменская область;2016;2190.8;90;17.3
в том числе:;2016;0;0;0
Ханты-Мансийский автономный округ - Югра;2016;1025.4;42;7.8
Ямало-Ненецкий автономный округ;2016;403;8;3.6
Тюменская область  без автономных округов;2016;762.5;40;5.9
Челябинская область;2016;1714;130;35.4
Сибирский        федеральный округ;2016;7918.2;680;154.2
Республика Алтай;2016;85;12;2.9
Республика Тыва;2016;103.2;21;5.3
Республика Хакасия;2016;233.3;16;5
Алтайский край;2016;1017.5;100;21.4
Красноярский край;2016;1391.3;90;21.1
Иркутская область;2016;1128;110;20.1
Кемеровская область;2016;1220.4;108;35.9
Новосибирская область ;2016;1338.8;108;18.7
Омская область;2016;913;76;13.6
Томская область;2016;487.8;40;10.3
Дальневосточный федеральный округ;2016;4069;297;79.9
Республика Бурятия;2016;391.2;44;6.4
Республика Саха (Якутия);2016;483.4;35;13.6
Забайкальский край;2016;474.5;58;10.6
Камчатский край;2016;166.2;8;3.8
Приморский край;2016;986.2;63;16.9
Хабаровский край ;2016;693.9;37;8.6
Амурская область;2016;395.5;25;12.5
Магаданская область;2016;92.2;4;1.9
Сахалинская область;2016;284.4;18;3.5
Еврейская автономная область;2016;69.7;7;1.1
Чукотский автономный округ;2016;31.9;1;0.7
Центральный федеральный округ;2017;21259.7;692;162.4
Белгородская область;2017;757.9;32;6.3
Брянская область;2017;530.2;27;6.2
Владимирская область;2017;640.6;35;10.6
Воронежская область;2017;1102.1;51;11.8
Ивановская область;2017;456.3;25;5.4
Калужская область;2017;504.8;22;4
Костромская область;2017;290.8;17;3.2
Курская область;2017;519.6;23;4.6
Липецкая область;2017;565.8;23;3.2
Московская область;2017;3450.2;131;27.5
Орловская область;2017;321.1;25;3.9
Рязанская область;2017;511;22;4.6
Смоленская область;2017;445.9;30;6.9
Тамбовская область;2017;482.4;22;4.2
Тверская область;2017;610;31;6.6
Тульская область;2017;719.9;31;4.8
Ярославская область;2017;621.1;44;10.1
г. Москва;2017;8730;100;38.4
Северо-Западный федеральный округ;2017;7161.5;320;84.2
Республика Карелия;2017;274.8;27;6.8
Республика Коми;2017;409.9;35;9.2
Архангельская область;2017;544.6;38;11.1
в том числе: ;2017;0;0;0
Ненецкий автономный округ;2017;32.7;2;0.7
Архангельская область без автономного округа;2017;511.9;36;10.4
Вологодская область;2017;540.6;31;8.6
Калининградская область;2017;477.3;27;4.7
Ленинградская область;2017;790.9;45;4.6
Мурманская область;2017;367.4;31;9
Новгородская область;2017;288.8;15;3.2
Псковская область;2017;280.3;21;3.5
г. Санкт-Петербург;2017;3186.9;50;23.6
Южный             федеральный округ;2017;7455;495;74.4
Республика Адыгея;2017;152.1;18;2.3
Республика Калмыкия;2017;111.1;14;2.6
Республика Крым;2017;840.4;58;6.7
Краснодарский край;2017;2599.1;158;24.7
Астраханская область;2017;487.6;40;6.8
Волгоградская область;2017;1124.6;77;12
Ростовская область;2017;1958.1;120;18.6
г. Севастополь;2017;182.1;9;0.8
Северо-Кавказский        федеральный округ;2017;3839.6;501;138
Республика Дагестан;2017;1091.5;163;25.2
Республика Ингушетия;2017;179.4;68;21.6
Кабардино-Балкарская Республика;2017;362.6;45;9.4
Карачаево-Черкесская Республика;2017;169.2;28;4
Республика Северная Осетия - Алания;2017;289.7;39;8.5
Чеченская Республика;2017;513.5;87;56.2
Ставропольский край;2017;1233.7;70;13.1
Приволжский федеральный округ;2017;13854.8;714;151.4
Республика Башкортостан;2017;1730.1;111;21.5
Республика Марий Эл;2017;291.7;21;3.5
Республика Мордовия;2017;387.1;19;4.1
Республика Татарстан;2017;1945.1;71;13.1
Удмуртская Республика;2017;710.2;38;8.1
Чувашская Республика;2017;528;32;5.4
Пермский край;2017;1164.5;77;19.6
Кировская область;2017;586.7;36;9.3
Нижегородская область ;2017;1658.7;75;10.9
Оренбургская область;2017;926.8;46;16.7
Пензенская область;2017;606.6;31;6.5
Самарская область;2017;1656.8;72;17.6
Саратовская область;2017;1081.8;57;11.6
Ульяновская область;2017;580.8;28;3.5
Уральский         федеральный округ;2017;6366.7;356;83.2
Курганская область;2017;338.6;37;7.5
Свердловская область ;2017;2068.2;119;32
Тюменская область;2017;2227.1;76;15.3
в том числе:;2017;0;0;0
Ханты-Мансийский автономный округ - Югра;2017;1077.9;30;7
Ямало-Ненецкий автономный округ;2017;420.5;10;2.6
Тюменская область  без автономных округов;2017;728.7;36;5.8
Челябинская область;2017;1732.9;123;28.4
Сибирский        федеральный округ;2017;7865.6;603;134.1
Республика Алтай;2017;83.4;12;2.5
Республика Тыва;2017;98.7;23;4.9
Республика Хакасия;2017;235.6;13;4.7
Алтайский край;2017;1008.5;78;20.2
Красноярский край;2017;1411.2;85;18.8
Иркутская область;2017;1096.1;105;17.1
Кемеровская область;2017;1200;95;26.5
Новосибирская область ;2017;1340.7;85;16.5
Омская область;2017;895.3;72;14.2
Томская область;2017;496.1;34;8.8
Дальневосточный федеральный округ;2017;4039.7;288;66.9
Республика Бурятия;2017;382.7;42;6.5
Республика Саха (Якутия);2017;492.1;36;11.5
Забайкальский край;2017;467.3;57;9
Камчатский край;2017;165.4;8;3.4
Приморский край;2017;973.9;56;11.9
Хабаровский край ;2017;690.9;36;7.3
Амурская область;2017;390.6;24;11.3
Магаданская область;2017;93.2;5;1.4
Сахалинская область;2017;282.7;16;2.8
Еврейская автономная область;2017;67.2;7;1.1
Чукотский автономный округ;2017;33.7;1;0.7
Центральный федеральный округ;2018;21198.5;620;142
Белгородская область;2018;752.6;33;6.2
Брянская область;2018;523;24;5.1
Владимирская область;2018;628.2;34;8.3
Воронежская область;2018;1110.2;43;11.5
Ивановская область;2018;444.9;22;4.1
Калужская область;2018;503;21;3.2
Костромская область;2018;282.2;14;3
Курская область;2018;510.8;23;4.2
Липецкая область;2018;566.1;23;3.1
Московская область;2018;3385.7;111;23
Орловская область;2018;314.5;18;3.6
Рязанская область;2018;498.3;22;4.4
Смоленская область;2018;432.5;26;6.4
Тамбовская область;2018;466;21;3.7
Тверская область;2018;605;28;5
Тульская область;2018;715.1;31;4.2
Ярославская область;2018;622.2;36;8.7
г. Москва;2018;8838.2;90;34.2
Северо-Западный федеральный округ;2018;7080.4;295;76.8
Республика Карелия;2018;269.8;27;6.8
Республика Коми;2018;408.9;32;7.9
Архангельская область;2018;530.5;37;10.6
в том числе: ;2018;0;0;0
Ненецкий автономный округ;2018;31.8;2;0.5
Архангельская область без автономного округа;2018;498.7;35;10.1
Вологодская область;2018;530.3;29;7.1
Калининградская область;2018;479.9;25;3.8
Ленинградская область;2018;778.4;40;4.4
Мурманская область;2018;363.9;29;8.5
Новгородская область;2018;284.4;13;3
Псковская область;2018;282.7;18;2.7
г. Санкт-Петербург;2018;3151.6;45;22
Южный             федеральный округ;2018;7449.8;459;68.7
Республика Адыгея;2018;151.6;17;1.7
Республика Калмыкия;2018;108;13;2.5
Республика Крым;2018;841.4;54;5.9
Краснодарский край;2018;2603.1;145;22.4
Астраханская область;2018;470.7;39;5.8
Волгоградская область;2018;1140.6;72;10.5
Ростовская область;2018;1935.7;109;19.1
г. Севастополь;2018;198.8;9;0.6
Северо-Кавказский        федеральный округ;2018;3913.6;491;123.9
Республика Дагестан;2018;1118.3;160;23.5
Республика Ингушетия;2018;181.1;66;21.9
Кабардино-Балкарская Республика;2018;372;47;7.1
Карачаево-Черкесская Республика;2018;174.7;26;3.3
Республика Северная Осетия - Алания;2018;297.9;36;7.3
Чеченская Республика;2018;519.8;86;50.4
Ставропольский край;2018;1249.9;69;10.5
Приволжский федеральный округ;2018;13683;665;137.1
Республика Башкортостан;2018;1685.3;96;20.2
Республика Марий Эл;2018;281.4;17;3
Республика Мордовия;2018;379.9;18;4.1
Республика Татарстан;2018;1944.3;68;11.2
Удмуртская Республика;2018;700.5;38;7.4
Чувашская Республика;2018;516.8;31;5.1
Пермский край;2018;1155.6;68;18.1
Кировская область;2018;585.4;34;8.7
Нижегородская область ;2018;1633.1;73;9.1
Оренбургская область;2018;920.6;45;15.2
Пензенская область;2018;604.8;30;6.7
Самарская область;2018;1652.9;64;15.4
Саратовская область;2018;1051.4;60;9.7
Ульяновская область;2018;570.9;23;3.2
Уральский         федеральный округ;2018;6353;301;69.3
Курганская область;2018;326;31;6.3
Свердловская область ;2018;2038;103;25.8
Тюменская область;2018;2232.9;62;14.2
в том числе:;2018;0;0;0
Ханты-Мансийский автономный округ - Югра;2018;1085.7;23;6
Ямало-Ненецкий автономный округ;2018;417.7;7;2.3
Тюменская область  без автономных округов;2018;729.5;32;5.9
Челябинская область;2018;1756.2;105;23.1
Сибирский        федеральный округ;2018;7852.8;557;120.8
Республика Алтай;2018;82.8;11;2.3
Республика Тыва;2018;102.9;19;5
Республика Хакасия;2018;230.1;13;3.8
Алтайский край;2018;1023.4;70;18.5
Красноярский край;2018;1406.4;73;14.5
Иркутская область;2018;1084.8;89;17.5
Кемеровская область;2018;1195;81;23
Новосибирская область ;2018;1327;96;13.9
Омская область;2018;891.7;69;14.4
Томская область;2018;508.7;34;7.9
Дальневосточный федеральный округ;2018;4030.6;272;58.6
Республика Бурятия;2018;382.3;42;6.4
Республика Саха (Якутия);2018;497;35;9.9
Забайкальский край;2018;467;55;7.3
Камчатский край;2018;163.9;9;3
Приморский край;2018;971;56;10.1
Хабаровский край ;2018;691.8;27;6.3
Амурская область;2018;387.9;23;10.3
Магаданская область;2018;91.6;4;1.3
Сахалинская область;2018;279.7;15;2.3
Еврейская автономная область;2018;65.2;6;0.9
Чукотский автономный округ;2018;33.3;1;0.7
Центральный федеральный округ;2019;21171.2;612;145.6
Белгородская область;2019;754.1;32;5.4
Брянская область;2019;508.6;22;5
Владимирская область;2019;635.8;29;8.4
Воронежская область;2019;1106.4;42;10.2
Ивановская область;2019;443.3;19;3.7
Калужская область;2019;498.4;20;3.3
Костромская область;2019;276.8;13;3.2
Курская область;2019;505.5;23;3.7
Липецкая область;2019;565.1;22;2.7
Московская область;2019;3437.1;114;26.5
Орловская область;2019;298.7;19;3.3
Рязанская область;2019;494.6;21;3.9
Смоленская область;2019;411.4;25;5.6
Тамбовская область;2019;454.1;20;3.6
Тверская область;2019;593.5;27;5
Тульская область;2019;705.4;30;4
Ярославская область;2019;607.4;35;8.8
г. Москва;2019;8875.1;100;39.3
Северо-Западный федеральный округ;2019;7065.3;266;74.7
Республика Карелия;2019;266.3;23;6.7
Республика Коми;2019;401;29;7.5
Архангельская область;2019;510.4;35;10.3
в том числе: ;2019;0;0;0
Ненецкий автономный округ;2019;31.3;2;0.4
Архангельская область без автономного округа;2019;479.1;33;9.9
Вологодская область;2019;520.6;25;6.4
Калининградская область;2019;478.9;24;4.3
Ленинградская область;2019;783.8;38;4.7
Мурманская область;2019;362.3;23;8.1
Новгородская область;2019;278.1;11;3.1
Псковская область;2019;281.7;16;2.4
г. Санкт-Петербург;2019;3182.2;42;21.3
Южный             федеральный округ;2019;7417.3;430;70.6
Республика Адыгея;2019;152;16;1.7
Республика Калмыкия;2019;104.3;12;2.4
Республика Крым;2019;852.7;51;6.5
Краснодарский край;2019;2623.3;136;22.3
Астраханская область;2019;461.7;39;6.6
Волгоградская область;2019;1104.9;66;10.1
Ростовская область;2019;1919;101;20.4
г. Севастополь;2019;199.5;9;0.6
Северо-Кавказский        федеральный округ;2019;3904.1;509;121
Республика Дагестан;2019;1109.4;179;20.4
Республика Ингушетия;2019;187.8;68;22.8
Кабардино-Балкарская Республика;2019;368;48;7.5
Карачаево-Черкесская Республика;2019;168.4;24;3.1
Республика Северная Осетия - Алания;2019;273.1;38;5.5
Чеченская Республика;2019;541.9;86;50.5
Ставропольский край;2019;1255.6;67;11.1
Приволжский федеральный округ;2019;13434.6;620;136.4
Республика Башкортостан;2019;1646.8;84;19
Республика Марий Эл;2019;279.1;15;2.7
Республика Мордовия;2019;388.8;18;4.3
Республика Татарстан;2019;1941.3;66;12.4
Удмуртская Республика;2019;688.4;33;8.3
Чувашская Республика;2019;501.5;28;4.8
Пермский край;2019;1115;63;18.2
Кировская область;2019;558.6;30;7.7
Нижегородская область ;2019;1634.5;71;9.3
Оренбургская область;2019;875.4;41;14.5
Пензенская область;2019;581.1;28;5.9
Самарская область;2019;1618.5;66;15.5
Саратовская область;2019;1052.2;52;10.6
Ульяновская область;2019;553.1;23;3.2
Уральский         федеральный округ;2019;6322.1;271;67.5
Курганская область;2019;311.1;28;6.2
Свердловская область ;2019;2014.3;89;25.3
Тюменская область;2019;2231.2;58;13.3
в том числе:;2019;0;0;0
Ханты-Мансийский автономный округ - Югра;2019;1081.4;22;5.9
Ямало-Ненецкий автономный округ;2019;423;6;2.2
Тюменская область  без автономных округов;2019;726.8;30;5.2
Челябинская область;2019;1765.5;95;22.7
Сибирский        федеральный округ;2019;7795.2;502;111.6
Республика Алтай;2019;81.7;10;1.9
Республика Тыва;2019;100.8;14;5.1
