Субъект РФ;Год;Инвестиции в основной капитал (млн. руб.);Основные фонды в экономике (млн. руб.);Ввод в действие основных фондов (млн. руб.)
Республика Калмыкия;2005;3062;58485;9896
Республика Крым;2005;0;0;0
Краснодарский край;2005;113917;1079840;145549
Астраханская область;2005;21642;275408;23502
Волгоградская область;2005;42735;540678;26772
Ростовская область;2005;60145;746866;45345
г. Севастополь;2005;0;0;0
Северо-Кавказский        федеральный округ;2005;93317;1053567;65062
Республика Дагестан;2005;26966;312331;18136
Республика Ингушетия;2005;3431;24538;1638
Кабардино-Балкарская Республика;2005;5830;85088;5367
Карачаево-Черкесская Республика;2005;6242;64592;3743
Республика Северная Осетия - Алания;2005;5959;96529;2961
Чеченская Республика;2005;13184;0;0
Ставропольский край;2005;31706;470489;33217
Приволжский федеральный округ;2005;609499;7462180;437119
Республика Башкортостан;2005;84471;868425;62552
Республика Марий Эл;2005;7722;133723;5462
Республика Мордовия;2005;15123;183836;10217
Республика Татарстан;2005;139361;1090879;90973
Удмуртская Республика;2005;26876;368307;19198
Чувашская Республика;2005;19445;253775;13730
Пермский край;2005;56800;961938;43632
Кировская область;2005;17088;322973;9239
Нижегородская область ;2005;64581;688092;44789
Оренбургская область;2005;39993;480330;32873
Пензенская область;2005;15689;262655;10554
Самарская область;2005;67206;1056262;55667
Саратовская область;2005;40435;556180;28691
Ульяновская область;2005;14711;234805;9542
Уральский         федеральный округ;2005;593370;7935967;476240
Курганская область;2005;8628;213335;6591
Свердловская область ;2005;91019;1424665;62812
Тюменская область;2005;420875;5405244;353223
в том числе:;2005;0;0;0
Ханты-Мансийский автономный округ - Югра;2005;223318;2903606;190079
Ямало-Ненецкий автономный округ;2005;141234;2088400;135420
Тюменская область  без автономных округов;2005;0;0;0
Челябинская область;2005;72848;892723;53614
Сибирский        федеральный округ;2005;319097;4458879;262262
Республика Алтай;2005;2914;22026;1729
Республика Тыва;2005;1293;19490;938
Республика Хакасия;2005;10328;120518;4851
Алтайский край;2005;21344;382472;17628
Красноярский край;2005;71388;823467;47011
Иркутская область;2005;36675;651069;32898
Кемеровская область;2005;80315;629492;57084
Новосибирская область ;2005;36829;595609;36876
Омская область;2005;38611;357195;21380
Томская область;2005;19401;319795;17098
Дальневосточный федеральный округ;2005;303299;2214245;128846
Республика Бурятия;2005;9606;221056;8237
Республика Саха (Якутия);2005;48978;450823;32668
Забайкальский край;2005;17402;316690;16532
Камчатский край;2005;7060;100939;3561
Приморский край;2005;28499;457446;19608
Хабаровский край ;2005;39166;437286;21233
Амурская область;2005;23742;384833;22116
Магаданская область;2005;5126;93758;3377
Сахалинская область;2005;110850;207065;20677
Еврейская автономная область;2005;5461;52480;1616
Чукотский автономный округ;2005;7409;29615;3990
Центральный федеральный округ;2006;1225592.892;13199939;966754
Белгородская область;2006;52073.28612;332176;31674
Брянская область;2006;12461.73907;234250;13933
Владимирская область;2006;22253.26201;254161;18393
Воронежская область;2006;38867.04002;469878;22901
Ивановская область;2006;14734.15683;160051;9339
Калужская область;2006;18297.40408;219137;11932
Костромская область;2006;11820.89759;209665;17398
Курская область;2006;23241.14308;290680;17130
Липецкая область;2006;44565.0226;364208;29060
Московская область;2006;236930.8629;2143837;167432
Орловская область;2006;12714.6765;154206;8768
Рязанская область;2006;25944.88051;346379;27948
Смоленская область;2006;16029.03584;309351;15570
Тамбовская область;2006;19666.82304;269738;13931
Тверская область;2006;24325.86517;429239;30071
Тульская область;2006;24361.10341;335199;27898
Ярославская область;2006;37143.21049;535264;50700
г. Москва;2006;590162.4823;6142520;452676
Северо-Западный федеральный округ;2006;651271.3989;4976071;373572
Республика Карелия;2006;18080.98066;243546;19212
Республика Коми;2006;74170.14796;727893;53081
Архангельская область;2006;88413.31517;541730;45599
в том числе: ;2006;0;0;0
Ненецкий автономный округ;2006;50090.83946;76978;15485
Архангельская область без автономного округа;2006;0;0;0
Вологодская область;2006;66101.3969;478439;48955
Калининградская область;2006;32595.55449;195805;18948
Ленинградская область;2006;127209.423;611268;44060
Мурманская область;2006;24459.78238;406705;17334
Новгородская область;2006;18954.02961;186183;17960
Псковская область;2006;7603.264216;164095;6302
г. Санкт-Петербург;2006;193683.5045;1420407;102121
Южный             федеральный округ;2006;324542.5723;3001054;208497
Республика Адыгея;2006;4087.700955;58091;3940
Республика Калмыкия;2006;3750.580598;61232;3325
Республика Крым;2006;0;0;0
