Субъект РФ;Год;Инвестиции в основной капитал (млн. руб.);Основные фонды в экономике (млн. руб.);Ввод в действие основных фондов (млн. руб.)
Брянская область;2013;60864;518609;39916
Владимирская область;2013;65354;585987;47813
Воронежская область;2013;216983;1158136;145405
Ивановская область;2013;33938;483179;16667
Калужская область;2013;98084;665178;100682
Костромская область;2013;22264;345022;13411
Курская область;2013;71546;607109;51173
Липецкая область;2013;101093;879524;118637
Московская область;2013;587645;5538512;481772
Орловская область;2013;43741;349432;22503
Рязанская область;2013;75531;671471;67192
Смоленская область;2013;55931;635456;36537
Тамбовская область;2013;98227;622355;52656
Тверская область;2013;80536;1008414;59356
Тульская область;2013;91046;765072;72866
Ярославская область;2013;86348;1115615;87946
г. Москва;2013;1413094;26546945;1503473
Северо-Западный федеральный округ;2013;1416123;14411740;1422682
Республика Карелия;2013;34204;485437;28158
Республика Коми;2013;199157;1937731;161265
Архангельская область;2013;157276;1399524;149493
в том числе: ;2013;0;0;0
Ненецкий автономный округ;2013;61412;433177;43313
Архангельская область без автономного округа;2013;95864;966347;106180
Вологодская область;2013;75421;1236470;70983
Калининградская область;2013;68702;582994;50498
Ленинградская область;2013;253619;2275653;307342
Мурманская область;2013;70579;1432787;53771
Новгородская область;2013;53063;393450;27984
Псковская область;2013;28953;318266;19411
г. Санкт-Петербург;2013;475149;4349428;553777
Южный             федеральный округ;2013;1506034;8347529;1128593
Республика Адыгея;2013;18622;159192;17408
Республика Калмыкия;2013;15283;124357;6279
Республика Крым;2013;0;0;0
Краснодарский край;2013;955208;3639608;789538
Астраханская область;2013;122618;850132;65230
Волгоградская область;2013;140680;1570668;91882
Ростовская область;2013;253623;2003572;158256
г. Севастополь;2013;0;0;0
Северо-Кавказский        федеральный округ;2013;445906;3272961;300945
Республика Дагестан;2013;179065;985711;99175
Республика Ингушетия;2013;19155;65741;9841
Кабардино-Балкарская Республика;2013;22071;217265;14198
Карачаево-Черкесская Республика;2013;21554;158477;10299
Республика Северная Осетия - Алания;2013;28808;197435;13392
Чеченская Республика;2013;44623;404275;41761
Ставропольский край;2013;130632;1244057;112279
Приволжский федеральный округ;2013;2301298;19684669;1545648
Республика Башкортостан;2013;266396;2105770;184433
Республика Марий Эл;2013;46178;314647;27384
Республика Мордовия;2013;53714;433918;35998
Республика Татарстан;2013;525730;3342559;292503
Удмуртская Республика;2013;82678;870234;54466
Чувашская Республика;2013;60122;654078;46251
Пермский край;2013;219494;2410614;146088
Кировская область;2013;58655;682835;39657
Нижегородская область ;2013;280884;2137855;172462
Оренбургская область;2013;152877;1596988;136220
Пензенская область;2013;82164;719888;55535
Самарская область;2013;269737;2342741;209760
Саратовская область;2013;125834;1456217;97163
Ульяновская область;2013;76835;616325;47728
Уральский         федеральный округ;2013;2167821;23584469;1817704
Курганская область;2013;33207;617452;43101
Свердловская область ;2013;352916;3949207;237521
Тюменская область;2013;1566734;16856805;1396133
в том числе:;2013;0;0;0
Ханты-Мансийский автономный округ - Югра;2013;718871;8618035;860359
Ямало-Ненецкий автономный округ;2013;603194;6693967;330399
Тюменская область  без автономных округов;2013;244668;1544803;205375
Челябинская область;2013;214964;2161005;140949
Сибирский        федеральный округ;2013;1339540;12328640;1120665
Республика Алтай;2013;11853;86493;15007
Республика Тыва;2013;13939;64172;6933
Республика Хакасия;2013;32116;341282;26651
Алтайский край;2013;94586;870401;55897
Красноярский край;2013;376903;2335977;274685
Иркутская область;2013;200063;2077218;180605
Кемеровская область;2013;217711;1900837;191517
Новосибирская область ;2013;183998;1481011;131639
Омская область;2013;105638;909004;76842
Томская область;2013;102732;987240;78690
Дальневосточный федеральный округ;2013;941887;8359973;806601
Республика Бурятия;2013;41986;521445;39172
Республика Саха (Якутия);2013;193947;1336424;115702
Забайкальский край;2013;57461;753560;43027
Камчатский край;2013;32708;296821;29075
Приморский край;2013;123061;2612167;224843
Хабаровский край ;2013;150078;1353020;152006
Амурская область;2013;102003;816040;62104
Магаданская область;2013;37879;230924;42221
Сахалинская область;2013;175632;1440706;154984
Еврейская автономная область;2013;14327;162408;7601
Чукотский автономный округ;2013;12804;111463;18065
Центральный федеральный округ;2014;3570432;47270685;2935560
Белгородская область;2014;120658;1152400;101835
Брянская область;2014;66066;571616;38656
Владимирская область;2014;73927;649970;53054
Воронежская область;2014;240272;1233526;120709
Ивановская область;2014;33075;516607;19991
Калужская область;2014;99786;722223;73451
Костромская область;2014;27512;360520;14333
Курская область;2014;73695;664050;49647
Липецкая область;2014;105588;997633;96796
Московская область;2014;644830;6072686;463148
Орловская область;2014;47580;394020;24345
Рязанская область;2014;60558;748637;44689
Смоленская область;2014;56587;715711;40971
Тамбовская область;2014;110597;709051;47696
Тверская область;2014;84039;988296;45641
Тульская область;2014;95235;858386;89168
Ярославская область;2014;88541;1024943;74345
г. Москва;2014;1541884;28890410;1537085
Северо-Западный федеральный округ;2014;1406454;16021207;1329196
Республика Карелия;2014;33400;521336;31255
Республика Коми;2014;201032;2387770;229209
Архангельская область;2014;157720;1508181;128758
в том числе: ;2014;0;0;0
Ненецкий автономный округ;2014;78952;483967;51782
Архангельская область без автономного округа;2014;78768;1024214;76976
Вологодская область;2014;79732;1347451;55201
Калининградская область;2014;63716;592394;47319
Ленинградская область;2014;170502;2449066;166557
Мурманская область;2014;85845;1563764;73834
Новгородская область;2014;61369;458879;30734
Псковская область;2014;29808;322068;19980
г. Санкт-Петербург;2014;523331;4870298;546349
Южный             федеральный округ;2014;1383658;10498325;979990
Республика Адыгея;2014;17155;161605;10677
Республика Калмыкия;2014;22609;151392;10806
Республика Крым;2014;26447;1233700;11692
Краснодарский край;2014;750236;4208926;598096
Астраханская область;2014;116856;912745;64245
Волгоградская область;2014;182798;1735392;104899
Ростовская область;2014;264173;2085372;179108
г. Севастополь;2014;3385;9193;467
Северо-Кавказский        федеральный округ;2014;494286;3601090;330518
Республика Дагестан;2014;202245;1213120;123922
Республика Ингушетия;2014;16199;73001;14399
Кабардино-Балкарская Республика;2014;22148;223801;18156
Карачаево-Черкесская Республика;2014;22184;166250;15648
Республика Северная Осетия - Алания;2014;31001;204596;8353
Чеченская Республика;2014;57448;413687;22059
Ставропольский край;2014;143061;1306635;127981
Приволжский федеральный округ;2014;2384349;20928321;1659581
Республика Башкортостан;2014;283545;2306755;211622
Республика Марий Эл;2014;47228;330932;19642
Республика Мордовия;2014;47485;477197;26766
Республика Татарстан;2014;542781;3431206;321173
Удмуртская Республика;2014;91571;974795;63539
Чувашская Республика;2014;53457;664956;31663
Пермский край;2014;207597;2651647;150958
Кировская область;2014;61448;659265;46284
Нижегородская область ;2014;276820;2381528;228723
Оренбургская область;2014;153979;1652428;111500
Пензенская область;2014;82079;864334;93744
Самарская область;2014;321760;2522834;199367
Саратовская область;2014;137421;1402337;110425
Ульяновская область;2014;77178;608107;44175
Уральский         федеральный округ;2014;2368498;26776921;1942159
Курганская область;2014;32762;619830;24602
Свердловская область ;2014;371631;4711894;267864
Тюменская область;2014;1736244;19036884;1436912
в том числе:;2014;0;0;0
Ханты-Мансийский автономный округ - Югра;2014;733867;9546182;696634
Ямало-Ненецкий автономный округ;2014;754187;7827582;556008
Тюменская область  без автономных округов;2014;248191;1663120;184270
Челябинская область;2014;227861;2408313;212781
Сибирский        федеральный округ;2014;1378170;13145544;1096945
Республика Алтай;2014;13893;99868;15376
Республика Тыва;2014;17795;72925;14075
Республика Хакасия;2014;39585;378082;48907
Алтайский край;2014;99680;907409;56244
Красноярский край;2014;363956;2537118;266044
Иркутская область;2014;214422;2029855;138013
Кемеровская область;2014;230951;2106244;204825
Новосибирская область ;2014;193171;1656477;110946
Омская область;2014;95360;961850;66723
Томская область;2014;109357;1048117;74223
Дальневосточный федеральный округ;2014;916798;9187563;613997
Республика Бурятия;2014;36740;557500;36095
Республика Саха (Якутия);2014;181172;1520532;155911
Забайкальский край;2014;69505;790099;65474
Камчатский край;2014;25128;321916;18975
Приморский край;2014;134301;2481077;140736
Хабаровский край ;2014;128692;1358317;116862
Амурская область;2014;76376;830450;43640
Магаданская область;2014;40722;226512;15703
Сахалинская область;2014;205489;2153134;105168
Еврейская автономная область;2014;10288;184022;5991
Чукотский автономный округ;2014;8386;111603;11011
Центральный федеральный округ;2015;3578186;50049197;3048999
Белгородская область;2015;147214;1289717;88118
Брянская область;2015;62255;627396;43825
Владимирская область;2015;71513;705136;43056
Воронежская область;2015;264660;1401937;124090
Ивановская область;2015;25713;536739;15636
Калужская область;2015;92707;834822;95863
Костромская область;2015;27345;377650;22358
Курская область;2015;73745;705845;40410
Липецкая область;2015;116134;1066160;66623
Московская область;2015;623918;6635124;583293
Орловская область;2015;47981;427523;24174
Рязанская область;2015;54190;807575;61707
Смоленская область;2015;55043;764441;42293
Тамбовская область;2015;117641;739324;42830
Тверская область;2015;73462;1029363;42569
Тульская область;2015;105629;946661;101181
Ярославская область;2015;75437;1075784;47692
г. Москва;2015;1543601;30078000;1563281
Северо-Западный федеральный округ;2015;1437479;17400366;1106210
Республика Карелия;2015;32738;550036;29458
Республика Коми;2015;169936;2604880;146462
Архангельская область;2015;172221;1621368;128917
в том числе: ;2015;0;0;0
Ненецкий автономный округ;2015;114503;551986;72305
Архангельская область без автономного округа;2015;57718;1069382;56612
Вологодская область;2015;87114;1403785;56015
Калининградская область;2015;69015;613338;78832
Ленинградская область;2015;225915;2670754;151880
Мурманская область;2015;100418;1814839;80989
Новгородская область;2015;69336;494468;20324
Псковская область;2015;27363;337713;13627
г. Санкт-Петербург;2015;483423;5289185;399706
Южный             федеральный округ;2015;1296200;12418091;1015101
Республика Адыгея;2015;15756;169377;9954
Республика Калмыкия;2015;16605;175274;19258
Республика Крым;2015;47582;2033676;25998
Краснодарский край;2015;586903;4770758;462633
Астраханская область;2015;113169;1053750;113442
Волгоградская область;2015;200191;1818202;100815
Ростовская область;2015;309436;2355619;279905
г. Севастополь;2015;6558;41435;3096
Северо-Кавказский        федеральный округ;2015;475857;4032053;337274
Республика Дагестан;2015;197572;1355843;120514
Республика Ингушетия;2015;19759;88438;16292
Кабардино-Балкарская Республика;2015;28328;240069;16813
Карачаево-Черкесская Республика;2015;19648;189172;17190
Республика Северная Осетия - Алания;2015;25457;232170;33402
Чеченская Республика;2015;58844;425937;21929
Ставропольский край;2015;126250;1500424;111134
Приволжский федеральный округ;2015;2463346;23031982;1742422
Республика Башкортостан;2015;317764;2519215;221363
Республика Марий Эл;2015;40332;358656;18573
Республика Мордовия;2015;52751;528791;28536
Республика Татарстан;2015;617128;3921931;386102
Удмуртская Республика;2015;81846;1040617;60189
Чувашская Республика;2015;55725;715778;51484
Пермский край;2015;226214;2900859;201763
Кировская область;2015;55760;712522;37529
Нижегородская область ;2015;235067;2579755;163777
Оренбургская область;2015;169243;1820589;150220
Пензенская область;2015;89042;970828;69061
Самарская область;2015;302884;2735586;194311
Саратовская область;2015;140129;1551306;107324
Ульяновская область;2015;79461;675549;52190
Уральский         федеральный округ;2015;2357901;28902312;1777751
Курганская область;2015;27842;650878;23605
Свердловская область ;2015;349964;5157421;242141
Тюменская область;2015;1762857;20471314;1326627
в том числе:;2015;0;0;0
Ханты-Мансийский автономный округ - Югра;2015;766070;10275523;707227
Ямало-Ненецкий автономный округ;2015;779406;8387662;479610
Тюменская область  без автономных округов;2015;217381;1808129;139790
Челябинская область;2015;217238;2622699;185378
Сибирский        федеральный округ;2015;1270629;14259887;1046252
Республика Алтай;2015;12185;114087;10672
Республика Тыва;2015;12944;82829;9295
Республика Хакасия;2015;29940;404095;21789
Алтайский край;2015;78538;931166;39287
Красноярский край;2015;396865;2879635;316950
Иркутская область;2015;206075;2206258;148856
Кемеровская область;2015;170470;2250263;139163
Новосибирская область ;2015;164440;1869453;143898
Омская область;2015;94220;985731;62085
Томская область;2015;104953;1119720;76468
Дальневосточный федеральный округ;2015;1017589;10631373;647072
Республика Бурятия;2015;36220;565871;35687
Республика Саха (Якутия);2015;198032;1758532;101281
Забайкальский край;2015;76282;850779;42102
Камчатский край;2015;22850;359528;20848
Приморский край;2015;139208;2739943;91530
Хабаровский край ;2015;114008;1458497;79297
Амурская область;2015;102214;863641;42887
Магаданская область;2015;60666;240208;17305
Сахалинская область;2015;241464;2895401;275145
Еврейская автономная область;2015;12012;199084;9286
Чукотский автономный округ;2015;14633;116539;9493
Центральный федеральный округ;2016;3795422.18;58400591;3915290
Белгородская область;2016;143791.756;1400837;116504
Брянская область;2016;68194.604;733055;79797
Владимирская область;2016;70716.655;787525;57815
Воронежская область;2016;270992.135;1534644;133285
Ивановская область;2016;23286.965;553289;16564
Калужская область;2016;84444.604;912722;69262
Костромская область;2016;26429.603;419515;21701
Курская область;2016;93658.527;805024;73533
Липецкая область;2016;127890.871;1178985;97269
Московская область;2016;621176.101;7237874;615005
Орловская область;2016;43595.612;472195;26980
Рязанская область;2016;50892.658;927211;48886
Смоленская область;2016;58728.152;829388;53003
Тамбовская область;2016;105033.385;798260;55669
Тверская область;2016;93427.292;1212653;140179
Тульская область;2016;112560.598;1033088;84932
Ярославская область;2016;88363.236;1226233;105352
г. Москва;2016;1712239.426;36338093;2119554
Северо-Западный федеральный округ;2016;1742374.32;20330095;1778451
Республика Карелия;2016;34700.035;675940;31180
Республика Коми;2016;200261.007;3051661;262796
Архангельская область;2016;169432.082;1957337;162502
в том числе: ;2016;0;0;0
Ненецкий автономный округ;2016;85702.622;755231;90582
Архангельская область без автономного округа;2016;83729.46;1202106;71920
Вологодская область;2016;114155.392;1549344;66722
Калининградская область;2016;89462.277;756096;75036
Ленинградская область;2016;264212.803;2923887;201631
Мурманская область;2016;85494.614;1891317;76659
Новгородская область;2016;78742.092;608528;62980
Псковская область;2016;27271.783;369971;20579
г. Санкт-Петербург;2016;678642.235;6546014;818366
Южный             федеральный округ;2016;1152832.287;14201426;1009841
Республика Адыгея;2016;19133.654;183383;16522
Республика Калмыкия;2016;9138.881;195857;16568
Республика Крым;2016;74795.277;2055242;59442
Краснодарский край;2016;435095.343;5481558;378496
Астраханская область;2016;117999.297;1357230;135199
Волгоградская область;2016;183642.143;2069566;185823
Ростовская область;2016;294480.684;2583782;196111
г. Севастополь;2016;18547.008;274808;21680
Северо-Кавказский        федеральный округ;2016;486002.249;4515820;352248
Республика Дагестан;2016;199555.683;1570561;131306
Республика Ингушетия;2016;20631.805;101859;12863
Кабардино-Балкарская Республика;2016;36235.378;253447;22817
Карачаево-Черкесская Республика;2016;20554.804;198664;23765
Республика Северная Осетия - Алания;2016;25533.112;247890;16972
Чеченская Республика;2016;60542.672;468184;29068
Ставропольский край;2016;122948.795;1675215;115457
Приволжский федеральный округ;2016;2438081.036;25329929;1733912
Республика Башкортостан;2016;355109.264;2868186;255322
Республика Марий Эл;2016;27265.485;404552;27057
Республика Мордовия;2016;52629.216;599727;31090
Республика Татарстан;2016;636494.114;4256272;348623
Удмуртская Республика;2016;87128.696;1169614;69646
Чувашская Республика;2016;50139.921;760719;47978
Пермский край;2016;239389.883;3204554;159021
Кировская область;2016;57001.131;785413;53554
Нижегородская область ;2016;232010.366;2790966;188871
Оренбургская область;2016;167278.542;2039846;120770
Пензенская область;2016;64945.495;930071;65545
Самарская область;2016;256775.988;3012202;213627
Саратовская область;2016;141337.313;1779849;109413
Ульяновская область;2016;70575.622;727958;43395
Уральский         федеральный округ;2016;2688039.292;33650787;2505169
Курганская область;2016;29253.811;693563;25421
Свердловская область ;2016;328402.53;6086869;406203
Тюменская область;2016;2132093.771;23947925;1890338
в том числе:;2016;0;0;0
Ханты-Мансийский автономный округ - Югра;2016;799253.271;11654167;716859
Ямало-Ненецкий автономный округ;2016;1093081.787;10219150;945199
Тюменская область  без автономных округов;2016;239758.713;2074608;228280
Челябинская область;2016;198289.18;2922430;183207
Сибирский        федеральный округ;2016;1326171.978;15338111;1140634
Республика Алтай;2016;12561.318;127913;12067
Республика Тыва;2016;10640.126;91880;8399
Республика Хакасия;2016;27237.011;417845;20526
Алтайский край;2016;75284.822;871625;57649
Красноярский край;2016;425931.641;3227379;302190
Иркутская область;2016;247954.167;2528848;206993
Кемеровская область;2016;165665.641;2404891;164735
Новосибирская область ;2016;163058.53;1944305;132818
Омская область;2016;93453.298;1018884;62696
Томская область;2016;104385.424;1171769;83659
Дальневосточный федеральный округ;2016;1119923.579;11636934;820745
Республика Бурятия;2016;33445.203;609133;32218
Республика Саха (Якутия);2016;275576.034;2025084;242473
Забайкальский край;2016;85702.385;923639;56684
Камчатский край;2016;37298.185;500594;30024
Приморский край;2016;130499.663;3125796;184694
Хабаровский край ;2016;120091.096;1589042;95340
Амурская область;2016;129816.094;1009163;63145
Магаданская область;2016;41798.186;258861;31565
Сахалинская область;2016;240010.758;2762977;149892
Еврейская автономная область;2016;12929.386;224027;13982
Чукотский автономный округ;2016;12756.589;141390;9630
Центральный федеральный округ;2017;4241519.104;60640167;3790932
Белгородская область;2017;142692.754;1501847;140488
Брянская область;2017;55120.865;794829;48976
Владимирская область;2017;78526.948;842074;54812
Воронежская область;2017;283652.262;1841669;299243
Ивановская область;2017;30314.901;550729;17890
Калужская область;2017;89030.44;989602;75273
Костромская область;2017;21638.952;436507;13447
Курская область;2017;100895.137;878321;71452
Липецкая область;2017;142407.098;1268311;103984
Московская область;2017;699918.477;8044098;599377
Орловская область;2017;43669.64;496312;30945
Рязанская область;2017;62286.241;1010570;53130
Смоленская область;2017;57495.579;857817;39283
Тамбовская область;2017;111073.129;844454;56221
Тверская область;2017;100743.864;1250215;48187
Тульская область;2017;128563.554;1116603;74941
Ярославская область;2017;85781.603;1311286;65990
г. Москва;2017;2007707.66;36604923;1997293
Северо-Западный федеральный округ;2017;1883299.644;21841648;1391864
Республика Карелия;2017;41567.781;700701;29147
Республика Коми;2017;134151.8;3207276;142578
Архангельская область;2017;215493.328;2174492;154435
в том числе: ;2017;0;0;0
Ненецкий автономный округ;2017;106578.202;887421;76273
Архангельская область без автономного округа;2017;108915.126;1287071;78162
Вологодская область;2017;138282.002;1712354;148684
Калининградская область;2017;130397.779;846685;83812
Ленинградская область;2017;337673.819;3060457;241500
Мурманская область;2017;113269.333;1970650;93803
Новгородская область;2017;70831.646;617821;22302
Псковская область;2017;29266.913;387327;29697
г. Санкт-Петербург;2017;672365.243;7163885;445906
Южный             федеральный округ;2017;1443288.41;15326866;947958
Республика Адыгея;2017;20844.685;202111;13635
Республика Калмыкия;2017;11222.941;203657;6758
Республика Крым;2017;196193.021;2212391;101568
Краснодарский край;2017;503243.028;5937791;317905
Астраханская область;2017;146659.96;1498692;145017
Волгоградская область;2017;191709.722;2180917;117227
Ростовская область;2017;323903.243;2786870;227674
г. Севастополь;2017;49511.81;304437;18174
Северо-Кавказский        федеральный округ;2017;496091.524;4816874;297145
Республика Дагестан;2017;187346.635;1627996;119134
Республика Ингушетия;2017;21197.713;119375;15390
Кабардино-Балкарская Республика;2017;34827.087;272146;19784
Карачаево-Черкесская Республика;2017;21032.291;210594;11487
Республика Северная Осетия - Алания;2017;27238.706;271077;9421
Чеченская Республика;2017;64387.154;538579;22177
Ставропольский край;2017;140061.938;1777107;99752
Приволжский федеральный округ;2017;2428835.878;27117289;1689077
Республика Башкортостан;2017;278591.607;3121321;202700
Республика Марий Эл;2017;24029.203;418477;17078
Республика Мордовия;2017;58535.192;628911;21092
Республика Татарстан;2017;637611.686;4658900;400433
Удмуртская Республика;2017;83705.585;1245800;69099
Чувашская Республика;2017;52365.463;790343;39229
Пермский край;2017;245139.59;3397061;187194
Кировская область;2017;57860.714;849714;42774
Нижегородская область ;2017;245268.036;2918512;143039
Оренбургская область;2017;184877.171;2198450;125060
Пензенская область;2017;72050.12;986237;45070
Самарская область;2017;259544.251;3258454;235663
Саратовская область;2017;145163.596;1869085;113918
Ульяновская область;2017;84093.664;776024;46728
Уральский         федеральный округ;2017;2833094.116;35953434;2569162
Курганская область;2017;22851.232;725992;17074
Свердловская область ;2017;320111.121;6177853;274960
Тюменская область;2017;2291140.946;26000867;2114578
в том числе:;2017;0;0;0
Ханты-Мансийский автономный округ - Югра;2017;920187.412;12543037;827700
Ямало-Ненецкий автономный округ;2017;1069619.542;11279844;1113247
Тюменская область  без автономных округов;2017;301333.992;2177986;173631
Челябинская область;2017;198990.817;3048722;162550
Сибирский        федеральный округ;2017;1413000.11;16548844;1202669
Республика Алтай;2017;12450.238;131791;10950
Республика Тыва;2017;9988.391;99573;12225
Республика Хакасия;2017;23842.668;438167;22204
Алтайский край;2017;87844.002;935963;63535
Красноярский край;2017;420886.412;3604524;335402
Иркутская область;2017;270018.604;2774291;213444
Кемеровская область;2017;215236.651;2545178;182969
Новосибирская область ;2017;175608.676;2091267;122419
Омская область;2017;98658.725;1087256;56794
Томская область;2017;98465.743;1253735;83498
Дальневосточный федеральный округ;2017;1288173.171;12404342;595259
Республика Бурятия;2017;42213.791;642667;38465
Республика Саха (Якутия);2017;386790.021;2208092;159259
Забайкальский край;2017;96324.45;944432;60764
Камчатский край;2017;39007.074;540786;41135
Приморский край;2017;130934.549;3346264;82454
Хабаровский край ;2017;121185.003;1623543;65030
Амурская область;2017;192469.379;1072521;51921
Магаданская область;2017;43891.734;280970;20626
Сахалинская область;2017;211815.111;2909469;137104
Еврейская автономная область;2017;11041.948;252341;22452
Чукотский автономный округ;2017;12500.111;170356;15278
Центральный федеральный округ;2018;4998017.708;66768644;4763106
Белгородская область;2018;134551.337;1564553;96748
Брянская область;2018;58918.301;841645;51645
Владимирская область;2018;73502.023;921603;60089
Воронежская область;2018;276785.343;2017212;190794
Ивановская область;2018;29359.835;569118;26268
Калужская область;2018;91138.164;1096796;89561
Костромская область;2018;22313.48;452611;20907
Курская область;2018;120735.232;938417;57562
Липецкая область;2018;128532.7;1354811;105615
Московская область;2018;945424.1;8981281;755917
Орловская область;2018;48058.416;522013;27687
Рязанская область;2018;62741.419;1118681;67952
Смоленская область;2018;70900.487;925280;52518
Тамбовская область;2018;106230.33;891585;58572
Тверская область;2018;104501.124;1333698;97295
Тульская область;2018;154752.34;1243801;136993
Ярославская область;2018;84397.333;1393220;101198
г. Москва;2018;2485175.744;40602319;2765785
Северо-Западный федеральный округ;2018;2308913.75;23715831;1690046
Республика Карелия;2018;48116.368;744483;39633
Республика Коми;2018;136473.712;3359325;145955
Архангельская область;2018;198357.36;2337567;171305
в том числе: ;2018;0;0;0
Ненецкий автономный округ;2018;91041.172;944823;89742
Архангельская область без автономного округа;2018;107316.188;1392744;81563
Вологодская область;2018;153427.919;1837512;107364
Калининградская область;2018;159880.365;1038055;185854
Ленинградская область;2018;511164.195;3433453;376470
Мурманская область;2018;155744.198;2043500;81391
Новгородская область;2018;61529.68;684936;52100
Псковская область;2018;31297.083;420048;32407
г. Санкт-Петербург;2018;852922.87;7816952;497567
Южный             федеральный округ;2018;1455803.268;16320058;1118635
Республика Адыгея;2018;30600.14;223255;22165
Республика Калмыкия;2018;12422.681;226959;21681
Республика Крым;2018;296423.131;2241915;85164
Краснодарский край;2018;515316.773;6260527;351557
Астраханская область;2018;110279.5;1653054;142586
Волгоградская область;2018;183096.526;2326149;141525
Ростовская область;2018;264870.553;3049823;341362
г. Севастополь;2018;42793.964;338376;12595
Северо-Кавказский        федеральный округ;2018;544556.798;5220064;351269
Республика Дагестан;2018;200007.493;1762966;111606
Республика Ингушетия;2018;22358.957;138700;19038
Кабардино-Балкарская Республика;2018;35471.724;305327;21435
Карачаево-Черкесская Республика;2018;22686.265;226477;16328
Республика Северная Осетия - Алания;2018;31434.687;280203;11776
Чеченская Республика;2018;74367.802;600232;36928
Ставропольский край;2018;158229.87;1906159;134158
Приволжский федеральный округ;2018;2491204.993;29013181;1955541
Республика Башкортостан;2018;267929.064;3380216;252730
Республика Марий Эл;2018;27321.044;470091;26478
Республика Мордовия;2018;52309.46;667344;29477
Республика Татарстан;2018;629731.027;5033940;409414
Удмуртская Республика;2018;96978.855;1290551;66702
Чувашская Республика;2018;56433.748;807297;44589
Пермский край;2018;243613.003;3576306;185304
Кировская область;2018;59508.269;908090;50892
Нижегородская область ;2018;259392.868;3068010;219669
Оренбургская область;2018;208105.119;2378246;190120
Пензенская область;2018;87106.024;1092727;70058
Самарская область;2018;264988.744;3479558;216924
Саратовская область;2018;154864.095;2007804;116084
Ульяновская область;2018;82923.673;853001;77100
Уральский         федеральный округ;2018;2966662.58;38726232;2979340
Курганская область;2018;27150.695;757646;20508
Свердловская область ;2018;378662.02;6448390;257816
Тюменская область;2018;2305856.691;28282720;2504192
в том числе:;2018;0;0;0
Ханты-Мансийский автономный округ - Югра;2018;930721.09;13262283;861118
Ямало-Ненецкий автономный округ;2018;1021502.317;12640917;1466560
Тюменская область  без автономных округов;2018;353633.284;2379520;176514
Челябинская область;2018;254993.174;3237476;196824
Сибирский        федеральный округ;2018;1573256.286;16181083;1200345
Республика Алтай;2018;14783.442;142235;9128
Республика Тыва;2018;13092.116;114199;9542
Республика Хакасия;2018;34275.385;469018;30627
Алтайский край;2018;107151.407;986820;70345
Красноярский край;2018;421779.977;3949492;341656
Иркутская область;2018;318786.947;3033414;238682
Кемеровская область;2018;248665.342;2738986;209394
Новосибирская область ;2018;197113.609;2259167;161241
Омская область;2018;121385.016;1131964;60905
Томская область;2018;96223.045;1355788;68825
Дальневосточный федеральный округ;2018;1443596.932;14995431;849648
Республика Бурятия;2018;48526.943;743113;30703
Республика Саха (Якутия);2018;403573.701;2443951;205713
Забайкальский край;2018;90011.519;989829;53092
Камчатский край;2018;40301.326;534999;33058
Приморский край;2018;144523.259;3424996;120523
Хабаровский край ;2018;143705.967;1722484;104715
Амурская область;2018;251184.448;1168547;66125
Магаданская область;2018;57640.056;347962;69133
Сахалинская область;2018;229594.794;3170137;149304
Еврейская автономная область;2018;17153.738;259059;7037
Чукотский автономный округ;2018;17381.181;190354;10245
Центральный федеральный округ;2019;6093361.923;126397352;7309691
Белгородская область;2019;167093.027;2858983;138800
Брянская область;2019;63553.036;1812903;79641
Владимирская область;2019;90060.479;2000453;62871
Воронежская область;2019;298767.833;4042520;402303
Ивановская область;2019;37419.494;1143074;27949
Калужская область;2019;110157.537;2297839;155701
Костромская область;2019;26008.989;925743;34186
Курская область;2019;142668.886;1595064;95904
Липецкая область;2019;155038.156;2108045;157217
Московская область;2019;1090731.562;23768046;1976989
Орловская область;2019;55901.936;1112729;90841
Рязанская область;2019;69044.153;2268460;150830
Смоленская область;2019;70524.705;1063572;59578
Тамбовская область;2019;90718.856;1567697;88929
Тверская область;2019;88348.154;2627014;130602
Тульская область;2019;177724.445;2577947;187517
Ярославская область;2019;90977.507;2597524;152035
г. Москва;2019;3268623.168;70029739;3317798
Северо-Западный федеральный округ;2019;2082965.334;44045867;2997678
Республика Карелия;2019;48259.764;1187787;62900
Республика Коми;2019;121578.339;4141376;112508
Архангельская область;2019;193157.46;3366913;214954
в том числе: ;2019;0;0;0
Ненецкий автономный округ;2019;97035.279;1079392;96977
Архангельская область без автономного округа;2019;96122.181;2287521;117977
Вологодская область;2019;199288.375;2824173;111466
Калининградская область;2019;101407.807;2114704;182525
Ленинградская область;2019;420872.219;5112820;392511
Мурманская область;2019;170855.525;2541482;125083
Новгородская область;2019;49827.796;1334055;89702
Псковская область;2019;33623.251;818053;31759
г. Санкт-Петербург;2019;744094.798;20604504;1674270
Южный             федеральный округ;2019;1378094.261;30097326;1843029
Республика Адыгея;2019;43352.597;459080;17069
Республика Калмыкия;2019;15850.483;333220;16448
Республика Крым;2019;223793.252;2839003;267165
Краснодарский край;2019;477635.324;13982416;884888
Астраханская область;2019;104280.231;2071002;103785
Волгоградская область;2019;186267.54;2620585;145908
Ростовская область;2019;284152.296;6831010;329385
г. Севастополь;2019;42762.538;961010;78381
Северо-Кавказский        федеральный округ;2019;629673.982;7170763;407691
Республика Дагестан;2019;229489.316;1825758;104468
