Субъект РФ ;Год;Грузооборот автомобильного транспорта организаций всех видов деятельности (млн. т.-км.);Пассажирооборот автобусов общего пользования (млн. пассажиро-км.)
Центральный федеральный округ;2016;38429;27826
Белгородская область;2016;3591.7976;1039
Брянская область;2016;2249.7031;522
Владимирская область;2016;800.3622;851
Воронежская область;2016;2931.7295;2581
Ивановская область;2016;829.5687;587
Калужская область;2016;856.3635;491
Костромская область;2016;472.4686;599
Курская область;2016;1111.1289;829
Липецкая область;2016;1215.6461;890
Московская область;2016;8297.7232;7261
Орловская область;2016;1630.9431;523
Рязанская область;2016;638.352;802
Смоленская область;2016;3781.8505;756
Тамбовская область;2016;1882.6553;1257
Тверская область;2016;1584.968;490
Тульская область;2016;1575.0108;1080
Ярославская область;2016;901.3724;1151
г. Москва;2016;4078;6115
Северо-Западный федеральный округ;2016;16880.596;9894
Республика Карелия;2016;683.2173;420
Республика Коми;2016;1150.915;872
Архангельская область;2016;2174.0437;805
в том числе: ;2016;0;0
Ненецкий автономный округ;2016;27.2205;14
Архангельская область без автономного округа;2016;2146.8232;791
Вологодская область;2016;1499.4451;589
Калининградская область;2016;2112.798;1242
Ленинградская область;2016;2697.2202;1247
Мурманская область;2016;394.9239;609
Новгородская область;2016;1610.4824;422
Псковская область;2016;1194.0286;451
г. Санкт-Петербург;2016;3363.5218;3237
Южный             федеральный округ;2016;16615.9766;19946
Республика Адыгея;2016;439.0684;124
Республика Калмыкия;2016;56.345;383
Республика Крым;2016;457.7027;2386
Краснодарский край;2016;7546.8149;4316
Астраханская область;2016;398.1354;4411
Волгоградская область;2016;1990.6667;4449
Ростовская область;2016;5699.424;3577
г. Севастополь;2016;27.8195;301
Северо-Кавказский        федеральный округ;2016;3379;4167
Республика Дагестан;2016;272.8897;804
Республика Ингушетия;2016;9.8992;138
Кабардино-Балкарская Республика;2016;59.1249;536
Карачаево-Черкесская Республика;2016;429.4605;168
Республика Северная Осетия - Алания;2016;112.6173;564
Чеченская Республика;2016;669.6098;326
Ставропольский край;2016;1824.6273;1630
Приволжский федеральный округ;2016;33828.7302;31023
Республика Башкортостан;2016;2816.0255;4594
Республика Марий Эл;2016;540.2199;148
Республика Мордовия;2016;2378.5909;528
Республика Татарстан;2016;6394.0739;2878
Удмуртская Республика;2016;2164.1534;1373
Чувашская Республика;2016;958.1929;1131
Пермский край;2016;2683.5114;4022
Кировская область;2016;1371.8134;858
Нижегородская область ;2016;2871.9038;4341
Оренбургская область;2016;1485.6599;2472
Пензенская область;2016;2377.3996;1469
Самарская область;2016;3666.982;2604
Саратовская область;2016;2219.5729;3095
Ульяновская область;2016;1900.6307;1510
Уральский         федеральный округ;2016;21591.6032;8976
Курганская область;2016;748.2495;506
Свердловская область ;2016;5735.3374;3044
Тюменская область;2016;11176.297;3109
в том числе:;2016;0;0
Ханты-Мансийский автономный округ - Югра;2016;5118.6316;1208
Ямало-Ненецкий автономный округ;2016;1751.407;333
Тюменская область  без автономных округов;2016;4306.2584;1568
Челябинская область;2016;3931.7193;2316
Сибирский        федеральный округ;2016;15009.2393;16279
Республика Алтай;2016;107.985;127
Республика Тыва;2016;195;657
Республика Хакасия;2016;393.29;346
Алтайский край;2016;1395.2837;1784
Красноярский край;2016;2704;2984
Иркутская область;2016;2703.4752;1818
Кемеровская область;2016;1358.188;3514
Новосибирская область ;2016;2337.2077;2659
Омская область;2016;1393.6304;1448
Томская область;2016;2421.1793;942
Дальневосточный федеральный округ;2016;7378.2494;6234
Республика Бурятия;2016;470.204;1791
Республика Саха (Якутия);2016;2020.1804;494
Забайкальский край;2016;569.6415;768
Камчатский край;2016;28.4563;422
Приморский край;2016;1249.3686;813
Хабаровский край ;2016;1126.9074;1155
Амурская область;2016;690.1841;348
Магаданская область;2016;302.6866;55
Сахалинская область;2016;299.8552;287
Еврейская автономная область;2016;221.2636;96
Чукотский автономный округ;2016;399.5017;5
Центральный федеральный округ;2017;55765;27995
Белгородская область;2017;3628.457264;994
Брянская область;2017;3846.660858;738
Владимирская область;2017;728.9638345;825
Воронежская область;2017;2245.967219;2401
Ивановская область;2017;686.4745413;570
Калужская область;2017;691.013531;484
Костромская область;2017;577.1553091;634
Курская область;2017;1212.612072;782
Липецкая область;2017;1274.223122;875
Московская область;2017;22632;7720
Орловская область;2017;1355.137353;485
Рязанская область;2017;716.5997288;828
Смоленская область;2017;4613.415227;687
Тамбовская область;2017;2812.122343;935
Тверская область;2017;1532.2362;505
Тульская область;2017;1762.890019;1045
Ярославская область;2017;1074.661411;1617
г. Москва;2017;4375.246785;5870
Северо-Западный федеральный округ;2017;18112;9434
Республика Карелия;2017;707.6492884;437
Республика Коми;2017;1142.841059;613
Архангельская область;2017;2295.301476;798
в том числе: ;2017;0;0
Ненецкий автономный округ;2017;77;12
Архангельская область без автономного округа;2017;2218;786
Вологодская область;2017;1806;685
Калининградская область;2017;1759.544419;788
Ленинградская область;2017;3663.822149;1248
Мурманская область;2017;422.6012896;601
Новгородская область;2017;1990.345668;406
Псковская область;2017;1252.182742;441
г. Санкт-Петербург;2017;3071.977634;3418
Южный             федеральный округ;2017;16817.38773;20221
Республика Адыгея;2017;378.1919889;123
Республика Калмыкия;2017;59.9568545;267
Республика Крым;2017;923.6498532;2384
Краснодарский край;2017;7421.338654;4232
Астраханская область;2017;317.8248415;4491
Волгоградская область;2017;2170.313905;4861
Ростовская область;2017;5521.047882;3458
г. Севастополь;2017;25.0637532;405
Северо-Кавказский        федеральный округ;2017;3368.353877;4725
Республика Дагестан;2017;481.9868289;1088
Республика Ингушетия;2017;11.1015205;104
Кабардино-Балкарская Республика;2017;75.9842791;523
Карачаево-Черкесская Республика;2017;455.4063234;160
Республика Северная Осетия - Алания;2017;97.796254;556
Чеченская Республика;2017;362.5007272;390
Ставропольский край;2017;1883.577944;1905
Приволжский федеральный округ;2017;37327.8972;29888
Республика Башкортостан;2017;2897.09811;4161
Республика Марий Эл;2017;578.3020744;117
Республика Мордовия;2017;5068.056457;498
Республика Татарстан;2017;6206.359045;2710
Удмуртская Республика;2017;1884.855844;1081
Чувашская Республика;2017;960.0342307;873
Пермский край;2017;3063.994898;4313
Кировская область;2017;1509.23517;814
Нижегородская область ;2017;3192.727823;4271
Оренбургская область;2017;2070.15021;2048
Пензенская область;2017;2534.622681;1555
Самарская область;2017;3624.198073;2733
Саратовская область;2017;2591.533162;3278
Ульяновская область;2017;1146.72942;1435
Уральский         федеральный округ;2017;20869.7212;8275
Курганская область;2017;736.830906;480
Свердловская область ;2017;5821.981436;2903
Тюменская область;2017;10492.53733;3292
в том числе:;2017;0;0
Ханты-Мансийский автономный округ - Югра;2017;4476.451979;1334
Ямало-Ненецкий автономный округ;2017;1611.014947;251
Тюменская область  без автономных округов;2017;4405.070408;1707
Челябинская область;2017;3818.371525;1600
Сибирский        федеральный округ;2017;15819.90281;16340
Республика Алтай;2017;133.8697044;93
Республика Тыва;2017;181.8488071;643
Республика Хакасия;2017;297.9643908;372
Алтайский край;2017;1844.206291;1803
Красноярский край;2017;3077.344768;2792
Иркутская область;2017;2381.370141;2156
Кемеровская область;2017;1236.776516;3450
Новосибирская область ;2017;2313.578999;3107
Омская область;2017;1555.015249;1270
Томская область;2017;2797.927945;655
Дальневосточный федеральный округ;2017;6945.115304;6503
Республика Бурятия;2017;493.7823851;1729
Республика Саха (Якутия);2017;1907.526825;490
Забайкальский край;2017;743.2632377;719
Камчатский край;2017;47.2992353;410
Приморский край;2017;1201.367447;1052
Хабаровский край ;2017;975.2194278;1290
Амурская область;2017;644.721821;357
Магаданская область;2017;263.8539454;62
Сахалинская область;2017;402.6855772;301
Еврейская автономная область;2017;217.4281528;88
Чукотский автономный округ;2017;47.9672499;6
Центральный федеральный округ;2018;45326.97251;27970
Белгородская область;2018;3954.537607;873
Брянская область;2018;4568.895634;667
Владимирская область;2018;789.4476215;784
Воронежская область;2018;2922.771843;2579
Ивановская область;2018;815.2804416;539
Калужская область;2018;808.1976239;455
Костромская область;2018;715.5104554;600
Курская область;2018;1269.878966;748
Липецкая область;2018;1267.518648;832
Московская область;2018;6360.208029;8001
Орловская область;2018;1661.597683;447
Рязанская область;2018;725.8185105;856
Смоленская область;2018;6116.401504;521
Тамбовская область;2018;2980.267843;888
Тверская область;2018;1745.155487;519
Тульская область;2018;1833.403409;1106
Ярославская область;2018;1075.778381;1398
г. Москва;2018;5716.302822;6156
Северо-Западный федеральный округ;2018;18411.67487;9500
Республика Карелия;2018;839.8798085;382
Республика Коми;2018;1137.771238;566
Архангельская область;2018;1466.930418;804
в том числе: ;2018;0;0
Ненецкий автономный округ;2018;31;12
Архангельская область без автономного округа;2018;1436;792
Вологодская область;2018;1695.855496;654
Калининградская область;2018;1878.425762;816
Ленинградская область;2018;3572.069096;1267
Мурманская область;2018;391.2774861;674
Новгородская область;2018;2292.554224;390
Псковская область;2018;1131.391696;440
г. Санкт-Петербург;2018;4005.519646;3507
Южный             федеральный округ;2018;18326.75825;19830
Республика Адыгея;2018;386.1084859;111
Республика Калмыкия;2018;97.063509;265
Республика Крым;2018;1061.081104;2458
Краснодарский край;2018;8191.177408;4157
Астраханская область;2018;318.6776555;4592
Волгоградская область;2018;2228.437556;4867
Ростовская область;2018;5995.187472;3055
г. Севастополь;2018;49.0250539;325
Северо-Кавказский        федеральный округ;2018;3642.492545;4819
Республика Дагестан;2018;510.5634893;1182
Республика Ингушетия;2018;28.8448659;57
Кабардино-Балкарская Республика;2018;62.2056899;515
Карачаево-Черкесская Республика;2018;532.9799527;295
Республика Северная Осетия - Алания;2018;72.0426114;578
Чеченская Республика;2018;346.7644021;392
Ставропольский край;2018;2089.091534;1800
Приволжский федеральный округ;2018;39858.46392;30279
Республика Башкортостан;2018;2875.163092;3982
Республика Марий Эл;2018;654.3531555;127
Республика Мордовия;2018;7050.079486;575
Республика Татарстан;2018;6347.509078;2572
Удмуртская Республика;2018;1808.482537;1180
Чувашская Республика;2018;1017.2182;727
Пермский край;2018;3203.700444;4071
Кировская область;2018;1712.151504;786
Нижегородская область ;2018;3691.387163;4135
Оренбургская область;2018;2098.635779;1957
Пензенская область;2018;2639.499419;1621
Самарская область;2018;3209.935437;3544
Саратовская область;2018;2482.755815;3561
Ульяновская область;2018;1067.592808;1441
Уральский         федеральный округ;2018;22345.85129;8606
Курганская область;2018;806.7233283;463
Свердловская область ;2018;6696.560054;3006
Тюменская область;2018;9007.200644;3554
в том числе:;2018;0;0
Ханты-Мансийский автономный округ - Югра;2018;4168;1533
Ямало-Ненецкий автономный округ;2018;1346;206
Тюменская область  без автономных округов;2018;3494;1814
Челябинская область;2018;5835.367267;1583
Сибирский        федеральный округ;2018;17135.63876;15521
Республика Алтай;2018;155.6708639;94
Республика Тыва;2018;240.8680167;687
Республика Хакасия;2018;278.1832717;367
Алтайский край;2018;2109.906272;1808
Красноярский край;2018;3019.955806;2563
Иркутская область;2018;2421.78726;1902
Кемеровская область;2018;1169.402923;3200
Новосибирская область ;2018;3159.027802;3142
Омская область;2018;1693.203487;1207
Томская область;2018;2887.633059;551
Дальневосточный федеральный округ;2018;6618.755262;6010
Республика Бурятия;2018;569.5054353;1672
Республика Саха (Якутия);2018;1933.062193;468
Забайкальский край;2018;714.6269839;650
Камчатский край;2018;37.9232408;368
Приморский край;2018;1130.447876;943
Хабаровский край ;2018;883.8041603;1119
Амурская область;2018;608.0735619;356
Магаданская область;2018;262.0924496;60
Сахалинская область;2018;362.168873;286
Еврейская автономная область;2018;88.5206278;82
Чукотский автономный округ;2018;28.5298597;6
Центральный федеральный округ;2019;50694.76663;28382
Белгородская область;2019;4229.31947;823
Брянская область;2019;4511.110112;665
Владимирская область;2019;942.3122411;720
Воронежская область;2019;4249.098368;2406
Ивановская область;2019;865.5560789;542
Калужская область;2019;999.8524945;507
Костромская область;2019;703.9803944;538
Курская область;2019;1290.922334;726
Липецкая область;2019;1566.052243;787
Московская область;2019;7609.716154;7875
Орловская область;2019;1796.927943;441
Рязанская область;2019;823.9355319;795
Смоленская область;2019;6829.132811;529
Тамбовская область;2019;3193.8689;933
Тверская область;2019;2282.276922;483
Тульская область;2019;1821.798822;1131
Ярославская область;2019;1344.138523;1287
г. Москва;2019;5634.767284;7194
Северо-Западный федеральный округ;2019;24248;9476
Республика Карелия;2019;791.4997223;396
Республика Коми;2019;1089.018995;483
Архангельская область;2019;1993;846
в том числе: ;2019;0;0
Ненецкий автономный округ;2019;17;15
Архангельская область без автономного округа;2019;1976;831
Вологодская область;2019;2378.243039;570
Калининградская область;2019;1919.080826;761
Ленинградская область;2019;3600.647982;1398
Мурманская область;2019;404.3417329;671
Новгородская область;2019;2366.0849;379
Псковская область;2019;1165.492673;395
г. Санкт-Петербург;2019;8540.482077;3579
Южный             федеральный округ;2019;18935.03068;20168
Республика Адыгея;2019;772.4399882;118
Республика Калмыкия;2019;106.3561472;279
Республика Крым;2019;690.5082523;2380
Краснодарский край;2019;8038.798683;3978
Астраханская область;2019;367.7251962;4652
Волгоградская область;2019;2510.21335;4780
Ростовская область;2019;6394.747864;3307
г. Севастополь;2019;54.2411962;675
Северо-Кавказский        федеральный округ;2019;3951.735393;4234
Республика Дагестан;2019;375.1123143;802
Республика Ингушетия;2019;29.6942618;38
Кабардино-Балкарская Республика;2019;53.8060063;509
Карачаево-Черкесская Республика;2019;297.2709954;283
Республика Северная Осетия - Алания;2019;77.7362732;575
Чеченская Республика;2019;320.7303049;410
Ставропольский край;2019;2797.385237;1617
Приволжский федеральный округ;2019;42920.28148;30845
Республика Башкортостан;2019;2982.461558;4330
Республика Марий Эл;2019;652.7412101;131
Республика Мордовия;2019;3628.919205;533
Республика Татарстан;2019;8450.855572;2502
Удмуртская Республика;2019;1887.390198;1216
Чувашская Республика;2019;1159.628537;823
Пермский край;2019;4043.843351;4567
Кировская область;2019;1910.891095;755
Нижегородская область ;2019;4803.142704;4041
Оренбургская область;2019;2650.638545;2102
Пензенская область;2019;2408.84558;1495
Самарская область;2019;4334.227087;3644
Саратовская область;2019;2375.015599;3248
Ульяновская область;2019;1631.681237;1458
Уральский         федеральный округ;2019;22324.7312;8114
Курганская область;2019;843.6859238;443
Свердловская область ;2019;8153.991144;2913
Тюменская область;2019;7936.256462;3276
в том числе:;2019;0;0
Ханты-Мансийский автономный округ - Югра;2019;4006.900651;1208
Ямало-Ненецкий автономный округ;2019;1207.6647;215
Тюменская область  без автономных округов;2019;2721.691111;1853
Челябинская область;2019;5390.79767;1481
Сибирский        федеральный округ;2019;19758.37703;15512
Республика Алтай;2019;99.1447314;87
Республика Тыва;2019;295.4674025;803
Республика Хакасия;2019;389.3215172;395
Алтайский край;2019;2137.084211;1825
Красноярский край;2019;3388.118391;2572
Иркутская область;2019;2419.323547;2063
Кемеровская область;2019;1182.912128;2964
Новосибирская область ;2019;4714.447511;3163
Омская область;2019;2373.227279;1182
Томская область;2019;2759.330313;447
Дальневосточный федеральный округ;2019;7058.347722;5762
Республика Бурятия;2019;603.2840723;1615
Республика Саха (Якутия);2019;2214.861463;505
Забайкальский край;2019;604.5734263;608
Камчатский край;2019;30.007131;303
Приморский край;2019;1247.891343;941
Хабаровский край ;2019;904.0712744;960
Амурская область;2019;627.0484022;375
Магаданская область;2019;333.8586358;54
Сахалинская область;2019;345.0425373;330
Еврейская автономная область;2019;125.0935513;66
Чукотский автономный округ;2019;22.6158858;6
Центральный федеральный округ;2020;51746.7854;20412
Белгородская область;2020;3884.406003;775
Брянская область;2020;1395.868568;525
Владимирская область;2020;1035.117657;598
Воронежская область;2020;3711.435457;1806
Ивановская область;2020;721.4753446;484
Калужская область;2020;989.0192493;594
Костромская область;2020;738.0136133;350
Курская область;2020;1497.554043;488
Липецкая область;2020;1556.810549;557
Московская область;2020;10761.92679;5997
Орловская область;2020;1560.051978;390
Рязанская область;2020;930.5134035;493
Смоленская область;2020;7387.708179;305
Тамбовская область;2020;1484.649675;751
Тверская область;2020;2260.884259;669
Тульская область;2020;1719.727417;840
Ярославская область;2020;1444.263761;836
г. Москва;2020;8667.359458;3953
Северо-Западный федеральный округ;2020;23661.17329;6536
Республика Карелия;2020;771.6640425;185
Республика Коми;2020;1194.735404;340
Архангельская область;2020;3052.806087;528
в том числе: ;2020;0;0
Ненецкий автономный округ;2020;28.339119;15
Архангельская область без автономного округа;2020;3024.466968;514
Вологодская область;2020;2158.701747;485
Калининградская область;2020;1750.617452;547
Ленинградская область;2020;1847.43518;979
Мурманская область;2020;420.6498863;458
Новгородская область;2020;1850.87583;303
Псковская область;2020;1189.207922;265
г. Санкт-Петербург;2020;9424.479736;2446
Южный             федеральный округ;2020;18971.67627;13701
Республика Адыгея;2020;680.745557;73
Республика Калмыкия;2020;90.0538423;153
Республика Крым;2020;592.791209;1562
Краснодарский край;2020;8311.737223;2512
Астраханская область;2020;316.8597868;3192
Волгоградская область;2020;2472.352755;3253
Ростовская область;2020;6461.353872;2257
г. Севастополь;2020;45.7820237;699
Северо-Кавказский        федеральный округ;2020;3129.002781;2476
Республика Дагестан;2020;487.2591748;569
Республика Ингушетия;2020;61.7180219;27
Кабардино-Балкарская Республика;2020;42.2466859;333
Карачаево-Черкесская Республика;2020;208.6333706;174
Республика Северная Осетия - Алания;2020;38.732291;273
Чеченская Республика;2020;476.7576968;214
Ставропольский край;2020;1813.65554;888
Приволжский федеральный округ;2020;44534.98853;22148
Республика Башкортостан;2020;3100.664655;3382
Республика Марий Эл;2020;570.8834932;110
Республика Мордовия;2020;3456.321688;298
Республика Татарстан;2020;11814.22937;1742
Удмуртская Республика;2020;2067.754879;925
Чувашская Республика;2020;1177.942638;751
Пермский край;2020;3861.168695;3134
Кировская область;2020;1938.444113;514
Нижегородская область ;2020;4834.717988;2168
Оренбургская область;2020;1832.379903;1384
Пензенская область;2020;2172.417634;1098
Самарская область;2020;3881.315618;3100
Саратовская область;2020;2311.69401;2474
Ульяновская область;2020;1515.053845;1067
Уральский         федеральный округ;2020;21355.19445;6097
Курганская область;2020;755.4717237;331
Свердловская область ;2020;8910.794536;2169
Тюменская область;2020;7641.968003;2504
в том числе:;2020;0;0
Ханты-Мансийский автономный округ - Югра;2020;3931.802611;922
Ямало-Ненецкий автономный округ;2020;1178.65249;293
Тюменская область  без автономных округов;2020;2531.512903;1289
Челябинская область;2020;4046.960188;1093
Сибирский        федеральный округ;2020;20096.53404;12738
Республика Алтай;2020;95.9351371;121
Республика Тыва;2020;125.2918423;539
Республика Хакасия;2020;449.6317892;324
Алтайский край;2020;2262.615402;1250
Красноярский край;2020;3953.702889;2004
Иркутская область;2020;2305.008534;1506
Кемеровская область;2020;1220.895238;2824
Новосибирская область ;2020;5216.908897;2456
Омская область;2020;2306.981752;960
Томская область;2020;2159.562554;754
Дальневосточный федеральный округ;2020;7589.039836;4263
Республика Бурятия;2020;563.3898526;981
Республика Саха (Якутия);2020;2033.54318;254
Забайкальский край;2020;374.7857175;518
Камчатский край;2020;30.4092041;238
Приморский край;2020;1176.224386;736
Хабаровский край ;2020;1409.966501;710
Амурская область;2020;563.4284895;394
Магаданская область;2020;675.3764457;43
Сахалинская область;2020;594.3747872;336
Еврейская автономная область;2020;128.4062937;48
Чукотский автономный округ;2020;39.134979;6
Центральный федеральный округ;2021;59164.11191;27938
Белгородская область;2021;4099.152509;900
Брянская область;2021;1385.627078;846
Владимирская область;2021;1504.407475;1119
Воронежская область;2021;5563.738134;2138
Ивановская область;2021;766.7497019;579
Калужская область;2021;1051.99961;729
Костромская область;2021;801.5998631;347
Курская область;2021;1597.625019;597
Липецкая область;2021;1879.696704;692
Московская область;2021;13141.6115;9243
Орловская область;2021;1583.440102;511
Рязанская область;2021;1045.329019;615
Смоленская область;2021;8208.471419;425
Тамбовская область;2021;1465.358791;757
Тверская область;2021;2781.23471;798
Тульская область;2021;2108.844396;908
Ярославская область;2021;1791.060165;1378
г. Москва;2021;8388.165716;5354
Северо-Западный федеральный округ;2021;29628.16446;8906
Республика Карелия;2021;778.5249819;211
Республика Коми;2021;1503.108166;383
Архангельская область;2021;2668.603874;549
в том числе: ;2021;0;0
Ненецкий автономный округ;2021;58.299028;17
Архангельская область без автономного округа;2021;2610.304846;532
Вологодская область;2021;3091.821809;696
Калининградская область;2021;1680.317776;1504
Ленинградская область;2021;2289.806456;1086
Мурманская область;2021;386.7428785;474
Новгородская область;2021;1831.73205;308
Псковская область;2021;1323.087718;361
г. Санкт-Петербург;2021;14074.41875;3334
Южный             федеральный округ;2021;21708.97176;11931
Республика Адыгея;2021;777.0579169;106
Республика Калмыкия;2021;49.6812523;170
Республика Крым;2021;729.7840368;2056
Краснодарский край;2021;10319.62209;3118
Астраханская область;2021;343.8122525;987
Волгоградская область;2021;2572.094856;1365
Ростовская область;2021;6873.17309;3332
г. Севастополь;2021;43.7462723;797
Северо-Кавказский        федеральный округ;2021;3374.928766;2814
Республика Дагестан;2021;489.0538829;491
Республика Ингушетия;2021;62.6518272;39
Кабардино-Балкарская Республика;2021;21.6995212;234
Карачаево-Черкесская Республика;2021;189.0717163;175
Республика Северная Осетия - Алания;2021;96.6621186;459
Чеченская Республика;2021;667.8569832;561
Ставропольский край;2021;1847.932716;854
Приволжский федеральный округ;2021;48339.29998;22450
Республика Башкортостан;2021;3656.105409;3721
Республика Марий Эл;2021;590.8546232;169
Республика Мордовия;2021;3345.821212;285
Республика Татарстан;2021;13993.70418;2195
Удмуртская Республика;2021;2331.647374;1049
Чувашская Республика;2021;1055.603367;1281
Пермский край;2021;3755.369662;2764
Кировская область;2021;2206.436521;616
Нижегородская область ;2021;5382.564364;2651
Оренбургская область;2021;2270.79652;859
Пензенская область;2021;2018.014329;833
Самарская область;2021;3392.549334;3280
Саратовская область;2021;2381.161018;2270
Ульяновская область;2021;1958.672069;477
Уральский         федеральный округ;2021;24934.79885;7312
Курганская область;2021;824.3308604;401
Свердловская область ;2021;11807.1547;2864
Тюменская область;2021;7671.96281;2867
в том числе:;2021;0;0
Ханты-Мансийский автономный округ - Югра;2021;4492.736308;922
Ямало-Ненецкий автономный округ;2021;1067.407067;296
Тюменская область  без автономных округов;2021;2111.819435;1649
Челябинская область;2021;4631.350481;1179
Сибирский        федеральный округ;2021;20079.14002;14495
Республика Алтай;2021;111.2234769;249
Республика Тыва;2021;99.0302691;199
Республика Хакасия;2021;541.8685383;247
Алтайский край;2021;2341.748761;1300
Красноярский край;2021;4284.928466;2350
Иркутская область;2021;2455.874485;1726
Кемеровская область;2021;989.7463957;2906
Новосибирская область ;2021;5584.854233;2623
Омская область;2021;1379.91694;1808
Томская область;2021;2289.948454;1087
Дальневосточный федеральный округ;2021;7593.322225;5497
Республика Бурятия;2021;632.5502532;983
Республика Саха (Якутия);2021;1881.232067;288
Забайкальский край;2021;427.3950469;989
Камчатский край;2021;39.4605478;310
Приморский край;2021;1267.260164;1066
Хабаровский край ;2021;1285.379156;779
Амурская область;2021;609.1902913;540
Магаданская область;2021;665.7401655;59
Сахалинская область;2021;654.9654366;391
Еврейская автономная область;2021;114.2869754;79
Чукотский автономный округ;2021;15.8621205;13
