Субъект РФ ;Год;Грузооборот автомобильного транспорта организаций всех видов деятельности (млн. т.-км.);Пассажирооборот автобусов общего пользования (млн. пассажиро-км.)
Вологодская область;2003;1763.8691;1481
Калининградская область;2003;373.2145;583
Ленинградская область;2003;1203.8443;1762
Мурманская область;2003;418.8431;2054
Новгородская область;2003;690.1031;1956
Псковская область;2003;583.4616;1597
г. Санкт-Петербург;2003;1730.7151;7721
Южный             федеральный округ;2003;11090.9715;13788
Республика Адыгея;2003;496.8628;266
Республика Калмыкия;2003;190.0993;266
Республика Крым;2003;0;0
Краснодарский край;2003;5254.9106;3356
Астраханская область;2003;719.6415;1087
Волгоградская область;2003;1137.3654;3642
Ростовская область;2003;3292.0919;5171
г. Севастополь;2003;0;0
Северо-Кавказский        федеральный округ;2003;4456.1955;6002
Республика Дагестан;2003;1153.9851;1245
Республика Ингушетия;2003;172.0312;224
Кабардино-Балкарская Республика;2003;140.6339;879
Карачаево-Черкесская Республика;2003;170.559;256
Республика Северная Осетия - Алания;2003;91.2045;1246
Чеченская Республика;2003;774.041;292
Ставропольский край;2003;1953.7408;1861
Приволжский федеральный округ;2003;30251.6906;41837
Республика Башкортостан;2003;3442.4833;4345
Республика Марий Эл;2003;528.2239;1465
Республика Мордовия;2003;1118.879;702
Республика Татарстан;2003;4576.8564;5873
Удмуртская Республика;2003;2777.898;1644
Чувашская Республика;2003;1152.7893;3211
Пермский край;2003;3347.6031;4458
Кировская область;2003;3548.5301;1959
Нижегородская область ;2003;2476.193;6916
Оренбургская область;2003;1289.8809;2528
Пензенская область;2003;529.4554;1138
Самарская область;2003;2541.3117;4276
Саратовская область;2003;1793.6857;2212
Ульяновская область;2003;1127.9008;1110
Уральский         федеральный округ;2003;14432.3154;14656
Курганская область;2003;461.3594;1058
Свердловская область ;2003;2456.6867;5325
Тюменская область;2003;7267.1807;4631
в том числе:;2003;0;0
Ханты-Мансийский автономный округ - Югра;2003;3957.7511;2284
Ямало-Ненецкий автономный округ;2003;1717.9419;343
Тюменская область  без автономных округов;2003;1591.4877;2004
Челябинская область;2003;4247.0886;3643
Сибирский        федеральный округ;2003;12929.7737;17443
Республика Алтай;2003;92.6843;112
Республика Тыва;2003;171.5781;446
Республика Хакасия;2003;507.6817;316
Алтайский край;2003;1646.0735;1355
Красноярский край;2003;1462.3047;3364
Иркутская область;2003;3311.0123;1477
Кемеровская область;2003;1564;4948
Новосибирская область ;2003;1850.8144;1969
Омская область;2003;953.0055;1830
Томская область;2003;1370.6192;1625
Дальневосточный федеральный округ;2003;6783.3329;6208
Республика Бурятия;2003;429.7941;282
Республика Саха (Якутия);2003;1967.7541;542
Забайкальский край;2003;539.9701;485
Камчатский край;2003;117.9009;276
Приморский край;2003;1344.7037;1485
Хабаровский край ;2003;1008.7213;1775
Амурская область;2003;698.5675;626
Магаданская область;2003;164.8294;148
Сахалинская область;2003;269.5625;417
Еврейская автономная область;2003;133.2024;162
Чукотский автономный округ;2003;108.3269;9
Центральный федеральный округ;2004;20419.114;48087
Белгородская область;2004;1518.3261;1872
Брянская область;2004;1187.7554;1390
Владимирская область;2004;807.0004;1458
Воронежская область;2004;1396.3732;4673
Ивановская область;2004;435.6529;1091
Калужская область;2004;606.9644;673
Костромская область;2004;716.2235;1541
Курская область;2004;675;1322
Липецкая область;2004;827.9771;1443
Московская область;2004;3596.5885;9334
Орловская область;2004;993.5593;1091
Рязанская область;2004;525.1057;2037
Смоленская область;2004;684.7483;1457
Тамбовская область;2004;539.1417;1569
Тверская область;2004;915.71;1707
Тульская область;2004;1219.037;2027
Ярославская область;2004;858.4546;2909
г. Москва;2004;2915.4959;10494
Северо-Западный федеральный округ;2004;12697.3472;18594
Республика Карелия;2004;1248.0378;143
Республика Коми;2004;1363.25;712
Архангельская область;2004;1409.7933;1015
в том числе: ;2004;0;0
Ненецкий автономный округ;2004;37.1784;19
Архангельская область без автономного округа;2004;1372.6149;996
Вологодская область;2004;1859.4631;1500
Калининградская область;2004;657.0066;180
Ленинградская область;2004;1345.706;1754
Мурманская область;2004;511.1533;2101
Новгородская область;2004;607.6532;1918
Псковская область;2004;553.4887;1556
г. Санкт-Петербург;2004;3141.7952;7715
Южный             федеральный округ;2004;11120.9852;13738
Республика Адыгея;2004;1197.6662;238
Республика Калмыкия;2004;172;245
Республика Крым;2004;0;0
Краснодарский край;2004;4515.7564;3345
Астраханская область;2004;625.3085;1223
Волгоградская область;2004;1289.2919;3875
Ростовская область;2004;3320.9622;4812
г. Севастополь;2004;0;0
Северо-Кавказский        федеральный округ;2004;4157.3097;6193
Республика Дагестан;2004;1253.8915;1388
Республика Ингушетия;2004;23;288
Кабардино-Балкарская Республика;2004;139;881
Карачаево-Черкесская Республика;2004;171;261
Республика Северная Осетия - Алания;2004;217;1147
Чеченская Республика;2004;714;349
Ставропольский край;2004;1639.4182;1878
Приволжский федеральный округ;2004;33424.5597;44277
Республика Башкортостан;2004;3049.756;4832
Республика Марий Эл;2004;547.0271;1276
Республика Мордовия;2004;5020.0917;751
Республика Татарстан;2004;4116.3962;7135
Удмуртская Республика;2004;1910.8645;1681
Чувашская Республика;2004;852.892;3331
Пермский край;2004;6123.0844;4337
Кировская область;2004;1994.723;1641
Нижегородская область ;2004;2287.4054;8375
Оренбургская область;2004;1164.4755;2561
Пензенская область;2004;531.8524;949
Самарская область;2004;3342.3637;4081
Саратовская область;2004;1447.0589;2334
Ульяновская область;2004;1036.5689;991
Уральский         федеральный округ;2004;14500.9065;14791
Курганская область;2004;872.8635;1068
Свердловская область ;2004;2481.8351;5370
Тюменская область;2004;7121.8128;4951
в том числе:;2004;0;0
Ханты-Мансийский автономный округ - Югра;2004;3826.8267;2494
Ямало-Ненецкий автономный округ;2004;1667.946;330
Тюменская область  без автономных округов;2004;1627.0401;2126
Челябинская область;2004;4024.3951;3402
Сибирский        федеральный округ;2004;12732.1199;16921
Республика Алтай;2004;142.0643;108
Республика Тыва;2004;223.4665;476
Республика Хакасия;2004;313.8135;289
Алтайский край;2004;1382.4375;1624
Красноярский край;2004;1535.2661;3270
Иркутская область;2004;3613.523;1356
Кемеровская область;2004;1513;4605
Новосибирская область ;2004;1626.0485;1758
Омская область;2004;938.322;1764
Томская область;2004;1444.1785;1671
Дальневосточный федеральный округ;2004;6869.4907;6097
Республика Бурятия;2004;344.8281;309
Республика Саха (Якутия);2004;2388.5721;524
Забайкальский край;2004;422.1731;603
Камчатский край;2004;160.683;330
Приморский край;2004;1297.0268;1574
Хабаровский край ;2004;987.4824;1472
Амурская область;2004;487.4892;629
Магаданская область;2004;200.709;159
Сахалинская область;2004;302.3074;441
Еврейская автономная область;2004;124.1792;52
Чукотский автономный округ;2004;154.0404;4
Центральный федеральный округ;2005;19554;41994
Белгородская область;2005;1733;898
Брянская область;2005;1405;1108
Владимирская область;2005;772;1416
Воронежская область;2005;1225;4748
Ивановская область;2005;453;861
Калужская область;2005;548;647
Костромская область;2005;760;1143
Курская область;2005;680;845
Липецкая область;2005;832;1309
Московская область;2005;2777;9369
Орловская область;2005;1004;643
Рязанская область;2005;564;1532
Смоленская область;2005;998;1192
Тамбовская область;2005;507;832
Тверская область;2005;701;684
Тульская область;2005;826;1312
Ярославская область;2005;847;2613
г. Москва;2005;2921;10839
Северо-Западный федеральный округ;2005;14156;12269
Республика Карелия;2005;1407;97
Республика Коми;2005;1249;655
Архангельская область;2005;1455;808
в том числе: ;2005;0;0
Ненецкий автономный округ;2005;69;15
Архангельская область без автономного округа;2005;1386;793
Вологодская область;2005;1812;1139
Калининградская область;2005;718;157
Ленинградская область;2005;1585;1038
Мурманская область;2005;783;722
Новгородская область;2005;932;1709
Псковская область;2005;645;731
г. Санкт-Петербург;2005;3570;5213
Южный             федеральный округ;2005;11640;12913
Республика Адыгея;2005;532;243
Республика Калмыкия;2005;148;245
Республика Крым;2005;0;0
Краснодарский край;2005;5697;3076
Астраханская область;2005;454;1179
Волгоградская область;2005;1201;3337
Ростовская область;2005;3608;4832
г. Севастополь;2005;0;0
Северо-Кавказский        федеральный округ;2005;4244;5430
Республика Дагестан;2005;659;1442
Республика Ингушетия;2005;14;291
Кабардино-Балкарская Республика;2005;116;709
Карачаево-Черкесская Республика;2005;168;251
Республика Северная Осетия - Алания;2005;147;962
Чеченская Республика;2005;1474;258
Ставропольский край;2005;1665;1518
Приволжский федеральный округ;2005;29668;34298
Республика Башкортостан;2005;3256;4711
Республика Марий Эл;2005;733;698
Республика Мордовия;2005;1877;559
Республика Татарстан;2005;4261;3857
Удмуртская Республика;2005;1951;1347
Чувашская Республика;2005;708;2883
Пермский край;2005;4527;3883
Кировская область;2005;2356;998
Нижегородская область ;2005;2250;5252
Оренбургская область;2005;1267;2405
Пензенская область;2005;598;1620
Самарская область;2005;3393;2483
Саратовская область;2005;1259;2542
Ульяновская область;2005;1231;1061
Уральский         федеральный округ;2005;12835;13761
Курганская область;2005;478;763
Свердловская область ;2005;2507;4757
Тюменская область;2005;6675;5447
в том числе:;2005;0;0
Ханты-Мансийский автономный округ - Югра;2005;3623;2536
Ямало-Ненецкий автономный округ;2005;1206;738
Тюменская область  без автономных округов;2005;1846;2173
Челябинская область;2005;3175;2794
Сибирский        федеральный округ;2005;12615;16286
Республика Алтай;2005;126;88
Республика Тыва;2005;184;533
Республика Хакасия;2005;364;313
Алтайский край;2005;1151;1325
Красноярский край;2005;1649;3072
Иркутская область;2005;2674;1770
Кемеровская область;2005;1461;4508
Новосибирская область ;2005;2285;1133
Омская область;2005;1195;1708
Томская область;2005;1526;1836
Дальневосточный федеральный округ;2005;6435;5326
Республика Бурятия;2005;322;305
Республика Саха (Якутия);2005;1715;333
Забайкальский край;2005;647;770
Камчатский край;2005;100;222
Приморский край;2005;1245;1196
Хабаровский край ;2005;965;1530
Амурская область;2005;659;531
Магаданская область;2005;219;63
Сахалинская область;2005;319;317
Еврейская автономная область;2005;113;53
Чукотский автономный округ;2005;130;6
Центральный федеральный округ;2006;22960.3;38557
Белгородская область;2006;1535;1443
Брянская область;2006;1098.8;882
Владимирская область;2006;809.8;1401
Воронежская область;2006;1138.4;4606
Ивановская область;2006;469;891
Калужская область;2006;460.1;707
Костромская область;2006;787.8;1158
Курская область;2006;644;902
Липецкая область;2006;797.8;1323
Московская область;2006;3062;9064
Орловская область;2006;854.7;695
Рязанская область;2006;491.2;1352
Смоленская область;2006;896.2;1172
Тамбовская область;2006;572.8;928
Тверская область;2006;729.8;657
Тульская область;2006;761.2;1520
Ярославская область;2006;792.9;2441
г. Москва;2006;7058.8;7415
Северо-Западный федеральный округ;2006;14059.5;11007
Республика Карелия;2006;1387.4;129
Республика Коми;2006;1236.4;700
Архангельская область;2006;1912.2;773
в том числе: ;2006;0;0
Ненецкий автономный округ;2006;153;11
Архангельская область без автономного округа;2006;1759.2;762
Вологодская область;2006;1694.8;1116
Калининградская область;2006;585.8;324
Ленинградская область;2006;2250;1317
Мурманская область;2006;418.2;707
Новгородская область;2006;666.7;1291
Псковская область;2006;718;683
г. Санкт-Петербург;2006;3190;3967
Южный             федеральный округ;2006;12920.8;12522
Республика Адыгея;2006;1937.4;253
Республика Калмыкия;2006;142.7;223
Республика Крым;2006;0;0
Краснодарский край;2006;6525.7;3212
Астраханская область;2006;414.8;1258
Волгоградская область;2006;1146.8;3274
Ростовская область;2006;2753.4;4302
г. Севастополь;2006;0;0
Северо-Кавказский        федеральный округ;2006;6810.5;4607
Республика Дагестан;2006;490.9;607
Республика Ингушетия;2006;30.8;265
Кабардино-Балкарская Республика;2006;150.3;653
Карачаево-Черкесская Республика;2006;195.3;227
Республика Северная Осетия - Алания;2006;237.9;814
Чеченская Республика;2006;1831;185
Ставропольский край;2006;3874.3;1856
Приволжский федеральный округ;2006;33531.2;33546
Республика Башкортостан;2006;3066.9;5218
Республика Марий Эл;2006;517.3;660
Республика Мордовия;2006;2367;568
Республика Татарстан;2006;5455;3863
Удмуртская Республика;2006;1575.4;1538
Чувашская Республика;2006;710.7;1821
Пермский край;2006;6070;4176
Кировская область;2006;1832.8;1055
Нижегородская область ;2006;2022.1;4811
Оренбургская область;2006;1114.1;2548
Пензенская область;2006;695;1483
Самарская область;2006;4466.8;1823
Саратовская область;2006;2240.2;2894
Ульяновская область;2006;1397.9;1087
Уральский         федеральный округ;2006;12325;12980
Курганская область;2006;589;730
Свердловская область ;2006;2579;4537
Тюменская область;2006;6549.6;5212
в том числе:;2006;0;0
Ханты-Мансийский автономный округ - Югра;2006;3288;2411
Ямало-Ненецкий автономный округ;2006;1507.8;687
Тюменская область  без автономных округов;2006;1753.8;2113
Челябинская область;2006;2607.4;2501
Сибирский        федеральный округ;2006;11285.3;16968
Республика Алтай;2006;111;86
Республика Тыва;2006;334.8;627
Республика Хакасия;2006;207.4;347
Алтайский край;2006;997.9;1465
Красноярский край;2006;1723.6;2664
Иркутская область;2006;2239.9;1843
Кемеровская область;2006;1671;4889
Новосибирская область ;2006;1276.4;1081
Омская область;2006;1037.2;2149
Томская область;2006;1686.1;1816
Дальневосточный федеральный округ;2006;6523;5797
Республика Бурятия;2006;277.2;308
Республика Саха (Якутия);2006;1212.1;463
Забайкальский край;2006;587.1;812
Камчатский край;2006;162.2;317
Приморский край;2006;1079.4;1283
Хабаровский край ;2006;1786.7;1769
Амурская область;2006;763.9;457
Магаданская область;2006;192.6;67
Сахалинская область;2006;295.3;275
Еврейская автономная область;2006;115.7;39
Чукотский автономный округ;2006;50.8;7
Центральный федеральный округ;2007;23256;38055
Белгородская область;2007;1667;1552
Брянская область;2007;1257;860
Владимирская область;2007;748;1672
Воронежская область;2007;1079;4567
Ивановская область;2007;441;963
Калужская область;2007;467;809
Костромская область;2007;503;990
Курская область;2007;734;959
Липецкая область;2007;919;1304
Московская область;2007;4124;8526
Орловская область;2007;777;664
Рязанская область;2007;559;1199
Смоленская область;2007;1167;1211
Тамбовская область;2007;536;1029
Тверская область;2007;955;870
Тульская область;2007;923;1892
Ярославская область;2007;844;2208
г. Москва;2007;5556;6777
Северо-Западный федеральный округ;2007;14461;13832
Республика Карелия;2007;1438;243
Республика Коми;2007;1258;868
Архангельская область;2007;1874;922
в том числе: ;2007;0;0
Ненецкий автономный округ;2007;138;19
Архангельская область без автономного округа;2007;1736;903
Вологодская область;2007;1418;1500
Калининградская область;2007;569;3056
Ленинградская область;2007;2829;1354
Мурманская область;2007;450;734
Новгородская область;2007;684;1064
Псковская область;2007;597;560
г. Санкт-Петербург;2007;3344;3529
Южный             федеральный округ;2007;12566;13918
Республика Адыгея;2007;472;266
Республика Калмыкия;2007;141;412
Республика Крым;2007;0;0
Краснодарский край;2007;7273;3763
Астраханская область;2007;428;1275
Волгоградская область;2007;1366;3729
Ростовская область;2007;2886;4474
г. Севастополь;2007;0;0
Северо-Кавказский        федеральный округ;2007;5292;4678
Республика Дагестан;2007;1158;798
Республика Ингушетия;2007;77;253
Кабардино-Балкарская Республика;2007;155;614
Карачаево-Черкесская Республика;2007;210;208
Республика Северная Осетия - Алания;2007;217;773
Чеченская Республика;2007;1867;338
Ставропольский край;2007;1608;1695
Приволжский федеральный округ;2007;31406;38126
Республика Башкортостан;2007;3103;5471
Республика Марий Эл;2007;443;763
Республика Мордовия;2007;997;686
Республика Татарстан;2007;4694;4189
Удмуртская Республика;2007;1415;1487
Чувашская Республика;2007;779;1940
Пермский край;2007;6115;5377
Кировская область;2007;1738;1102
Нижегородская область ;2007;2071;5482
Оренбургская область;2007;1259;3127
Пензенская область;2007;770;1532
Самарская область;2007;4937;1941
Саратовская область;2007;1655;3541
Ульяновская область;2007;1430;1485
Уральский         федеральный округ;2007;14945;14421
Курганская область;2007;463;769
Свердловская область ;2007;2764;4577
Тюменская область;2007;7814;5230
в том числе:;2007;0;0
Ханты-Мансийский автономный округ - Югра;2007;4341;2384
Ямало-Ненецкий автономный округ;2007;1472;714
Тюменская область  без автономных округов;2007;2001;2132
Челябинская область;2007;3904;3846
Сибирский        федеральный округ;2007;10944;20468
Республика Алтай;2007;103;93
Республика Тыва;2007;214;652
Республика Хакасия;2007;228;418
Алтайский край;2007;1101;1875
Красноярский край;2007;1995;3432
Иркутская область;2007;2244;2022
Кемеровская область;2007;1134;4765
Новосибирская область ;2007;1731;3180
Омская область;2007;1084;2444
Томская область;2007;1110;1587
Дальневосточный федеральный округ;2007;6357;6430
Республика Бурятия;2007;305;441
Республика Саха (Якутия);2007;1359;448
Забайкальский край;2007;673;796
Камчатский край;2007;206;341
Приморский край;2007;1195;1623
Хабаровский край ;2007;1206;1791
Амурская область;2007;729;456
Магаданская область;2007;181;76
Сахалинская область;2007;305;248
Еврейская автономная область;2007;158;200
Чукотский автономный округ;2007;40;11
Центральный федеральный округ;2008;26813.3719;38566
Белгородская область;2008;2057.4284;1716
Брянская область;2008;1196.2049;823
Владимирская область;2008;878.3811;1580
