Субъект РФ;Год;Численность пенсионеров (тыс. чел);Среднедушевые денежные доходы населения (в месяц, руб.);Среднемесячная номинальная заработная плата работников организаций (руб.);Средний размер назначенных пенсий
Хабаровский край ;2011;382;23766;26156;8817
Амурская область;2011;228;17790;24202;7591
Магаданская область;2011;47;30452;41934;12022
Сахалинская область;2011;160;32268;38771;10099
Еврейская автономная область;2011;47;16525;22928;7325
Чукотский автономный округ;2011;14;43049;53369;13835
Центральный федеральный округ;2012;10897;30006;32186;8307
Белгородская область;2012;478;21659;20002;7920
Брянская область;2012;408;17469;16530;7742
Владимирская область;2012;456;16229;18343;8164
Воронежская область;2012;730;18948;19538;7702
Ивановская область;2012;327;16015;16998;7976
Калужская область;2012;300;20742;23710;8248
Костромская область;2012;208;15867;16896;7863
Курская область;2012;381;18866;18690;7464
Липецкая область;2012;377;19829;19417;7751
Московская область;2012;1879;30572;32303;8849
Орловская область;2012;264;16827;16888;7994
Рязанская область;2012;387;17652;19098;7818
Смоленская область;2012;300;18305;17942;7854
Тамбовская область;2012;351;17449;16866;7408
Тверская область;2012;425;17282;20246;8083
Тульская область;2012;551;19340;20121;8112
Ярославская область;2012;405;18605;20397;8347
г. Москва;2012;2670;48935;48830;8893
Северо-Западный федеральный округ;2012;4039;23422;29058;9374
Республика Карелия;2012;234;20058;24796;10132
Республика Коми;2012;293;27040;33971;10502
Архангельская область;2012;424;23142;28531;10327
в том числе: ;2012;0;0;0;0
Ненецкий автономный округ;2012;12;62323;57795;12676
Архангельская область без автономного округа;2012;412;21709;26374;10256
Вологодская область;2012;357;18248;22649;8507
Калининградская область;2012;247;19456;21526;7893
Ленинградская область;2012;466;17967;26310;8492
Мурманская область;2012;249;28932;36188;11261
Новгородская область;2012;201;19547;21297;8111
Псковская область;2012;210;16294;18203;7883
г. Санкт-Петербург;2012;1358;27834;32930;9574
Южный             федеральный округ;2012;3889;18864;19823;7661
Республика Адыгея;2012;122;17071;16715;7359
Республика Калмыкия;2012;71;10190;15041;7139
Республика Крым;2012;0;0;0;0
Краснодарский край;2012;1469;21686;21409;7659
Астраханская область;2012;245;17789;19522;7406
Волгоградская область;2012;739;16011;18584;7846
Ростовская область;2012;1243;18107;19189;7662
г. Севастополь;2012;0;0;0;0
Северо-Кавказский        федеральный округ;2012;2204;17167;16725;6963
Республика Дагестан;2012;551;20730;13660;6337
Республика Ингушетия;2012;83;12322;18302;6280
Кабардино-Балкарская Республика;2012;183;13717;16314;6726
Карачаево-Черкесская Республика;2012;115;13388;15511;7214
Республика Северная Осетия - Алания;2012;211;16165;15897;7461
Чеченская Республика;2012;346;15274;17385;6783
Ставропольский край;2012;715;17088;18447;7485
Приволжский федеральный округ;2012;8578;19663;20020;7839
Республика Башкортостан;2012;1073;21267;20265;7761
Республика Марий Эл;2012;193;12532;16023;7326
Республика Мордовия;2012;249;13081;15187;7411
Республика Татарстан;2012;1044;24004;23234;7886
Удмуртская Республика;2012;416;16694;18241;8046
Чувашская Республика;2012;343;13759;17187;7411
Пермский край;2012;764;23329;21821;8134
Кировская область;2012;424;16733;16932;8064
Нижегородская область ;2012;1013;21732;20959;8122
Оренбургская область;2012;586;16542;19271;7540
Пензенская область;2012;427;15924;19126;7603
Самарская область;2012;932;24696;20800;8106
Саратовская область;2012;721;14280;18803;7576
Ульяновская область;2012;393;16375;17107;7609
Уральский         федеральный округ;2012;3363;26304;31598;8850
Курганская область;2012;285;16129;17180;7639
Свердловская область ;2012;1270;27852;25139;8514
Тюменская область;2012;807;33473;47177;10663
в том числе:;2012;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2012;350;36345;50841;12471
Ямало-Ненецкий автономный округ;2012;116;52585;63696;12644
Тюменская область  без автономных округов;2012;341;22682;28578;8132
Челябинская область;2012;1001;19816;22501;8159
Сибирский        федеральный округ;2012;5440;18474;23789;8218
Республика Алтай;2012;54;14283;18265;7494
Республика Тыва;2012;78;12014;22239;7834
Республика Хакасия;2012;144;16012;23467;8150
Алтайский край;2012;714;13617;16010;7717
Красноярский край;2012;787;22524;28672;8887
Иркутская область;2012;726;17820;25881;8504
Кемеровская область;2012;838;18511;23403;8251
Новосибирская область ;2012;749;20728;23246;8139
Омская область;2012;549;19495;21931;7878
Томская область;2012;277;18027;26725;9052
Дальневосточный федеральный округ;2012;1752;25504;33584;9712
Республика Бурятия;2012;246;17688;23101;7709
Республика Саха (Якутия);2012;250;28701;39916;11311
Забайкальский край;2012;278;17546;24219;7561
Камчатский край;2012;92;31764;43552;12848
Приморский край;2012;527;21679;27445;8408
Хабаровский край ;2012;383;25689;31076;9605
Амурская область;2012;230;21800;26789;8266
Магаданская область;2012;47;36620;49667;13149
Сахалинская область;2012;162;32721;44208;11049
Еврейская автономная область;2012;47;18450;25067;7986
Чукотский автономный округ;2012;14;48533;60807;15211
Центральный федеральный округ;2013;10994;33499;36213;9201
Белгородская область;2013;485;23247;22221;8777
Брянская область;2013;409;18707;18974;8578
Владимирская область;2013;456;18058;20927;9018
Воронежская область;2013;733;21683;21825;8502
Ивановская область;2013;327;17754;18982;8790
Калужская область;2013;302;22243;25757;9139
Костромская область;2013;208;16968;19157;8670
Курская область;2013;383;19436;21234;8271
Липецкая область;2013;379;21957;21391;8584
Московская область;2013;1841;32969;35690;9825
Орловская область;2013;266;17252;19273;8856
Рязанская область;2013;386;18932;21797;8663
Смоленская область;2013;301;18470;20447;8670
Тамбовская область;2013;350;19685;19056;8180
Тверская область;2013;425;19268;22450;8923
Тульская область;2013;549;19675;23030;8998
Ярославская область;2013;405;20664;23003;9229
г. Москва;2013;2789;55936;55485;9845
Северо-Западный федеральный округ;2013;4071;25490;32549;10361
Республика Карелия;2013;235;22067;27503;11226
Республика Коми;2013;294;28724;37717;11643
Архангельская область;2013;426;25343;32465;11437
в том числе: ;2013;0;0;0;0
Ненецкий автономный округ;2013;13;66887;61765;14076
Архангельская область без автономного округа;2013;413;23799;30205;11357
Вологодская область;2013;360;18993;25127;9414
Калининградская область;2013;250;20078;25104;8724
Ленинградская область;2013;471;19873;29358;9408
Мурманская область;2013;249;31907;40225;12497
Новгородская область;2013;202;20608;23494;8971
Псковская область;2013;209;17864;19743;8710
г. Санкт-Петербург;2013;1375;30498;36848;10547
Южный             федеральный округ;2013;3930;21563;22497;8445
Республика Адыгея;2013;122;18736;19276;8115
Республика Калмыкия;2013;72;11673;17471;7877
Республика Крым;2013;0;0;0;0
Краснодарский край;2013;1489;25130;24063;8451
Астраханская область;2013;249;19950;22736;8162
Волгоградская область;2013;745;18067;21046;8643
Ростовская область;2013;1253;20516;21867;8442
г. Севастополь;2013;0;0;0;0
Северо-Кавказский        федеральный округ;2013;2240;18616;19359;7705
Республика Дагестан;2013;565;21557;16835;7050
Республика Ингушетия;2013;87;13272;20151;7116
Кабардино-Балкарская Республика;2013;186;14982;18624;7391
Карачаево-Черкесская Республика;2013;116;14221;17858;7964
Республика Северная Осетия - Алания;2013;213;17142;18664;8246
Чеченская Республика;2013;351;18178;20865;7558
Ставропольский край;2013;722;18800;20667;8240
Приволжский федеральный округ;2013;8663;21639;22481;8672
Республика Башкортостан;2013;1089;23866;22377;8611
Республика Марий Эл;2013;195;14545;18360;8107
Республика Мордовия;2013;249;14029;18101;8190
Республика Татарстан;2013;1060;27006;26035;8734
Удмуртская Республика;2013;422;17777;21053;8908
Чувашская Республика;2013;347;14788;19388;8207
Пермский край;2013;769;24953;24716;9017
Кировская область;2013;427;17364;19291;8917
Нижегородская область ;2013;1020;24364;23573;8982
Оренбургская область;2013;591;18390;21593;8336
Пензенская область;2013;429;16804;20645;8398
Самарская область;2013;943;26341;23470;8956
Саратовская область;2013;725;16292;20668;8346
Ульяновская область;2013;397;17857;19187;8405
Уральский         федеральный округ;2013;3415;28719;34735;9815
Курганская область;2013;288;17076;19409;8439
Свердловская область ;2013;1283;30459;27608;9435
Тюменская область;2013;831;36167;51009;11841
в том числе:;2013;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2013;363;39882;54508;13830
Ямало-Ненецкий автономный округ;2013;119;58829;69192;13943
Тюменская область  без автономных округов;2013;349;23169;31620;9051
Челябинская область;2013;1013;21971;25651;9024
Сибирский        федеральный округ;2013;5497;20108;26398;9091
Республика Алтай;2013;55;14669;20722;8281
Республика Тыва;2013;78;13559;25087;8729
Республика Хакасия;2013;145;16649;26068;9021
Алтайский край;2013;721;15896;18011;8498
Красноярский край;2013;795;24258;31623;9841
Иркутская область;2013;733;18843;29050;9425
Кемеровская область;2013;844;19328;25326;9139
Новосибирская область ;2013;760;22616;25528;8998
Омская область;2013;557;20621;24848;8682
Томская область;2013;280;22874;29814;10024
Дальневосточный федеральный округ;2013;1763;28210;37579;10771
Республика Бурятия;2013;249;18901;26038;8535
Республика Саха (Якутия);2013;254;30595;46542;12539
Забайкальский край;2013;280;19074;27279;8389
Камчатский край;2013;92;35545;48629;14244
Приморский край;2013;531;23759;29966;9326
Хабаровский край ;2013;385;29213;34132;10650
Амурская область;2013;231;23036;30542;9157
Магаданская область;2013;47;42228;57121;14571
Сахалинская область;2013;162;37791;49007;12269
Еврейская автономная область;2013;47;20413;27358;8860
Чукотский автономный округ;2013;14;55625;68261;16843
Центральный федеральный округ;2014;11094;34825;39945;10095
Белгородская область;2014;492;24750;23895;9635
Брянская область;2014;411;20594;20911;9315
Владимирская область;2014;457;19529;22581;9874
Воронежская область;2014;736;24973;24001;9285
Ивановская область;2014;328;19832;20592;9592
Калужская область;2014;305;24318;28248;10000
Костромская область;2014;209;19112;20867;9473
Курская область;2014;386;21860;23099;9048
Липецкая область;2014;380;24420;23133;9404
Московская область;2014;1871;34589;38598;10816
Орловская область;2014;267;19007;20885;9639
Рязанская область;2014;386;21340;24280;9478
Смоленская область;2014;303;20482;22279;9470
Тамбовская область;2014;350;21742;20757;8936
Тверская область;2014;425;20880;23866;9757
Тульская область;2014;547;21936;25873;9804
Ярославская область;2014;405;22848;25434;10107
г. Москва;2014;2836;55473;61208;10851
Северо-Западный федеральный округ;2014;4108;27778;35468;11331
Республика Карелия;2014;236;23005;29371;12326
Республика Коми;2014;296;29561;40222;12800
Архангельская область;2014;427;28111;35572;12555
в том числе: ;2014;0;0;0;0
Ненецкий автономный округ;2014;13;66981;65816;15499
Архангельская область без автономного округа;2014;414;26643;33125;12463
Вологодская область;2014;363;21792;26749;10309
Калининградская область;2014;254;22620;26639;9562
Ленинградская область;2014;475;21578;31851;10315
Мурманская область;2014;249;33783;43378;13749
Новгородская область;2014;203;22964;25225;9821
Псковская область;2014;210;19697;21004;9520
г. Санкт-Петербург;2014;1395;33170;40697;11470
Южный             федеральный округ;2014;3978;23997;24311;9216
Республика Адыгея;2014;123;22078;20945;8846
Республика Калмыкия;2014;73;12992;19341;8598
Республика Крым;2014;0;0;0;0
Краснодарский край;2014;1515;28094;25777;9232
Астраханская область;2014;252;21979;24576;8917
Волгоградская область;2014;750;19388;22828;9427
Ростовская область;2014;1265;22957;23818;9204
г. Севастополь;2014;0;0;0;0
Северо-Кавказский        федеральный округ;2014;2280;20332;20930;8482
Республика Дагестан;2014;581;23298;18194;7794
Республика Ингушетия;2014;91;14681;20993;8103
Кабардино-Балкарская Республика;2014;188;16406;20323;8049
Карачаево-Черкесская Республика;2014;117;16308;19746;8693
Республика Северная Осетия - Алания;2014;210;19257;20311;9003
Чеченская Республика;2014;366;19752;21452;8509
Ставропольский край;2014;727;20537;22597;8995
Приволжский федеральный округ;2014;8757;23599;24601;9497
Республика Башкортостан;2014;1107;25745;24988;9438
Республика Марий Эл;2014;198;16471;20473;8880
Республика Мордовия;2014;250;15783;20342;8961
Республика Татарстан;2014;1075;29537;28294;9586
Удмуртская Республика;2014;429;20164;23421;9759
Чувашская Республика;2014;352;16381;20854;9007
Пермский край;2014;777;27245;27102;9882
Кировская область;2014;430;19647;20978;9762
Нижегородская область ;2014;1027;27049;25497;9842
Оренбургская область;2014;597;20700;23469;9128
Пензенская область;2014;432;18721;22392;9159
Самарская область;2014;953;26356;25884;9806
Саратовская область;2014;730;17786;22012;9107
Ульяновская область;2014;400;20565;21272;9185
Уральский         федеральный округ;2014;3468;29997;37270;10794
Курганская область;2014;290;18315;21172;9214
Свердловская область ;2014;1296;31538;29492;10354
Тюменская область;2014;860;37783;54498;13074
в том числе:;2014;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2014;379;40811;57976;15232
Ямало-Ненецкий автономный округ;2014;124;62020;74489;15332
Тюменская область  без автономных округов;2014;357;25142;34125;9998
Челябинская область;2014;1022;23070;27683;9879
Сибирский        федеральный округ;2014;5559;21256;28347;9942
Республика Алтай;2014;56;16958;22598;8961
Республика Тыва;2014;79;13887;27507;9513
Республика Хакасия;2014;147;17654;29085;9864
Алтайский край;2014;730;18291;19456;9258
Красноярский край;2014;805;24392;34178;10782
Иркутская область;2014;739;19617;31408;10319
Кемеровская область;2014;850;19851;26809;10008
Новосибирская область ;2014;772;23379;27214;9838
Омская область;2014;564;23374;26205;9483
Томская область;2014;284;24333;32042;10982
Дальневосточный федеральный округ;2014;1775;31125;40876;11830
Республика Бурятия;2014;251;20710;27739;9337
Республика Саха (Якутия);2014;257;33054;51111;13779
Забайкальский край;2014;282;19692;29319;9180
Камчатский край;2014;93;39019;53167;15658
Приморский край;2014;535;27479;32431;10224
Хабаровский край ;2014;386;31197;36781;11697
Амурская область;2014;232;25385;32397;10046
Магаданская область;2014;47;44996;62152;16022
Сахалинская область;2014;163;41947;54896;13495
Еврейская автономная область;2014;47;21838;29439;9701
Чукотский автономный округ;2014;15;59962;76285;18562
Центральный федеральный округ;2015;11187;38832;41961;10961
Белгородская область;2015;499;28043;25456;10456
Брянская область;2015;413;23428;21679;10145
Владимирская область;2015;458;22712;23877;10686
Воронежская область;2015;739;29366;24906;10049
Ивановская область;2015;327;22297;21161;10366
Калужская область;2015;308;27434;29939;10857
Костромская область;2015;210;21939;21796;10258
Курская область;2015;389;25330;23921;9818
Липецкая область;2015;383;27087;24524;10200
Московская область;2015;1898;38463;40643;11751
Орловская область;2015;269;22104;21772;10490
Рязанская область;2015;386;23690;25482;10297
Смоленская область;2015;304;23653;23470;10244
Тамбовская область;2015;350;24865;21725;9675
Тверская область;2015;426;23672;24804;10543
Тульская область;2015;546;25460;27555;10688
Ярославская область;2015;406;26613;26748;10955
г. Москва;2015;2876;60535;64310;11790
Северо-Западный федеральный округ;2015;4143;31253;37931;12288
Республика Карелия;2015;237;25859;30704;13374
Республика Коми;2015;296;31221;41365;13925
Архангельская область;2015;428;31285;38300;13628
в том числе: ;2015;0;0;0;0
Ненецкий автономный округ;2015;13;72146;71230;16965
Архангельская область без автономного округа;2015;415;29716;35592;13524
Вологодская область;2015;367;24991;27445;11169
Калининградская область;2015;260;25510;28262;10358
Ленинградская область;2015;478;25541;33996;11230
Мурманская область;2015;249;36747;45989;14941
Новгородская область;2015;204;25631;26346;10643
Псковская область;2015;210;21524;21553;10300
г. Санкт-Петербург;2015;1414;37428;44187;12426
Южный             федеральный округ;2015;4024;25317;25130;9964
Республика Адыгея;2015;124;23028;22087;9568
Республика Калмыкия;2015;74;15276;20109;9320
Республика Крым;2015;0;15664;22440;0
Краснодарский край;2015;1541;31304;26767;9984
Астраханская область;2015;256;23832;25499;9626
Волгоградская область;2015;753;22103;24361;10204
Ростовская область;2015;1276;25825;25008;9943
г. Севастополь;2015;0;17774;21848;0
Северо-Кавказский        федеральный округ;2015;2325;22544;21720;9238
Республика Дагестан;2015;598;26764;19239;8520
Республика Ингушетия;2015;94;15191;21481;9141
Кабардино-Балкарская Республика;2015;191;18976;20866;8695
Карачаево-Черкесская Республика;2015;119;17810;20511;9378
Республика Северная Осетия - Алания;2015;211;21804;21267;9739
Чеченская Республика;2015;379;22709;22304;9402
Ставропольский край;2015;733;21244;23245;9726
Приволжский федеральный округ;2015;8846;26100;25632;10304
Республика Башкортостан;2015;1122;27320;25928;10266
Республика Марий Эл;2015;201;18550;21947;9645
Республика Мордовия;2015;252;17588;22029;9721
Республика Татарстан;2015;1090;32404;29147;10415
Удмуртская Республика;2015;434;24255;24694;10611
Чувашская Республика;2015;355;18141;21369;9794
Пермский край;2015;784;31606;28528;10745
Кировская область;2015;433;21565;22118;10575
Нижегородская область ;2015;1032;30003;26481;10675
Оренбургская область;2015;605;22943;24591;9882
Пензенская область;2015;435;21453;23192;9919
Самарская область;2015;963;27914;26849;10620
Саратовская область;2015;736;20111;22528;9841
Ульяновская область;2015;404;22711;22846;9952
Уральский         федеральный округ;2015;3520;32726;39083;11751
Курганская область;2015;291;20310;22064;9989
Свердловская область ;2015;1308;34113;30691;11256
Тюменская область;2015;889;41893;56616;14247
в том числе:;2015;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2015;393;46221;60068;16553
Ямало-Ненецкий автономный округ;2015;129;67624;77272;16672
Тюменская область  без автономных округов;2015;367;27448;35869;10926
Челябинская область;2015;1032;24654;29642;10726
Сибирский        федеральный округ;2015;5630;23535;29616;10808
Республика Алтай;2015;57;17872;22903;9810
Республика Тыва;2015;80;15572;28322;10435
Республика Хакасия;2015;150;19116;29935;10718
Алтайский край;2015;737;20860;20090;10063
Красноярский край;2015;819;27053;36071;11707
Иркутская область;2015;743;21753;32704;11243
Кемеровская область;2015;858;21879;28263;10891
Новосибирская область ;2015;786;25541;28046;10677
Омская область;2015;573;25283;27234;10259
Томская область;2015;289;26827;34041;11930
Дальневосточный федеральный округ;2015;1781;35019;43164;12875
Республика Бурятия;2015;254;23858;28386;10158
Республика Саха (Якутия);2015;261;37013;54631;15011
Забайкальский край;2015;284;22014;30931;10024
Камчатский край;2015;93;42818;57404;17016
Приморский край;2015;537;31072;33807;11125
Хабаровский край ;2015;386;35460;38041;12716
Амурская область;2015;233;28240;32902;10947
Магаданская область;2015;46;50750;65996;17456
Сахалинская область;2015;163;47872;61311;14700
Еврейская автономная область;2015;47;23759;30896;10561
Чукотский автономный округ;2015;15;63308;79531;20132
Центральный федеральный округ;2016;11314;40200;45943;12178
Белгородская область;2016;505;29799;27091;11639
Брянская область;2016;415;24006;22923;11266
Владимирская область;2016;460;22365;25135;11871
Воронежская область;2016;743;29284;26335;11148
Ивановская область;2016;328;23676;22144;11489
Калужская область;2016;312;28800;31667;12141
Костромская область;2016;211;23174;22989;11379
Курская область;2016;392;25355;25327;10915
Липецкая область;2016;385;27934;26214;11350
Московская область;2016;1940;41276;42656;13020
Орловская область;2016;269;23006;23127;11642
Рязанская область;2016;386;23799;27261;11467
Смоленская область;2016;304;23614;25097;11381
Тамбовская область;2016;354;25769;22795;10699
Тверская область;2016;426;24063;26193;11708
Тульская область;2016;545;26815;29402;11875
Ярославская область;2016;408;26768;28520;12181
г. Москва;2016;2931;62004;71379;13095
Северо-Западный федеральный округ;2016;4203;32822;41076;13624
Республика Карелия;2016;238;26247;33061;14870
Республика Коми;2016;297;31725;43662;15484
Архангельская область;2016;429;31394;40790;15162
в том числе: ;2016;0;0;0;0
Ненецкий автономный округ;2016;14;71350;71850;18875
Архангельская область без автономного округа;2016;415;29837;38118;15041
Вологодская область;2016;369;26602;29303;12408
Калининградская область;2016;266;25663;29451;11492
Ленинградская область;2016;491;28524;36319;12439
Мурманская область;2016;250;37359;48986;16635
Новгородская область;2016;205;25285;27914;11822
Псковская область;2016;211;22032;22399;11432
г. Санкт-Петербург;2016;1447;39853;48703;13739
Южный             федеральный округ;2016;4762;26435;26964;11126
Республика Адыгея;2016;125;25081;23109;10600
Республика Калмыкия;2016;76;15696;21318;10306
Республика Крым;2016;565;17825;24140;11460
Краснодарский край;2016;1571;32857;28734;11081
Астраханская область;2016;259;22841;27493;10684
Волгоградская область;2016;762;21419;26554;11305
Ростовская область;2016;1294;26655;26689;10995
г. Севастополь;2016;110;26239;24259;12544
Северо-Кавказский        федеральный округ;2016;2393;22275;22963;10216
Республика Дагестан;2016;624;25669;20629;9406
Республика Ингушетия;2016;101;15739;22488;10159
Кабардино-Балкарская Республика;2016;195;19767;21532;9550
Карачаево-Черкесская Республика;2016;122;17638;21546;10329
Республика Северная Осетия - Алания;2016;210;22220;22806;10772
Чеченская Республика;2016;403;22859;22926;10411
Ставропольский край;2016;738;20985;24655;10803
Приволжский федеральный округ;2016;8963;25615;27265;11452
Республика Башкортостан;2016;1148;27849;28108;11420
Республика Марий Эл;2016;205;18859;23305;10698
Республика Мордовия;2016;254;17832;23229;10801
Республика Татарстан;2016;1110;32763;30224;11594
Удмуртская Республика;2016;443;23621;26693;11780
Чувашская Республика;2016;361;17646;22908;10901
Пермский край;2016;789;27749;30651;11942
Кировская область;2016;436;21317;23404;11756
Нижегородская область ;2016;1041;30057;28399;11870
Оренбургская область;2016;613;22145;26209;10976
Пензенская область;2016;440;20628;25337;11008
Самарская область;2016;971;26956;28295;11809
Саратовская область;2016;742;19804;23548;10927
Ульяновская область;2016;410;22617;24334;11043
Уральский         федеральный округ;2016;3580;32907;41464;13090
Курганская область;2016;294;20175;23335;11077
Свердловская область ;2016;1325;34718;32348;12518
Тюменская область;2016;918;42657;60090;15888
в том числе:;2016;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2016;408;46934;63568;18358
Ямало-Ненецкий автономный округ;2016;133;72358;83238;18446
Тюменская область  без автономных округов;2016;377;27044;37536;12301
Челябинская область;2016;1043;23657;30941;11923
Сибирский        федеральный округ;2016;5714;23815;31569;11986
Республика Алтай;2016;58;17933;25083;10807
Республика Тыва;2016;81;14963;29828;11555
Республика Хакасия;2016;153;19625;32515;11859
Алтайский край;2016;750;21256;21202;11073
Красноярский край;2016;835;27885;38474;12994
Иркутская область;2016;751;22510;35510;12483
Кемеровская область;2016;863;21345;30115;12108
Новосибирская область ;2016;800;26783;30151;11859
Омская область;2016;582;24713;28163;11373
Томская область;2016;294;26165;36032;13242
Дальневосточный федеральный округ;2016;1800;35785;45786;14302
Республика Бурятия;2016;261;23723;29969;11251
Республика Саха (Якутия);2016;268;38863;59000;16640
Забайкальский край;2016;286;22080;32654;11171
Камчатский край;2016;93;43849;61159;18860
Приморский край;2016;543;31265;35677;12362
Хабаровский край ;2016;388;36565;40109;14123
Амурская область;2016;235;27976;33837;12172
Магаданская область;2016;46;51367;69769;19361
Сахалинская область;2016;165;49468;64959;16344
Еврейская автономная область;2016;47;23069;32165;11757
Чукотский автономный округ;2016;15;67706;86647;22287
Центральный федеральный округ;2017;11426;41897;48592.8;12539
Белгородская область;2017;510;30342;29065.6;12034
Брянская область;2017;417;25107;24743.4;11629
Владимирская область;2017;461;23554;26974.9;12207
Воронежская область;2017;747;29498;28006.6;11484
Ивановская область;2017;328;24860;23470.1;11803
Калужская область;2017;314;28715;34332.2;12406
Костромская область;2017;211;24093;24554.1;11723
Курская область;2017;395;26112;27274.1;11296
Липецкая область;2017;387;28956;28455.2;11712
Московская область;2017;1968;42345;46835.8;13401
Орловская область;2017;270;23979;24811;12020
Рязанская область;2017;387;24272;28818.8;11819
Смоленская область;2017;306;24766;26269.3;11701
Тамбовская область;2017;353;26058;24253.4;11021
Тверская область;2017;427;24353;27611.8;12039
Тульская область;2017;543;27226;31636.9;12248
Ярославская область;2017;409;27200;30720.1;12535
г. Москва;2017;2993;65471;73812.4;13450
Северо-Западный федеральный округ;2017;4235;34299;44450;13978
Республика Карелия;2017;238;27473;34433.5;15295
Республика Коми;2017;298;32310;45688.9;15904
Архангельская область;2017;429;32310;42949.7;15596
в том числе: ;2017;0;0;0;0
Ненецкий автономный округ;2017;14;73013;74172.8;19388
Архангельская область без автономного округа;2017;415;30707;40352.1;15470
Вологодская область;2017;372;25920;31651.2;12772
Калининградская область;2017;270;26463;30580.2;11830
Ленинградская область;2017;495;29668;39333.4;12805
Мурманская область;2017;249;39273;51931.7;17057
Новгородская область;2017;205;25757;29311.1;12196
Псковская область;2017;211;23285;23659.3;11761
г. Санкт-Петербург;2017;1468;42338;53740.2;14044
Южный             федеральный округ;2017;4827;27348;28712.3;11405
Республика Адыгея;2017;127;26478;24489.6;10886
Республика Калмыкия;2017;78;16261;22918.6;10585
Республика Крым;2017;575;19818;26165;11543
Краснодарский край;2017;1598;33403;30342.5;11408
Астраханская область;2017;262;22884;29599.2;10975
Волгоградская область;2017;766;22037;27961.9;11641
Ростовская область;2017;1309;27741;28499.6;11283
г. Севастополь;2017;112;28130;27686.5;12644
Северо-Кавказский        федеральный округ;2017;2435;23018;24399.6;10514
Республика Дагестан;2017;646;26483;21940.6;9680
Республика Ингушетия;2017;105;15801;22749.5;10293
Кабардино-Балкарская Республика;2017;198;20439;22781.7;9814
Карачаево-Черкесская Республика;2017;123;17932;22638.4;10588
Республика Северная Осетия - Алания;2017;208;22702;24714.7;11090
Чеченская Республика;2017;411;22484;23248.8;10813
Ставропольский край;2017;744;22485;26644.5;11115
Приволжский федеральный округ;2017;9043;25987;29189.4;11810
Республика Башкортостан;2017;1164;28468;30357.7;11806
Республика Марий Эл;2017;208;19331;25439.5;11011
Республика Мордовия;2017;256;18255;24327.2;11154
Республика Татарстан;2017;1124;32436;32324.3;11963
Удмуртская Республика;2017;450;23995;28994.5;12132
Чувашская Республика;2017;365;17952;24529.8;11254
Пермский край;2017;793;28340;32951.5;12323
Кировская область;2017;440;21795;25214.8;12087
Нижегородская область ;2017;1046;30326;30387.1;12221
Оренбургская область;2017;615;22910;27444.5;11334
Пензенская область;2017;441;21364;26238.1;11350
Самарская область;2017;980;27094;30491.8;12173
Саратовская область;2017;747;20244;24737.8;11254
Ульяновская область;2017;414;23284;26253.8;11372
Уральский         федеральный округ;2017;3631;33643;43976.8;13464
Курганская область;2017;296;20660;25432.9;11414
Свердловская область ;2017;1337;35210;34759.6;12890
Тюменская область;2017;945;44241;63789.1;16235
в том числе:;2017;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2017;421;48834;66719.4;18798
Ямало-Ненецкий автономный округ;2017;137;76027;89938.3;18805
Тюменская область  без автономных округов;2017;387;27672;40472.7;12534
Челябинская область;2017;1053;23719;32253.1;12283
Сибирский        федеральный округ;2017;5775;24532;33717.9;12329
Республика Алтай;2017;59;18584;26316.1;11115
Республика Тыва;2017;82;15011;31251.1;11911
Республика Хакасия;2017;154;20251;33978.1;12218
Алтайский край;2017;758;22139;22742.7;11379
Красноярский край;2017;847;28819;41116.7;13331
Иркутская область;2017;757;23507;38086.1;12839
Кемеровская область;2017;868;22141;32648.1;12463
Новосибирская область ;2017;814;27698;32286.6;12199
Омская область;2017;589;24707;29750.6;11706
Томская область;2017;297;26697;37517.6;13614
Дальневосточный федеральный округ;2017;1805;36947;48952.4;14681
Республика Бурятия;2017;262;23860;32236.5;11604
Республика Саха (Якутия);2017;271;40554;62205.7;17054
Забайкальский край;2017;288;22714;34847.6;11537
Камчатский край;2017;93;45320;65807;19314
Приморский край;2017;545;32269;38044.7;12715
Хабаровский край ;2017;388;37098;42465.1;14494
Амурская область;2017;235;29213;37367.7;12550
Магаданская область;2017;46;54849;75709.5;19719
Сахалинская область;2017;165;50502;68496.3;16769
Еврейская автономная область;2017;47;23679;34408.8;12109
Чукотский автономный округ;2017;15;73019;91994.5;22568
Центральный федеральный округ;2018;11525;44194;54689;13456
Белгородская область;2018;513;30778;31852;12984
Брянская область;2018;418;26658;27251;12477
Владимирская область;2018;462;23560;30460;13093
Воронежская область;2018;750;30289;31207;12371
Ивановская область;2018;327;24503;25729;12686
Калужская область;2018;319;29178;38197;13286
Костромская область;2018;212;23716;27724;12623
Курская область;2018;396;27279;29937;12165
Липецкая область;2018;388;30025;31622;12604
Московская область;2018;1998;44742;51938;14308
Орловская область;2018;271;24895;27476;12883
Рязанская область;2018;386;25444;31916;12716
Смоленская область;2018;307;25985;29397;12554
Тамбовская область;2018;354;26828;26660;11880
Тверская область;2018;426;25125;31049;12931
Тульская область;2018;539;27212;34662;13153
