Субъект РФ;Год;Численность пенсионеров (тыс. чел);Среднедушевые денежные доходы населения (в месяц, руб.);Среднемесячная номинальная заработная плата работников организаций (руб.);Средний размер назначенных пенсий
Оренбургская область;2001;574;1927;2459.6;792
Пензенская область;2001;425;1708;1752.3;801
Самарская область;2001;864;3263;3157.3;805
Саратовская область;2001;716;2035;1953.3;792
Ульяновская область;2001;375;1717;2035.2;802
Уральский         федеральный округ;2001;3059;3820;5168.6;841
Курганская область;2001;289;1785;2064.3;808
Свердловская область ;2001;1231;2994;3246.1;840
Тюменская область;2001;580;7109;9980;874
в том числе:;2001;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2001;198;9594;12589.8;960
Ямало-Ненецкий автономный округ;2001;67;10733;12577.1;992
Тюменская область  без автономных округов;2001;315;0;0;0
Челябинская область;2001;959;2500;2959;832
Сибирский        федеральный округ;2001;5118;2576;3190.8;834.6
Республика Алтай;2001;52;1620;1902.3;789
Республика Тыва;2001;80;1638;2385;760
Республика Хакасия;2001;139;2476;3067.1;824.3
Алтайский край;2001;700;1691;1870.4;815.4
Красноярский край;2001;700;3572;4813.3;854
Иркутская область;2001;663;2879;3642.7;851
Кемеровская область;2001;814;3086;3312.7;853
Новосибирская область ;2001;694;2140;2657.8;839
Омская область;2001;526;2341;2294.8;816
Томская область;2001;252;2851;4055.1;885
Дальневосточный федеральный округ;2001;1590;3304;4298;940
Республика Бурятия;2001;230;2262;2734.7;802
Республика Саха (Якутия);2001;203;5010;6052.3;1221
Забайкальский край;2001;268;2011;2871.8;783
Камчатский край;2001;79;4559;6157.2;1104
Приморский край;2001;490;2367;3302.5;844
Хабаровский край ;2001;355;3396;3997.4;911
Амурская область;2001;210;2313;3147;818
Магаданская область;2001;46;5069;5614.3;1056
Сахалинская область;2001;150;3872;4979.2;1011
Еврейская автономная область;2001;43;2029;2790.3;806
Чукотский автономный округ;2001;14;7952;8215.5;1189
Центральный федеральный округ;2002;10741;5436;4432.6;1148
Белгородская область;2002;452;2762;3493.2;1086
Брянская область;2002;439;2452;2612.5;1161
Владимирская область;2002;468;2158;3165.7;1179
Воронежская область;2002;760;2597;2579.7;1094
Ивановская область;2002;353;1778;2595.1;1190
Калужская область;2002;302;2503;3457.3;1156
Костромская область;2002;223;2516;3068.1;1142
Курская область;2002;399;2699;2866;1039
Липецкая область;2002;368;2776;3388.5;1106
Московская область;2002;1765;3546;4802.6;1175
Орловская область;2002;265;2614;3028.7;1142
Рязанская область;2002;408;2531;3094.9;1117
Смоленская область;2002;322;3003;3323;1122
Тамбовская область;2002;383;2688;2554.6;1072
Тверская область;2002;460;2349;3306.5;1168
Тульская область;2002;587;2620;3270.5;1164
Ярославская область;2002;416;3354;3889.5;1176
г. Москва;2002;2371;12461;6388.4;1176
Северо-Западный федеральный округ;2002;3890;4010;5067.9;1235
Республика Карелия;2002;218;4061;4653.1;1271
Республика Коми;2002;277;6225;6505.8;1268
Архангельская область;2002;406;3956;4971.7;1294
в том числе: ;2002;0;0;0;0
Ненецкий автономный округ;2002;10;8621;12626.8;1335
Архангельская область без автономного округа;2002;396;0;0;0
Вологодская область;2002;358;3481;4497;1212
Калининградская область;2002;218;2716;3703;1080
Ленинградская область;2002;459;2418;4527.5;1156
Мурманская область;2002;236;5893;7222.6;1319
Новгородская область;2002;217;3009;3443;1147
Псковская область;2002;239;2735;2919.5;1129
г. Санкт-Петербург;2002;1262;4514;5434.7;1284
Южный             федеральный округ;2002;3818;2548;3184.3;1098
Республика Адыгея;2002;125;2167;2612.6;1063
Республика Калмыкия;2002;69;1763;2533.7;1003
Республика Крым;2002;0;0;0;0
Краснодарский край;2002;1372;2857;3365.4;1095
Астраханская область;2002;236;3058;3530;1063
Волгоградская область;2002;736;2952;3132.7;1114
Ростовская область;2002;1280;3026;3002.1;1105
г. Севастополь;2002;0;0;0;0
Северо-Кавказский        федеральный округ;2002;1894;0;2441.7;1001
Республика Дагестан;2002;450;1534;1834.3;889
Республика Ингушетия;2002;59;1171;2729.2;854
Кабардино-Балкарская Республика;2002;181;2095;2269.4;999
Карачаево-Черкесская Республика;2002;116;1999;2425.7;1028
Республика Северная Осетия - Алания;2002;196;1961;2446.9;1093
Чеченская Республика;2002;186;0;2507.7;846
Ставропольский край;2002;706;2335;2837.4;1097
Приволжский федеральный округ;2002;8419;3035;3412.1;1101
Республика Башкортостан;2002;1030;3134;3717.9;1052
Республика Марий Эл;2002;189;1813;2401.5;1047
Республика Мордовия;2002;264;2124;2444.1;1056
Республика Татарстан;2002;964;3249;3735.6;1066
Удмуртская Республика;2002;394;2533;3444.6;1132
Чувашская Республика;2002;345;2070;2461.3;1028
Пермский край;2002;762;4130;4286.6;1123
Кировская область;2002;436;2517;2928.6;1169
Нижегородская область ;2002;1061;3215;3404.1;1156
Оренбургская область;2002;578;2482;3141.8;1082
Пензенская область;2002;427;2221;2501.1;1114
Самарская область;2002;872;4270;4228;1118
Саратовская область;2002;718;2621;2706.6;1109
Ульяновская область;2002;379;2379;2867.1;1100
Уральский         федеральный округ;2002;3074;4791;6588.6;1160
Курганская область;2002;288;2419;2892.3;1109
Свердловская область ;2002;1230;3954;4473.1;1165
Тюменская область;2002;598;8559;12083.3;1199
в том числе:;2002;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2002;209;10846;14634.3;1336
Ямало-Ненецкий автономный округ;2002;71;13298;15876.2;1302
Тюменская область  без автономных округов;2002;318;0;0;0
Челябинская область;2002;958;3108;3847.2;1145
Сибирский        федеральный округ;2002;5184;3373;4309.5;1137.4
Республика Алтай;2002;52;2355;3058.3;1001
Республика Тыва;2002;83;2402;3757.9;915
Республика Хакасия;2002;139;3144;4093.9;1110.4
Алтайский край;2002;697;2194;2567.6;1113.6
Красноярский край;2002;745;4346;6171.4;1174
Иркутская область;2002;674;3610;5024.7;1153
Кемеровская область;2002;811;3994;4248.3;1154
Новосибирская область ;2002;697;2933;3708.8;1152
Омская область;2002;531;3222;3452.9;1128
Томская область;2002;252;3954;5235.2;1199
