Субъект РФ;Год;Валовый региональный продукт: всего (млн. руб.);Валовый региональный продукт: на душу населения (руб.)
Астраханская область;2003;50659.8;50386.3
Волгоградская область;2003;128622.2;47934.1
Ростовская область;2003;171849;39180.4
г. Севастополь;2003;0;0
Северо-Кавказский        федеральный округ;2003;220169.6;28078.5
Республика Дагестан;2003;57626.7;22168.7
Республика Ингушетия;2003;4756.6;10332.4
Кабардино-Балкарская Республика;2003;25997.4;29036.2
Карачаево-Черкесская Республика;2003;11481.1;25999
Республика Северная Осетия - Алания;2003;18925.2;26705.1
Чеченская Республика;2003;0;0
Ставропольский край;2003;101382.6;37058
Приволжский федеральный округ;2003;1807987;58324.4
Республика Башкортостан;2003;242920.5;59274.3
Республика Марий Эл;2003;22987.3;31719
Республика Мордовия;2003;33244;37681.7
Республика Татарстан;2003;305086.1;80809.2
Удмуртская Республика;2003;89034.5;56904.4
Чувашская Республика;2003;45133.1;34540.2
Пермский край;2003;209275.7;74783.8
Кировская область;2003;57795.8;38900.6
Нижегородская область ;2003;206926;59149.2
Оренбургская область;2003;115824.6;53548.8
Пензенская область;2003;48111.5;33304.2
Самарская область;2003;256554.6;79369.1
Саратовская область;2003;119909;45223
Ульяновская область;2003;55184.3;40195.3
Уральский         федеральный округ;2003;1659322.1;134653.5
Курганская область;2003;37046.2;36759
Свердловская область ;2003;284576.3;63865.6
Тюменская область;2003;1117514.4;341146.7
в том числе:;2003;0;0
Ханты-Мансийский автономный округ - Югра;2003;717219.7;496127.8
Ямало-Ненецкий автономный округ;2003;283181.2;555559.1
Тюменская область  без автономных округов;2003;0;0
Челябинская область;2003;220185.2;61444.7
Сибирский        федеральный округ;2003;1104197.5;61979.9
Республика Алтай;2003;6903.9;34042.3
Республика Тыва;2003;8121.2;26607.4
Республика Хакасия;2003;28969.2;53320.2
Алтайский край;2003;88733.3;34295.8
Красноярский край;2003;272727;92547.5
Иркутская область;2003;167927.1;65468.6
Кемеровская область;2003;164903.1;57302.3
Новосибирская область ;2003;153798.9;57360.1
Омская область;2003;115029.5;55729.2
Томская область;2003;97084.3;93193.8
Дальневосточный федеральный округ;2003;666492.8;76007.9
Республика Бурятия;2003;52253.7;53479.2
Республика Саха (Якутия);2003;132964.1;140065.1
Забайкальский край;2003;53145.5;46308.5
Камчатский край;2003;29747;83980.4
Приморский край;2003;119333.7;57986.3
Хабаровский край ;2003;116318.1;81613.4
Амурская область;2003;53199.9;59480.3
Магаданская область;2003;24325.9;135180.6
Сахалинская область;2003;63139.2;116731
Еврейская автономная область;2003;8564.6;45196.1
Чукотский автономный округ;2003;13501.1;256992.1
Центральный федеральный округ;2004;4617086.1;121487.7
Белгородская область;2004;114409.3;75629.4
Брянская область;2004;51003.4;37719.1
Владимирская область;2004;74207;49353.4
Воронежская область;2004;117197.6;49530
Ивановская область;2004;40159.4;35732.7
Калужская область;2004;57993.8;56325.6
Костромская область;2004;37787.4;52661
Курская область;2004;76506.1;63512.1
Липецкая область;2004;141778.3;117959.2
Московская область;2004;535204.4;79833.2
Орловская область;2004;46042.3;54740.1
Рязанская область;2004;69996;58094.5
Смоленская область;2004;56113.9;54178.9
Тамбовская область;2004;56775;49098.8
Тверская область;2004;88081.5;61158.4
Тульская область;2004;88119.6;53715.1
Ярославская область;2004;112438.7;84008.1
г. Москва;2004;2853272.4;268390.3
Северо-Западный федеральный округ;2004;1474882;106667.8
Республика Карелия;2004;53964.1;77509.7
Республика Коми;2004;131588;132733.1
Архангельская область;2004;142564.7;109045.7
в том числе: ;2004;0;0
Ненецкий автономный округ;2004;39586.7;944926.1
Архангельская область без автономного округа;2004;0;0
Вологодская область;2004;161378.6;129015.6
Калининградская область;2004;66552.1;70426
Ленинградская область;2004;166445;99230
Мурманская область;2004;124972;144469.3
Новгородская область;2004;49242.3;72549.3
Псковская область;2004;35816;48358.5
г. Санкт-Петербург;2004;542359.2;116030.9
Южный             федеральный округ;2004;766851.3;55215.5
Республика Адыгея;2004;12493.2;28133.2
Республика Калмыкия;2004;8518.5;29105.7
Республика Крым;2004;0;0
Краснодарский край;2004;313623.6;61291.7
Астраханская область;2004;56710.9;56357.5
Волгоградская область;2004;154337.7;57928
Ростовская область;2004;221167.4;50678.6
г. Севастополь;2004;0;0
Северо-Кавказский        федеральный округ;2004;275606.3;35083.2
Республика Дагестан;2004;80712.4;30629.6
Республика Ингушетия;2004;6210.4;14024.9
Кабардино-Балкарская Республика;2004;29052.9;32884.8
Карачаево-Черкесская Республика;2004;13127.2;29348.9
Республика Северная Осетия - Алания;2004;24268;34323.6
Чеченская Республика;2004;0;0
Ставропольский край;2004;122235.4;44610
Приволжский федеральный округ;2004;2284895.8;74218.8
