Субъекты РФ;Год;ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ (тыс. чел);Естественный прирост населения (чел.);Миграционный прирост населения (чел.)
Красноярский край;2010;2829.1;-2829.1;-4243.65
Иркутская область;2010;2428;-12140;-14325.2
Кемеровская область;2010;2761.3;-11045.2;-3589.69
Новосибирская область ;2010;2666.5;5333;6932.9
Омская область;2010;1976.6;-7906.4;-6127.46
Томская область;2010;1048.5;8388;7863.75
Дальневосточный федеральный округ;2010;8362.6;-33450.4;-38467.96
Республика Бурятия;2010;971.5;1943;-2331.6
Республика Саха (Якутия);2010;958.2;-95.82;-6803.22
Забайкальский край;2010;1106.2;-3318.6;-5088.52
Камчатский край;2010;321.7;-1608.5;-1318.97
Приморский край;2010;1953.5;-11721;-6837.25
Хабаровский край ;2010;1342.9;-6714.5;-4162.99
Амурская область;2010;828.7;-5800.9;-4972.2
Магаданская область;2010;156.5;-2504;-2206.65
Сахалинская область;2010;496.7;-4470.3;-3129.21
Еврейская автономная область;2010;176.3;-1234.1;-863.87
Чукотский автономный округ;2010;50.4;-806.4;-876.96
Центральный федеральный округ;2011;38537.6;77075.2;215810.56
Белгородская область;2011;1536.1;3072.2;8294.94
Брянская область;2011;1264.4;-11379.6;-4298.96
Владимирская область;2011;1431.9;-8591.4;-286.38
Воронежская область;2011;2331.5;-2331.5;9792.3
Ивановская область;2011;1054;-6324;843.2
Калужская область;2011;1008.2;-1008.2;3528.7
Костромская область;2011;661.8;-4632.6;-1786.86
Курская область;2011;1121.6;-4486.4;1906.72
Липецкая область;2011;1165.9;-5829.5;-816.13
Московская область;2011;7198.7;93583.1;115179.2
Орловская область;2011;781.3;-3906.5;234.39
Рязанская область;2011;1148.5;-3445.5;3675.2
Смоленская область;2011;980.5;-1961;3823.95
Тамбовская область;2011;1082.6;-7578.2;541.3
Тверская область;2011;1342.2;-8053.2;2415.96
Тульская область;2011;1544.5;-6178;6950.25
Ярославская область;2011;1271;25.42;5973.7
г. Москва;2011;11612.9;69677.4;59225.79
Северо-Западный  федеральный округ;2011;13660.1;40980.3;68300.5
Республика Карелия;2011;639.7;-3198.5;-1151.46
Республика Коми;2011;889.8;-8898;-9965.76
Архангельская область;2011;1213.5;-10921.5;-9343.95
Ненецкий автономный округ;2011;42.4;339.2;135.68
Архангельская область без автономного округа;2011;1171.1;-11711;-9485.91
Вологодская область;2011;1198.5;-2397;599.25
Калининградская область;2011;946.8;4734;6438.24
Ленинградская область;2011;1733.9;15605.1;25835.11
Мурманская область;2011;788;-6304;-6067.6
Новгородская область;2011;629.8;-3149;1448.54
Псковская область;2011;666.9;-4001.4;1600.56
г. Санкт-Петербург;2011;4953.2;54485.2;58943.08
Южный                 федеральный округ;2011;13884;27768;59701.2
Республика Адыгея;2011;442.4;2654.4;3052.56
Республика Калмыкия;2011;286.7;-2293.6;-3469.07
Республика Крым;2011;0;0;0
Краснодарский край;2011;5284.5;52845;61828.65
Астраханская область;2011;1015;5075;3958.5
Волгоградская область;2011;2594.8;-12974;-5708.56
Ростовская область;2011;4260.6;-12781.8;-426.06
г. Севастополь;2011;0;0;0
Северо-Кавказский     федеральный округ;2011;9492.9;56957.4;-32275.86
Республика Дагестан;2011;2930.5;17583;-21685.7
Республика Ингушетия ;2011;430.5;16789.5;6371.4
Кабардино-Балкарская Республика;2011;859;-859;-5583.5
Карачаево-Черкесская Республика;2011;474.7;-2848.2;-4319.77
Республика Северная Осетия – Алания;2011;709;-3545;-6097.4
Чеченская Республика ;2011;1302.2;27346.2;-3515.94
Ставропольский край;2011;2787;2787;2787
Приволжский федеральный округ;2011;29811.5;-59623;-11924.6
Республика Башкортостан;2011;4064.3;-8128.6;-9347.89
Республика Марий Эл;2011;692.4;-2769.6;-2284.92
Республика Мордовия;2011;825.4;-7428.6;-3384.14
Республика Татарстан;2011;3803.2;15212.8;12170.24
Удмуртская Республика;2011;1518.1;-3036.2;-3795.25
Чувашская Республика;2011;1247;-3741;-2743.4
Пермский край;2011;2631.1;-2631.1;-789.33
Кировская область;2011;1327.9;-10623.2;-5577.18
Нижегородская область ;2011;3296.9;-9890.7;6923.49
Оренбургская область;2011;2023.7;-8094.8;-7082.95
Пензенская область;2011;1376.5;-6882.5;-412.95
Самарская область;2011;3214.1;-1285.64;8356.66
Саратовская область;2011;2508.8;-10035.2;-1003.52
Ульяновская область;2011;1282.1;-7692.6;-3205.25
Уральский       федеральный округ;2011;12143.4;60717;37644.54
Курганская область;2011;896.3;-12548.2;-9859.3
Свердловская область ;2011;4307.6;8615.2;13353.56
Тюменская область;2011;3459.4;55350.4;28367.08
Ханты-Мансийский автономный округ – Югра;2011;1561.2;24979.2;8898.84
Ямало-Ненецкий автономный округ;2011;536.6;11805.2;6331.88
Тюменская область без автономных округов;2011;1361.6;19062.4;13343.68
Челябинская область;2011;3480.1;3480.1;6612.19
Сибирский        федеральный округ;2011;17190.2;17190.2;15471.18
Республика Алтай;2011;208.4;1875.6;-291.76
Республика Тыва;2011;309.4;1237.6;-3867.5
Республика Хакасия;2011;532.2;-159.66;-1011.18
Алтайский край;2011;2407.2;-9628.8;-5777.28
Красноярский край;2011;2838.4;8515.2;7947.52
Иркутская область;2011;2424.4;-2424.4;-6788.32
Кемеровская область;2011;2750.8;-11003.2;-2750.8
Новосибирская область ;2011;2686.9;21495.2;21763.89
Омская область;2011;1974.8;-1974.8;-1777.32
Томская область;2011;1057.7;9519.3;8355.83
Дальневосточный федеральный округ;2011;8336.7;-25010.1;-30845.79
Республика Бурятия;2011;971.4;-194.28;-4371.3
Республика Саха (Якутия);2011;955.8;-2867.4;-9749.16
Забайкальский край;2011;1099.4;-6596.4;-9234.96
Камчатский край;2011;320.2;-1601;-1633.02
Приморский край;2011;1950.5;-3901;1170.3
Хабаровский край ;2011;1342.5;-402.75;1879.5
Амурская область;2011;821.6;-7394.4;-6079.84
Магаданская область;2011;154.5;-2008.5;-1823.1
Сахалинская область;2011;495.4;-1486.2;-198.16
Еврейская автономная область;2011;174.4;-1918.4;-1656.8
Чукотский автономный округ;2011;51;663;520.2
Центральный федеральный округ;2012;38678.9;154715.6;239809.18
Белгородская область;2012;1541;4623;8629.6
Брянская область;2012;1253.6;-11282.4;-4638.32
Владимирская область;2012;1421.7;-9951.9;-2843.4
Воронежская область;2012;2330.4;-1165.2;10020.72
Ивановская область;2012;1049;-5245;1049
Калужская область;2012;1005.6;-3016.8;1407.84
Костромская область;2012;658.9;-2635.6;-724.79
Курская область;2012;1119.3;-2238.6;2910.18
Липецкая область;2012;1162.2;-3486.6;581.1
Московская область;2012;7048.1;91625.3;110655.17
Орловская область;2012;775.8;-5430.6;-1396.44
Рязанская область;2012;1144.7;-3434.1;2518.34
Смоленская область;2012;975.2;-4876;780.16
Тамбовская область;2012;1075.7;-6454.2;215.14
Тверская область;2012;1334.1;-8004.6;800.46
Тульская область;2012;1532.4;-12259.2;-306.48
Ярославская область;2012;1271.7;1271.7;5595.48
г. Москва;2012;11979.5;119795;106617.55
Северо-Западный  федеральный округ;2012;13717.8;54871.2;79563.24
Республика Карелия;2012;636.9;-2547.6;-955.35
Республика Коми;2012;880.7;-8807;-10744.54
Архангельская область;2012;1202.3;-10820.7;-10219.55
Ненецкий автономный округ;2012;42.8;342.4;51.36
Архангельская область без автономного округа;2012;1159.5;-11595;-10203.6
Вологодская область;2012;1196.2;-2392.4;-1076.58
Калининградская область;2012;954.8;7638.4;8784.16
Ленинградская область;2012;1751.1;17511;27317.16
Мурманская область;2012;780.4;-7804;-7882.04
Новгородская область;2012;625.9;-3755.4;-250.36
Псковская область;2012;661.5;-5292;264.6
г. Санкт-Петербург;2012;5028;75420;74414.4
Южный                 федеральный округ;2012;13910.2;27820.4;37557.54
Республика Адыгея;2012;444.4;1777.6;2177.56
Республика Калмыкия;2012;284.1;-2556.9;-3920.58
Республика Крым;2012;0;0;0
Краснодарский край;2012;5330.2;47971.8;46372.74
Астраханская область;2012;1013.9;-1013.9;-3650.04
Волгоградская область;2012;2583;-12915;-6974.1
Ростовская область;2012;4254.6;-4254.6;3829.14
г. Севастополь;2012;0;0;0
Северо-Кавказский     федеральный округ;2012;9540.8;47704;-39117.28
Республика Дагестан;2012;2946;14730;-24157.2
Республика Ингушетия ;2012;442.3;11942.1;4069.16
Кабардино-Балкарская Республика;2012;858.9;-85.89;-6184.08
Карачаево-Черкесская Республика;2012;471.9;-2831.4;-4671.81
Республика Северная Осетия – Алания;2012;706.1;-2824.4;-6143.07
Чеченская Республика ;2012;1324.8;22521.6;-4636.8
Ставропольский край;2012;2790.8;2790.8;2232.64
Приволжский федеральный округ;2012;29772.2;-29772.2;-17863.32
Республика Башкортостан;2012;4060.9;-4060.9;-8933.98
Республика Марий Эл;2012;690.3;-2070.9;-2485.08
Республика Мордовия;2012;818.6;-6548.8;-3110.68
Республика Татарстан;2012;3822;19110;9937.2
Удмуртская Республика;2012;1517.7;-455.31;-4097.79
Чувашская Республика;2012;1243.4;-3730.2;-4476.24
Пермский край;2012;2634.5;2634.5;1844.15
Кировская область;2012;1319.1;-9233.7;-5144.49
Нижегородская область ;2012;3289.8;-6579.6;6908.58
Оренбургская область;2012;2016.1;-8064.4;-8870.84
Пензенская область;2012;1368.7;-8212.2;-2189.92
Самарская область;2012;3213.3;-642.66;5141.28
Саратовская область;2012;2503.3;-5006.6;1752.31
Ульяновская область;2012;1274.5;-7647;-4205.85
Уральский       федеральный округ;2012;12197.5;48790;23175.25
Курганская область;2012;885.7;-10628.4;-8591.29
Свердловская область ;2012;4315.8;8631.6;6905.28
Тюменская область;2012;3510.7;52660.5;20713.13
Ханты-Мансийский автономный округ – Югра;2012;1584.1;23761.5;5069.12
Ямало-Ненецкий автономный округ;2012;541.6;4874.4;-1137.36
Тюменская область без автономных округов;2012;1385;23545;16897
Челябинская область;2012;3485.3;3485.3;4530.89
Сибирский        федеральный округ;2012;17211.2;17211.2;3442.24
Республика Алтай;2012;210.3;1892.7;-357.51
Республика Тыва;2012;310.5;1242;-3694.95
Республика Хакасия;2012;533;1066;-533
Алтайский край;2012;2398.7;-9594.8;-6236.62
Красноярский край;2012;2846.5;8539.5;3700.45
Иркутская область;2012;2422;-2422;-7266
Кемеровская область;2012;2742.5;-8227.5;-4662.25
Новосибирская область ;2012;2709.5;21676;21676
Омская область;2012;1974;-789.6;-3158.4
Томская область;2012;1064.2;6385.2;4788.9
Дальневосточный федеральный округ;2012;8318.5;-16637;-32442.15
Республика Бурятия;2012;971.8;388.72;-4567.46
Республика Саха (Якутия);2012;955.6;-286.68;-8313.72
Забайкальский край;2012;1095.2;-4380.8;-7556.88
Камчатский край;2012;320.6;320.6;-64.12
Приморский край;2012;1947.2;-3894.4;-1168.32
Хабаровский край ;2012;1342.1;-402.63;-536.84
Амурская область;2012;816.9;-4901.4;-4329.57
Магаданская область;2012;152.3;-2132.2;-2086.51
Сахалинская область;2012;493.3;-1973.2;-1529.23
Еврейская автономная область;2012;172.7;-1727;-1537.03
Чукотский автономный округ;2012;50.8;-203.2;-335.28
Центральный федеральный округ;2013;38819.9;155279.6;232919.4
Белгородская область;2013;1544.1;3088.2;6639.63
Брянская область;2013;1242.6;-11183.4;-4970.4
Владимирская область;2013;1413.3;-8479.8;-565.32
Воронежская область;2013;2328.9;-2328.9;9781.38
Ивановская область;2013;1043.1;-6258.6;-521.55
Калужская область;2013;1004.6;-1004.6;2411.04
Костромская область;2013;656.4;-2625.6;-328.2
Курская область;2013;1118.9;-335.67;4699.38
Липецкая область;2013;1159.9;-2319.8;2087.82
Московская область;2013;7133.6;85603.2;99870.4
Орловская область;2013;770;-6160;-1848
Рязанская область;2013;1140.8;-3422.4;1825.28
Смоленская область;2013;967.9;-6775.3;-1742.22
Тамбовская область;2013;1068.9;-6413.4;213.78
Тверская область;2013;1325.3;-9277.1;132.53
Тульская область;2013;1521.5;-10650.5;608.6
Ярославская область;2013;1271.8;127.18;4832.84
г. Москва;2013;12108.3;133191.3;108974.7
Северо-Западный  федеральный округ;2013;13800.7;82804.2;99365.04
Республика Карелия;2013;634.4;-2537.6;-824.72
Республика Коми;2013;872;-8720;-10464
Архангельская область;2013;1191.8;-10726.2;-9772.76
Ненецкий автономный округ;2013;43;258;-12.9
Архангельская область без автономного округа;2013;1148.8;-10339.2;-9764.8
Вологодская область;2013;1193.4;-2386.8;-1312.74
Калининградская область;2013;963.1;8667.9;9053.14
Ленинградская область;2013;1763.9;12347.3;22754.31
Мурманская область;2013;771.1;-9253.2;-9947.19
Новгородская область;2013;622.4;-3112;311.2
Псковская область;2013;656.6;-4596.2;65.66
г. Санкт-Петербург;2013;5132;107772;101100.4
Южный                 федеральный округ;2013;13963.9;55855.6;62837.55
Республика Адыгея;2013;446.4;2232;2232
Республика Калмыкия;2013;282;-1974;-3440.4
Республика Крым;2013;0;0;0
Краснодарский край;2013;5404.3;75660.2;72958.05
Астраханская область;2013;1016.5;3049.5;20.33
Волгоградская область;2013;2569.1;-12845.5;-8734.94
Ростовская область;2013;4245.6;-8491.2;-127.368
г. Севастополь;2013;0;0;0
Северо-Кавказский     федеральный округ;2013;9590.1;47950.5;-38360.4
Республика Дагестан;2013;2963.9;17783.4;-21636.47
Республика Ингушетия ;2013;453;10872;2853.9
Кабардино-Балкарская Республика;2013;858.4;-858.4;-6180.48
Карачаево-Черкесская Республика;2013;469.9;-1879.6;-4088.13
Республика Северная Осетия – Алания;2013;704;-2112;-5491.2
Чеченская Республика ;2013;1346.4;21542.4;-4712.4
Ставропольский край;2013;2794.5;2794.5;1117.8
Приволжский федеральный округ;2013;29738.8;-29738.8;-14869.4
Республика Башкортостан;2013;4069.7;8139.4;2848.79
Республика Марий Эл;2013;688.7;-1377.4;-2272.71
Республика Мордовия;2013;812.1;-6496.8;-2598.72
Республика Татарстан;2013;3838.2;15352.8;5757.3
Удмуртская Республика;2013;1517;-606.8;-3489.1
Чувашская Республика;2013;1240;-3720;-4464
Пермский край;2013;2636.2;2636.2;26.362
Кировская область;2013;1310.9;-7865.4;-4981.42
Нижегородская область ;2013;3281.5;-9844.5;4922.25
Оренбургская область;2013;2008.5;-8034;-9439.95
Пензенская область;2013;1360.6;-8163.6;-2585.14
Самарская область;2013;3211.2;-3211.2;4174.56
Саратовская область;2013;2496.6;-7489.8;499.32
Ульяновская область;2013;1267.6;-6338;-3422.52
Уральский       федеральный округ;2013;12234.2;36702.6;3670.26
Курганская область;2013;877.1;-8771;-6753.67
Свердловская область ;2013;4320.7;4320.7;1728.28
Тюменская область;2013;3546.3;35463;4610.19
Ханты-Мансийский автономный округ – Югра;2013;1597.2;12777.6;-4631.88
Ямало-Ненецкий автономный округ;2013;539.7;-2158.8;-8095.5
Тюменская область без автономных округов;2013;1409.4;25369.2;17476.56
Челябинская область;2013;3490.1;3490.1;4188.12
Сибирский        федеральный округ;2013;17228.4;17228.4;-3445.68
Республика Алтай;2013;211.6;1269.6;-740.6
Республика Тыва;2013;311.7;1246.8;-3428.7
Республика Хакасия;2013;534.1;1068.2;-320.46
Алтайский край;2013;2390.6;-7171.8;-6454.62
Красноярский край;2013;2852.8;5705.6;1426.4
Иркутская область;2013;2418.3;-4836.6;-8464.05
Кемеровская область;2013;2734.1;-8202.3;-6015.02
Новосибирская область ;2013;2731.2;21849.6;19937.76
Омская область;2013;1973.9;-197.39;-2763.46
Томская область;2013;1070.1;6420.6;3745.35
Дальневосточный федеральный округ;2013;8290.9;-24872.7;-44770.86
Республика Бурятия;2013;973.9;1947.8;-3603.43
Республика Саха (Якутия);2013;954.8;-954.8;-9166.08
Забайкальский край;2013;1090.4;-4361.6;-8505.12
Камчатский край;2013;319.9;-639.8;-1215.62
Приморский край;2013;1938.5;-7754;-7172.45
Хабаровский край ;2013;1339.9;-2679.8;-2947.78
Амурская область;2013;811.3;-5679.1;-5760.23
Магаданская область;2013;150.3;-1953.9;-2134.26
Сахалинская область;2013;491;-2455;-2160.4
Еврейская автономная область;2013;170.4;-2215.2;-2130
Чукотский автономный округ;2013;50.5;-202;-353.5
Центральный федеральный округ;2014;38951.5;116854.5;218128.4
Белгородская область;2014;1547.9;3095.8;7584.71
Брянская область;2014;1233;-9864;-3452.4
Владимирская область;2014;1405.6;-7028;-140.56
Воронежская область;2014;2331.1;2331.1;13287.27
Ивановская область;2014;1036.9;-6221.4;-725.83
Калужская область;2014;1010.5;6063;9498.7
Костромская область;2014;654.4;-1963.2;130.88
Курская область;2014;1117.4;-1117.4;3910.9
Липецкая область;2014;1157.9;-2315.8;2431.59
Московская область;2014;7231.1;101235.4;107743.39
Орловская область;2014;765.2;-4591.2;-612.16
Рязанская область;2014;1135.4;-5677;454.16
Смоленская область;2014;964.8;-2894.4;2026.08
Тамбовская область;2014;1062.4;-6374.4;318.72
Тверская область;2014;1315.1;-10520.8;-1578.12
Тульская область;2014;1513.6;-7568;2875.84
Ярославская область;2014;1271.6;-127.16;4450.6
г. Москва;2014;12197.6;85383.2;69526.32
Северо-Западный  федеральный округ;2014;13843.6;41530.8;56758.76
Республика Карелия;2014;632.5;-1897.5;-442.75
Республика Коми;2014;864.5;-7780.5;-9250.15
Архангельская область;2014;1183.3;-8283.1;-7691.45
Ненецкий автономный округ;2014;43.4;347.2;12510
Архангельская область без автономного округа;2014;1139.9;-9119.2;-7751.32
Вологодская область;2014;1191;-2382;-833.7
Калининградская область;2014;969;5814;6492.3
Ленинградская область;2014;1775.5;12428.5;21306
Мурманская область;2014;766.3;-4597.8;-4980.95
Новгородская область;2014;618.7;-3712.2;-371.22
Псковская область;2014;651.1;-5208.8;-520.88
г. Санкт-Петербург;2014;5191.7;62300.4;52955.34
Южный                 федеральный округ;2014;16298.7;48896.1;55415.58
Республика Адыгея;2014;449.2;2695.2;3009.64
Республика Калмыкия;2014;280.5;-1402.5;-2636.7
Республика Крым;2014;1895.9;0;359443.681
Краснодарский край;2014;5453.3;49079.7;45807.72
Астраханская область;2014;1021.3;5106.5;2451.12
Волгоградская область;2014;2557.4;-12787;-6393.5
Ростовская область;2014;4242.1;-4242.1;5090.52
г. Севастополь;2014;399;0;13526.1
Северо-Кавказский     федеральный округ;2014;9659;67613;-20283.9
Республика Дагестан;2014;2990.4;26913.6;-14054.88
Республика Ингушетия ;2014;463.9;11133.6;2644.23
Кабардино-Балкарская Республика;2014;860.7;2582.1;-3528.87
Карачаево-Черкесская Республика;2014;469;-938;-2532.6
Республика Северная Осетия – Алания;2014;705.2;1410.4;-1974.56
Чеченская Республика ;2014;1370.3;24665.4;-2329.51
Ставропольский край;2014;2799.5;5599;1399.75
Приволжский федеральный округ;2014;29715.5;-29715.5;-5943.1
Республика Башкортостан;2014;4072;4072;-4479.2
Республика Марий Эл;2014;687.4;-1374.8;-1924.72
Республика Мордовия;2014;808.9;-3235.6;242.67
Республика Татарстан;2014;3855;15420;7324.5
Удмуртская Республика;2014;1517.5;455.25;-2124.5
Чувашская Республика;2014;1238.1;-2476.2;-2600.01
Пермский край;2014;2637;791.1;-1054.8
Кировская область;2014;1304.4;-6522;-3521.88
Нижегородская область ;2014;3270.2;-9810.6;1635.1
Оренбургская область;2014;2001.1;-8004.4;-8204.51
Пензенская область;2014;1355.6;-5422.4;406.68
Самарская область;2014;3212.7;1606.35;7067.94
Саратовская область;2014;2493;-2493;2991.6
Ульяновская область;2014;1262.6;-5050.4;-1515.12
Уральский       федеральный округ;2014;12275.8;36827.4;8593.06
Курганская область;2014;869.8;-6958.4;-5218.8
Свердловская область ;2014;4327.4;8654.8;4760.14
Тюменская область;2014;3581.3;35813;3581.3
Ханты-Мансийский автономный округ – Югра;2014;1612.1;14508.9;-2579.36
Ямало-Ненецкий автономный округ;2014;540;540;-6048
Тюменская область без автономных округов;2014;1429.2;20008.8;12148.2
Челябинская область;2014;3497.3;6994.6;5595.68
Сибирский        федеральный округ;2014;17246.2;17246.2;-51.7386
Республика Алтай;2014;213.7;2137;21.37
Республика Тыва;2014;313.8;1882.8;-2479.02
Республика Хакасия;2014;535.8;1607.4;589.38
Алтайский край;2014;2384.8;-4769.6;-3338.72
Красноярский край;2014;2858.8;5717.6;857.64
Иркутская область;2014;2414.9;-2414.9;-7244.7
Кемеровская область;2014;2725;-8175;-5177.5
Новосибирская область ;2014;2746.8;16480.8;13734
Омская область;2014;1978.2;3956.4;791.28
Томская область;2014;1074.4;4297.6;2256.24
Дальневосточный федеральный округ;2014;8277;-16554;-32280.3
Республика Бурятия;2014;978.5;4892.5;-1272.05
Республика Саха (Якутия);2014;956.9;1913.8;-6698.3
Забайкальский край;2014;1087.5;-3262.5;-6742.5
Камчатский край;2014;317.2;-2537.6;-3108.56
Приморский край;2014;1933.3;-5799.9;-3866.6
Хабаровский край ;2014;1338.3;-1338.3;-2542.77
Амурская область;2014;809.9;-1619.8;-1295.84
Магаданская область;2014;148.1;-2221.5;-2265.93
Сахалинская область;2014;488.4;-2442;-2881.56
Еврейская автономная область;2014;168.4;-2020.8;-1818.72
Чукотский автономный округ;2014;50.5;-15.15;-151.5
Центральный федеральный округ;2015;39104.3;156417.2;222894.51
Белгородская область;2015;1550.1;1550.1;5890.38
Брянская область;2015;1225.8;-7354.8;-1838.7
Владимирская область;2015;1397.2;-8383.2;-1536.92
Воронежская область;2015;2333.5;2333.5;12134.2
Ивановская область;2015;1029.8;-7208.6;-2265.56
Калужская область;2015;1009.8;-1009.8;1716.66
Костромская область;2015;651.5;-2606;-651.5
Курская область;2015;1120;2240;7840
Липецкая область;2015;1156.1;-2312.2;2543.42
Московская область;2015;7318.6;87823.2;87823.2
Орловская область;2015;759.7;-5317.9;-1595.37
Рязанская область;2015;1130.1;-5650.5;1.1301
Смоленская область;2015;958.6;-5751.6;-575.16
Тамбовская область;2015;1050.3;-11553.3;-5461.56
Тверская область;2015;1304.8;-10438.4;-1826.72
Тульская область;2015;1506.4;-7532;2862.16
Ярославская область;2015;1271.9;254.38;4706.03
г. Москва;2015;12330.1;135631.1;113436.92
Северо-Западный  федеральный округ;2015;13853.7;13853.7;22165.92
Республика Карелия;2015;629.9;-2519.6;-755.88
Республика Коми;2015;856.8;-7711.2;-8739.36
Архангельская область;2015;1174.1;-9392.8;-7983.88
Ненецкий автономный округ;2015;43.9;482.9;100.97
Архангельская область без автономного округа;2015;1130.2;-10171.8;-8137.44
Вологодская область;2015;1187.7;-3563.1;-2019.09
Калининградская область;2015;976.4;7811.2;8006.48
Ленинградская область;2015;1778.8;3557.6;12095.84
Мурманская область;2015;762.2;-3811;-4344.54
Новгородская область;2015;615.7;-3078.5;430.99
Псковская область;2015;646.4;-4524.8;-64.64
г. Санкт-Петербург;2015;5225.7;36579.9;25605.93
Южный                 федеральный округ;2015;16368;65472;83476.8
Республика Адыгея;2015;451.5;2257.5;2528.4
Республика Калмыкия;2015;278.8;-1951.6;-2871.64
Республика Крым;2015;1907.1;11442.6;16401.06
Краснодарский край;2015;5513.8;60651.8;57894.9
Астраханская область;2015;1018.6;-3055.8;-4991.14
Волгоградская область;2015;2545.9;-10183.6;-5600.98
Ростовская область;2015;4236;-4236;1694.4
г. Севастополь;2015;416.3;17900.9;18275.57
Северо-Кавказский     федеральный округ;2015;9718;58308;-25266.8
Республика Дагестан;2015;3015.7;24125.6;-13570.65
Республика Ингушетия ;2015;472.8;8983.2;1796.64
Кабардино-Балкарская Республика;2015;862.2;1724.4;-3535.02
Карачаево-Черкесская Республика;2015;467.8;-1403.4;-2526.12
Республика Северная Осетия – Алания;2015;703.7;-1407.4;-4292.57
Чеченская Республика ;2015;1394.2;23701.4;-1115.36
Ставропольский край;2015;2801.6;2801.6;-1680.96
Приволжский федеральный округ;2015;29673.6;-29673.6;-23738.88
Республика Башкортостан;2015;4071.1;-814.22;-6106.65
Республика Марий Эл;2015;685.9;-1371.8;-2057.7
Республика Мордовия;2015;807.4;-1614.8;2099.24
Республика Татарстан;2015;3868.7;15474.8;3481.83
Удмуртская Республика;2015;1517.2;-303.44;-2882.68
Чувашская Республика;2015;1236.6;-1236.6;-2349.54
Пермский край;2015;2634.4;-2634.4;-3951.6
Кировская область;2015;1297.5;-6487.5;-3633
Нижегородская область ;2015;3260.3;-9780.9;652.06
Оренбургская область;2015;1994.7;-5984.1;-6582.51
Пензенская область;2015;1348.7;-6743.5;-1348.7
Самарская область;2015;3206;-6412;-1923.6
Саратовская область;2015;2487.5;-4975;1243.75
Ульяновская область;2015;1257.6;-5030.4;-1131.84
Уральский       федеральный округ;2015;12308.1;36924.3;3692.43
Курганская область;2015;861.9;-7757.1;-5516.16
Свердловская область ;2015;4330;4330;1732
Тюменская область;2015;3615.5;36155;3977.05
Ханты-Мансийский автономный округ – Югра;2015;1626.8;14641.2;-1789.48
Ямало-Ненецкий автономный округ;2015;534.1;-5875.1;-11910.43
Тюменская область без автономных округов;2015;1454.6;26182.8;18037.04
Челябинская область;2015;3500.7;3500.7;3500.7
Сибирский        федеральный округ;2015;17258.7;17258.7;-1725.87
Республика Алтай;2015;215.2;1506.4;-215.2
Республика Тыва;2015;315.6;1893.6;-2398.56
Республика Хакасия;2015;536.8;1073.6;322.08
Алтайский край;2015;2376.7;-7130.1;-4515.73
Красноярский край;2015;2866.5;8599.5;2866.5
Иркутская область;2015;2412.8;-2412.8;-6032
Кемеровская область;2015;2717.6;-8152.8;-1902.32
Новосибирская область ;2015;2762.2;16573.2;12429.9
Омская область;2015;1978.5;197.85;-1780.65
Томская область;2015;1076.8;2153.6;107.68
Дальневосточный федеральный округ;2015;8260.3;-16520.6;-33041.2
Республика Бурятия;2015;982.3;3929.2;-1964.6
Республика Саха (Якутия);2015;959.7;2879.1;-5374.32
Забайкальский край;2015;1083;-4332;-7147.8
Камчатский край;2015;316.1;-1264.4;-1675.33
Приморский край;2015;1929;-3858;-2700.6
Хабаровский край ;2015;1334.5;-4003.5;-4937.65
Амурская область;2015;805.7;-4028.5;-3786.79
Магаданская область;2015;146.4;-1756.8;-1727.52
Сахалинская область;2015;487.3;-974.6;-1315.71
Еврейская автономная область;2015;166.1;-2159.3;-1993.2
Чукотский автономный округ;2015;50.2;-401.6;-587.34
Центральный федеральный округ;2016;39209.6;117628.8;176443.2
Белгородская область;2016;1552.9;3105.8;7143.34
Брянская область;2016;1220.5;-4882;488.2
Владимирская область;2016;1389.6;-6948;-277.92
Воронежская область;2016;2335.4;2335.4;12611.16
Ивановская область;2016;1023.2;-6139.2;-1330.16
Калужская область;2016;1014.6;5073;7812.42
Костромская область;2016;648.2;-3241;-972.3
Курская область;2016;1122.9;3368.7;8534.04
Липецкая область;2016;1156.2;115.62;4624.8
Московская область;2016;7423.5;103929;104671.35
Орловская область;2016;754.8;-4528.8;-754.8
Рязанская область;2016;1126.7;-3380.1;1915.39
Смоленская область;2016;953.2;-5719.2;190.64
Тамбовская область;2016;1040.3;-9362.7;-3432.99
Тверская область;2016;1296.8;-7780.8;518.72
Тульская область;2016;1499.4;-7497;3148.74
Ярославская область;2016;1270.7;-1270.7;3557.96
г. Москва;2016;12380.7;49522.8;29713.68
Северо-Западный  федеральный округ;2016;13899.3;41697.9;56987.13
Республика Карелия;2016;627.1;-2508.4;-1003.36
Республика Коми;2016;850.5;-5953.5;-6889.05
Архангельская область;2016;1165.7;-8159.9;-6527.92
Ненецкий автономный округ;2016;43.9;87.8;-320.47
Архангельская область без автономного округа;2016;1121.8;-7852.6;-6282.08
Вологодская область;2016;1183.9;-3551.7;-1775.85
Калининградская область;2016;986.3;9863;9961.63
Ленинградская область;2016;1791.9;12543.3;21681.99
Мурманская область;2016;757.6;-4545.6;-4318.32
Новгородская область;2016;612.5;-3062.5;367.5
Псковская область;2016;642.2;-4495.4;192.66
г. Санкт-Петербург;2016;5281.6;58097.6;44893.6
Южный                 федеральный округ;2016;16428.5;65714;78856.8
Республика Адыгея;2016;453.4;1813.6;2312.34
