Субъекты РФ;Год;ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ (тыс. чел);Естественный прирост населения (чел.);Миграционный прирост населения (чел.)
Карачаево-Черкесская Республика;2001;439.8;-879.6;-703.68
Республика Северная Осетия – Алания;2001;709.6;70.96;6173.52
Чеченская Республика ;2001;1072.9;32187;68451.02
Ставропольский край;2001;2736.2;-2736.2;7934.98
Приволжский федеральный округ;2001;31316;-219212;-9394.8
Республика Башкортостан;2001;4108.3;-4108.3;5340.79
Республика Марий Эл;2001;732.8;-5862.4;-1685.44
Республика Мордовия;2001;897.1;-10765.2;-3857.53
Республика Татарстан;2001;3781.9;-3781.9;9076.56
Удмуртская Республика;2001;1578.2;-9469.2;-3629.86
Чувашская Республика;2001;1319.5;-7917;-1187.55
Пермский край;2001;2837.1;-22696.8;-3688.23
Кировская область;2001;1518.4;-19739.2;-5010.72
Нижегородская область ;2001;3554.7;-39101.7;-1066.41
Оренбургская область;2001;2189.9;-13139.4;-3284.85
Пензенская область;2001;1466.2;-17594.4;-4251.98
Самарская область;2001;3254;-19524;4881
Саратовская область;2001;2682;-18774;4559.4
Ульяновская область;2001;1395.9;-16750.8;-6839.91
Уральский       федеральный округ;2001;12417.7;-62088.5;2483.54
Курганская область;2001;1030.7;-14429.8;-9173.23
Свердловская область ;2001;4514.1;-36112.8;451.41
Тюменская область;2001;3251.5;19509;11380.25
Ханты-Мансийский автономный округ – Югра;2001;1411.9;25414.2;21319.69
Ямало-Ненецкий автономный округ;2001;503.1;5534.1;1509.3
Тюменская область без автономных округов;2001;1336.5;-13365;-11360.25
Челябинская область;2001;3621.4;-25349.8;362.14
Сибирский        федеральный округ;2001;18025.4;-126177.8;-39655.88
Республика Алтай;2001;202.9;101.45;-243.48
Республика Тыва;2001;305.2;305.2;-1342.88
Республика Хакасия;2001;549.5;-4396;-1923.25
Алтайский край;2001;2621.1;-18347.7;-6552.75
Красноярский край;2001;2981.8;-20872.6;-5367.24
Иркутская область;2001;2599.6;-20796.8;-11438.24
Кемеровская область;2001;2917.8;-23342.4;-2626.02
Новосибирская область ;2001;2703;-13515;2432.7
Омская область;2001;2094.7;-18852.3;-12149.26
Томская область;2001;1049.8;-4199.2;-629.88
Дальневосточный федеральный округ;2001;8895.7;-80061.3;-82730.01
Республика Бурятия;2001;987.3;-7898.4;-7404.75
Республика Саха (Якутия);2001;951.5;-2854.5;-9515
Забайкальский край;2001;1165.4;-12819.4;-10022.44
Камчатский край;2001;361.7;-3617;-3906.36
Приморский край;2001;2085.7;-18771.3;-24402.69
Хабаровский край ;2001;1446.1;-11568.8;-5639.79
Амурская область;2001;911.4;-10025.4;-7655.76
Магаданская область;2001;187.2;-5428.8;-6215.04
Сахалинская область;2001;552.2;-7178.6;-5025.02
Еврейская автономная область;2001;191.9;-1343.3;-556.51
Чукотский автономный округ;2001;55.3;-2156.7;-2200.94
Центральный федеральный округ;2002;37946.8;-227680.8;242859.52
Белгородская область;2002;1511.9;1511.9;15270.19
Брянская область;2002;1375;-13750;-1650
Владимирская область;2002;1520.1;-16721.1;-456.03
Воронежская область;2002;2374.4;-21369.6;3324.16
Ивановская область;2002;1144.5;-14878.5;-1487.85
Калужская область;2002;1038.6;-9347.4;-207.72
Костромская область;2002;734.5;-8814;-807.95
Курская область;2002;1231.1;-17235.4;-4062.63
Липецкая область;2002;1211;-9688;1332.1
Московская область;2002;6616.9;6616.9;72124.21
Орловская область;2002;858.3;-8583;-686.64
Рязанская область;2002;1223.7;-15908.1;-1468.44
Смоленская область;2002;1045.9;-13596.7;-3242.29
Тамбовская область;2002;1174.2;-15264.6;-5283.9
Тверская область;2002;1465.6;-21984;-3370.88
Тульская область;2002;1669.8;-25047;50.094
Ярославская область;2002;1364.4;-13644;2319.48
г. Москва;2002;10386.9;4154.76;172422.54
Северо-Западный  федеральный округ;2002;13948.5;-111588;-1394.85
Республика Карелия;2002;715.2;-6436.8;-143.04
Республика Коми;2002;1016;-10160;-9448.8
Архангельская область;2002;1332.7;-14659.7;-8129.47
Ненецкий автономный округ;2002;41.7;125.1;742.26
Архангельская область без автономного округа;2002;1291;-11619;-8907.9
Вологодская область;2002;1266.9;-11402.1;-1013.52
Калининградская область;2002;954.1;-4770.5;6678.7
Ленинградская область;2002;1667.1;-6668.4;15504.03
Мурманская область;2002;889.8;-9787.8;-12724.14
Новгородская область;2002;692.1;-9689.4;553.68
Псковская область;2002;758.1;-10613.4;151.62
г. Санкт-Петербург;2002;4656.5;-32595.5;7450.4
Южный                 федеральный округ;2002;13954.1;-69770.5;46048.53
Республика Адыгея;2002;446.8;-1787.2;-52230.92
Республика Калмыкия;2002;291.8;-1167.2;-20863.7
Республика Крым;2002;0;0;0
Краснодарский край;2002;5119.8;-15359.4;35838.6
Астраханская область;2002;1004.8;-4019.2;3818.24
Волгоградская область;2002;2694.2;-21553.6;50650.96
Ростовская область;2002;4396.7;-30776.9;28138.88
г. Севастополь;2002;0;0;0
Северо-Кавказский     федеральный округ;2002;8937.8;26813.4;100103.36
Республика Дагестан;2002;2581.4;20651.2;-25297.72
Республика Ингушетия ;2002;468.8;7032;-6516.32
Кабардино-Балкарская Республика;2002;901.1;-1802.2;-15589.03
Карачаево-Черкесская Республика;2002;438.9;-2194.5;93397.92
Республика Северная Осетия – Алания;2002;709.7;-2838.8;46201.47
Чеченская Республика ;2002;1105.4;16581;-5637.54
Ставропольский край;2002;2732.5;-5465;12569.5
Приволжский федеральный округ;2002;31104.5;-217731.5;-6220.9
Республика Башкортостан;2002;4102.3;-8204.6;6563.68
Республика Марий Эл;2002;726.7;-5086.9;-1235.39
Республика Мордовия;2002;886.1;-9747.1;-3189.96
Республика Татарстан;2002;3777.7;-3777.7;9444.25
Удмуртская Республика;2002;1568.2;-7841;-3293.22
Чувашская Республика;2002;1311.7;-6558.5;-918.19
Пермский край;2002;2813.8;-22510.4;-3657.94
Кировская область;2002;1499;-19487;-4347.1
Нижегородская область ;2002;3515.7;-35157;703.14
Оренбургская область;2002;2176;-13056;-4352
Пензенская область;2002;1449.2;-13042.8;-3043.32
Самарская область;2002;3235.7;-19414.2;4529.98
Саратовская область;2002;2663.5;-18644.5;2663.5
Ульяновская область;2002;1378.9;-13789;-5791.38
Уральский       федеральный округ;2002;12361.3;-49445.2;-2472.26
Курганская область;2002;1016.2;-12194.4;-7113.4
Свердловская область ;2002;4477.5;-31342.5;-4029.75
Тюменская область;2002;3269.9;19619.4;10136.69
Ханты-Мансийский автономный округ – Югра;2002;1437.7;18690.1;16821.09
Ямало-Ненецкий автономный округ;2002;508.6;6611.8;1780.1
Тюменская область без автономных округов;2002;1323.6;-5294.4;-8338.68
Челябинская область;2002;3597.7;-25183.9;-1439.08
Сибирский        федеральный округ;2002;17898.7;-107392.2;-34007.53
Республика Алтай;2002;203;203;-101.5
Республика Тыва;2002;305.5;916.5;-885.95
Республика Хакасия;2002;545.2;-2726;-1144.92
Алтайский край;2002;2602.6;-18218.2;-4424.42
Красноярский край;2002;2961.9;-20733.3;-6219.99
Иркутская область;2002;2577.7;-18043.9;-9795.26
Кемеровская область;2002;2893.4;-20253.8;-2025.38
Новосибирская область ;2002;2688.5;-16131;-268.85
Омская область;2002;2075.4;-16603.2;-9339.3
Томская область;2002;1045.5;-5227.5;-104.55
Дальневосточный федеральный округ;2002;8811.9;-61683.3;-56396.16
Республика Бурятия;2002;979.6;-4898;-6073.52
Республика Саха (Якутия);2002;948.6;284.58;-7019.64
Забайкальский край;2002;1152.6;-9220.8;-9105.54
Камчатский край;2002;357.9;-3221.1;-3435.84
Приморский край;2002;2067.4;-16539.2;-8269.6
Хабаровский край ;2002;1434.2;-7171;-3872.34
Амурская область;2002;901;-6307;-6216.9
Магаданская область;2002;181.8;-3454.2;-4981.32
Сахалинская область;2002;545;-7085;-4469
Еврейская автономная область;2002;190.6;-762.4;-438.38
Чукотский автономный округ;2002;53.2;-1755.6;-2170.56
Центральный федеральный округ;2003;37965.1;18982.55;368261.47
Белгородская область;2003;1513.9;1513.9;12413.98
Брянская область;2003;1360.2;-14962.2;-952.14
Владимирская область;2003;1509.6;-10567.2;6944.16
Воронежская область;2003;2367.4;-7102.2;17992.24
Ивановская область;2003;1131;-13572;1470.3
Калужская область;2003;1031.7;-7221.9;3610.95
Костромская область;2003;723.1;-10846.5;-2386.23
