Субъект РФ;Год;Оборот розничной торговли (млн. руб.);Объем платных услуг населению (млн. руб.)
Липецкая область;2002;22583.929;4864.4967
Московская область;2002;153802.7126;50478.2417
Орловская область;2002;15654.5246;3482.5326
Рязанская область;2002;19322.034;4795.4247
Смоленская область;2002;23109.647;3882.6725
Тамбовская область;2002;20004.4697;5054.8684
Тверская область;2002;22409.6475;5648.7052
Тульская область;2002;23739.943;7356.4762
Ярославская область;2002;21727.22;7407.0023
г. Москва;2002;1034742.855;294479.8351
Северо-Западный федеральный округ;2002;349208.758;111752.576
Республика Карелия;2002;17339.197;3967.6202
Республика Коми;2002;36721.41;7491.5563
Архангельская область;2002;29411.541;7583.4557
в том числе: ;2002;0;0
Ненецкий автономный округ;2002;1084.307;149.2176
Архангельская область без автономного округа;2002;0;0
Вологодская область;2002;22224.793;7161.3483
Калининградская область;2002;19655.48;5910.7844
Ленинградская область;2002;26653.439;6741.1007
Мурманская область;2002;29171.797;8934.4387
Новгородская область;2002;13453.056;3523.447
Псковская область;2002;15274.609;3183.6343
г. Санкт-Петербург;2002;139303.436;57255.1904
Южный             федеральный округ;2002;287757.6354;80181.9985
Республика Адыгея;2002;5695.2702;1206.9214
Республика Калмыкия;2002;2246.8261;472.8724
Республика Крым;2002;0;0
Краснодарский край;2002;109907.638;33119.9381
Астраханская область;2002;17757.745;5101.4812
Волгоградская область;2002;50198.1517;15912.3202
Ростовская область;2002;101952.0044;24368.4652
г. Севастополь;2002;0;0
Северо-Кавказский        федеральный округ;2002;103848.7699;30725.4013
Республика Дагестан;2002;25147.557;4588.7649
Республика Ингушетия;2002;1956.8291;507.4786
Кабардино-Балкарская Республика;2002;12126.098;3473.5659
Карачаево-Черкесская Республика;2002;5532.4658;1265.7585
Республика Северная Осетия - Алания;2002;9181.984;3687.1822
Чеченская Республика;2002;0;0
Ставропольский край;2002;49903.836;17202.6512
Приволжский федеральный округ;2002;620259.4082;159950.473
Республика Башкортостан;2002;82047.569;25423.6747
Республика Марий Эл;2002;7622.383;2353.5511
Республика Мордовия;2002;9586.288;2813.6196
Республика Татарстан;2002;74576.838;19278.0421
Удмуртская Республика;2002;22780.7561;7462.2259
Чувашская Республика;2002;15769.109;6134.837
Пермский край;2002;68143.602;17709.6493
Кировская область;2002;22079.197;6958.2516
Нижегородская область ;2002;74758.836;15477.7044
Оренбургская область;2002;26007.472;9350.6856
Пензенская область;2002;20910.0031;5743.2111
Самарская область;2002;127798.4;23023.9483
Саратовская область;2002;45238.214;11395.5379
Ульяновская область;2002;22940.741;6825.5344
Уральский         федеральный округ;2002;298638.1798;89971.9504
Курганская область;2002;14519.16;3555.4974
Свердловская область ;2002;107717.876;34028.9927
Тюменская область;2002;109663.019;33566.4919
в том числе:;2002;0;0
Ханты-Мансийский автономный округ - Югра;2002;53184.129;17491.4408
Ямало-Ненецкий автономный округ;2002;22089.555;6519.3776
Тюменская область  без автономных округов;2002;0;0
Челябинская область;2002;66738.1248;18820.9684
Сибирский        федеральный округ;2002;429809.5019;110809.6492
Республика Алтай;2002;2189.0137;440.8935
Республика Тыва;2002;2910.227;623.7809
Республика Хакасия;2002;7732.5312;3214.0102
Алтайский край;2002;41368.927;9839.3235
Красноярский край;2002;75906.1802;21895.9549
Иркутская область;2002;58011.003;14902.1982
Кемеровская область;2002;72562.6023;15177.1199
Новосибирская область ;2002;68011.705;23784.4628
Омская область;2002;41798.368;11641.1498
Томская область;2002;21743.042;9290.7555
Дальневосточный федеральный округ;2002;155140.4151;73059
Республика Бурятия;2002;18006.3865;3449.4746
Республика Саха (Якутия);2002;29226.522;9659.9279
Забайкальский край;2002;19569.516;4726.3045
Камчатский край;2002;9638.367;4223.1307
Приморский край;2002;42346.378;17968.9335
Хабаровский край ;2002;33012.944;18826.4229
Амурская область;2002;15612.961;4611.1141
Магаданская область;2002;4446.61;2298.6403
Сахалинская область;2002;15568.3136;5900.1957
Еврейская автономная область;2002;3500.832;733.8902
Чукотский автономный округ;2002;1787.4875;660.8645
Центральный федеральный округ;2003;1774813.198;574677.6261
Белгородская область;2003;29080.984;7776.43
Брянская область;2003;24600.67;8373.9877
Владимирская область;2003;20234.041;7819.9474
Воронежская область;2003;52608.6669;12754.7351
Ивановская область;2003;14123.62;6076.9269
Калужская область;2003;23072.723;6806.063
Костромская область;2003;12613.806;3150.9623
Курская область;2003;23239.787;5968.1658
Липецкая область;2003;26315.467;6887.9484
Московская область;2003;194375.0036;67088.2898
Орловская область;2003;17895.9218;4746.8755
Рязанская область;2003;23991.362;6433.6572
Смоленская область;2003;26652.843;5600.7217
Тамбовская область;2003;23828.3406;6774.4255
Тверская область;2003;28151.7121;8027.3188
Тульская область;2003;29490.2221;9644.6402
Ярославская область;2003;25567.701;9701.2687
г. Москва;2003;1178970.327;391045.2621
Северо-Западный федеральный округ;2003;411326.57;147687.66
Республика Карелия;2003;19853.724;5630.3524
Республика Коми;2003;44481.031;10093.4831
Архангельская область;2003;35696.321;9388.2922
в том числе: ;2003;0;0
Ненецкий автономный округ;2003;1371.055;225.0198
Архангельская область без автономного округа;2003;0;0
Вологодская область;2003;26818.17;8775.0052
Калининградская область;2003;23064.68;7380.9639
Ленинградская область;2003;30924.431;8515.9938
Мурманская область;2003;34203.985;12220.3884
Новгородская область;2003;15561.869;4856.7483
Псковская область;2003;18844.112;4356.3148
г. Санкт-Петербург;2003;161878.247;76470.1179
Южный             федеральный округ;2003;349666.5568;105575.0909
Республика Адыгея;2003;6722.3808;1731.9566
Республика Калмыкия;2003;2443.0097;615.0045
Республика Крым;2003;0;0
Краснодарский край;2003;134355.479;43307.3408
Астраханская область;2003;21740.524;6784.9109
Волгоградская область;2003;61836.7736;21147.0431
Ростовская область;2003;122568.3897;31988.835
г. Севастополь;2003;0;0
Северо-Кавказский        федеральный округ;2003;137193.263;40549.6581
Республика Дагестан;2003;41051.726;6785.9
Республика Ингушетия;2003;2457.2867;726.7163
Кабардино-Балкарская Республика;2003;15205.211;4826.0744
Карачаево-Черкесская Республика;2003;7453.5123;1653.9023
Республика Северная Осетия - Алания;2003;10537.702;4851.5411
Чеченская Республика;2003;0;0
Ставропольский край;2003;60487.825;21705.524
Приволжский федеральный округ;2003;755327.2577;210234.333
Республика Башкортостан;2003;103784.966;34325.146
Республика Марий Эл;2003;8951.038;3067.3368
Республика Мордовия;2003;12351.262;3537.8937
Республика Татарстан;2003;96969.837;26351.1721
Удмуртская Республика;2003;26321.1229;9925.1351
Чувашская Республика;2003;19603.109;8261.5364
Пермский край;2003;83796.068;22932.1965
Кировская область;2003;24650.206;8787.8042
Нижегородская область ;2003;92013.205;19222.9194
Оренбургская область;2003;30469.788;12450.906
Пензенская область;2003;25184.0668;7833.2157
Самарская область;2003;147998.588;30178.6786
Саратовская область;2003;54470.041;14490.2942
Ульяновская область;2003;28763.96;8870.0983
Уральский         федеральный округ;2003;381195.8976;116671.3764
