Субъект РФ;Год;Продукция сельского хозяйства (млн. руб.)
Пермский край;2017;41560.3
Кировская область;2017;39271.8
Нижегородская область ;2017;69004
Оренбургская область;2017;113038.2
Пензенская область;2017;73919.4
Самарская область;2017;89051.7
Саратовская область;2017;134973.4
Ульяновская область;2017;38461.6
Уральский         федеральный округ;2017;320285.3
Курганская область;2017;38576.7
Свердловская область ;2017;79133.6
Тюменская область;2017;76715.6
в том числе:;2017;0
Ханты-Мансийский автономный округ - Югра;2017;9451.2
Ямало-Ненецкий автономный округ;2017;2687
Тюменская область  без автономных округов;2017;64578
Челябинская область;2017;125859.4
Сибирский        федеральный округ;2017;539652.4
Республика Алтай;2017;10932.7
Республика Тыва;2017;5714
Республика Хакасия;2017;14870.4
Алтайский край;2017;125999.3
Красноярский край;2017;71934.7
Иркутская область;2017;61900.4
Кемеровская область;2017;48027.9
Новосибирская область ;2017;81100.6
Омская область;2017;90419
Томская область;2017;28753.4
Дальневосточный федеральный округ;2017;199641.8
Республика Бурятия;2017;15012.5
Республика Саха (Якутия);2017;24972.3
Забайкальский край;2017;22511.5
Камчатский край;2017;7915.5
Приморский край;2017;42393.1
Хабаровский край ;2017;16701.7
Амурская область;2017;50419.9
Магаданская область;2017;2520.5
Сахалинская область;2017;10525.6
Еврейская автономная область;2017;5216.3
Чукотский автономный округ;2017;1452.9
Центральный федеральный округ;2018;1467970
Белгородская область;2018;257038
Брянская область;2018;85146
Владимирская область;2018;29651
Воронежская область;2018;219151
Ивановская область;2018;16085
Калужская область;2018;43851
Костромская область;2018;15929
Курская область;2018;146703
Липецкая область;2018;119304
Московская область;2018;108423
Орловская область;2018;72247
Рязанская область;2018;56895
Смоленская область;2018;24147
Тамбовская область;2018;127308
Тверская область;2018;38927
Тульская область;2018;65785
Ярославская область;2018;34072
г. Москва;2018;7308
Северо-Западный федеральный округ;2018;246116
Республика Карелия;2018;4498
Республика Коми;2018;10156
Архангельская область;2018;11017
в том числе: ;2018;0
Ненецкий автономный округ;2018;830
Архангельская область без автономного округа;2018;10187
Вологодская область;2018;29255
Калининградская область;2018;34739
Ленинградская область;2018;91717
Мурманская область;2018;1823
Новгородская область;2018;25982
Псковская область;2018;36929
г. Санкт-Петербург;2018;0
Южный             федеральный округ;2018;903937
Республика Адыгея;2018;21899
Республика Калмыкия;2018;26559
Республика Крым;2018;43841
Краснодарский край;2018;382468
Астраханская область;2018;43707
Волгоградская область;2018;128275
Ростовская область;2018;255129
г. Севастополь;2018;2061
Северо-Кавказский        федеральный округ;2018;461495
Республика Дагестан;2018;124371
Республика Ингушетия;2018;10392
Кабардино-Балкарская Республика;2018;49385
Карачаево-Черкесская Республика;2018;29513
Республика Северная Осетия - Алания;2018;24198
Чеченская Республика;2018;27778
Ставропольский край;2018;195858
Приволжский федеральный округ;2018;1191900
Республика Башкортостан;2018;157486
Республика Марий Эл;2018;43262
Республика Мордовия;2018;63662
Республика Татарстан;2018;226034
Удмуртская Республика;2018;64539
Чувашская Республика;2018;37468
Пермский край;2018;44193
Кировская область;2018;41253
Нижегородская область ;2018;67560
Оренбургская область;2018;107971
Пензенская область;2018;82455
Самарская область;2018;88976
Саратовская область;2018;129175
Ульяновская область;2018;37868
Уральский         федеральный округ;2018;321680
Курганская область;2018;39511
Свердловская область ;2018;84960
Тюменская область;2018;77793
в том числе:;2018;0
Ханты-Мансийский автономный округ - Югра;2018;10027
Ямало-Ненецкий автономный округ;2018;2761
Тюменская область  без автономных округов;2018;65005
Челябинская область;2018;119417
Сибирский        федеральный округ;2018;556883
Республика Алтай;2018;11700
Республика Тыва;2018;6141
Республика Хакасия;2018;13824
Алтайский край;2018;131825
Красноярский край;2018;77914
Иркутская область;2018;63549
Кемеровская область;2018;46912
Новосибирская область ;2018;80192
Омская область;2018;94097
Томская область;2018;30728
Дальневосточный федеральный округ;2018;198823
Республика Бурятия;2018;16214
Республика Саха (Якутия);2018;25781
Забайкальский край;2018;22904
Камчатский край;2018;8249
Приморский край;2018;39963
Хабаровский край ;2018;17099
Амурская область;2018;47637
Магаданская область;2018;2723
Сахалинская область;2018;11147
Еврейская автономная область;2018;5772
Чукотский автономный округ;2018;1334
Центральный федеральный округ;2019;1582777
Белгородская область;2019;265693
Брянская область;2019;91846
Владимирская область;2019;30620
Воронежская область;2019;221944
Ивановская область;2019;17244
Калужская область;2019;51216
Костромская область;2019;16764
Курская область;2019;158870
Липецкая область;2019;134786
Московская область;2019;118482
Орловская область;2019;82455
Рязанская область;2019;65647
Смоленская область;2019;26741
Тамбовская область;2019;136207
Тверская область;2019;40384
Тульская область;2019;80032
Ярославская область;2019;36535
г. Москва;2019;7311
Северо-Западный федеральный округ;2019;267739
Республика Карелия;2019;4463
Республика Коми;2019;10783
Архангельская область;2019;11406
в том числе: ;2019;0
Ненецкий автономный округ;2019;936
Архангельская область без автономного округа;2019;10471
Вологодская область;2019;33062
Калининградская область;2019;40752
Ленинградская область;2019;94466
Мурманская область;2019;1736
Новгородская область;2019;28627
Псковская область;2019;42443
г. Санкт-Петербург;2019;0
Южный             федеральный округ;2019;1013456
Республика Адыгея;2019;25290
Республика Калмыкия;2019;27871
Республика Крым;2019;55007
Краснодарский край;2019;417201
Астраханская область;2019;50410
Волгоградская область;2019;149118
Ростовская область;2019;285455
г. Севастополь;2019;3104
Северо-Кавказский        федеральный округ;2019;492610
Республика Дагестан;2019;133316
Республика Ингушетия;2019;10771
Кабардино-Балкарская Республика;2019;54934
Карачаево-Черкесская Республика;2019;32106
Республика Северная Осетия - Алания;2019;31964
Чеченская Республика;2019;32716
Ставропольский край;2019;196803
Приволжский федеральный округ;2019;1316907
Республика Башкортостан;2019;169683
Республика Марий Эл;2019;49083
Республика Мордовия;2019;71959
Республика Татарстан;2019;248781
Удмуртская Республика;2019;67705
Чувашская Республика;2019;42903
Пермский край;2019;43237
Кировская область;2019;43879
Нижегородская область ;2019;77523
Оренбургская область;2019;113016
Пензенская область;2019;100123
Самарская область;2019;100442
Саратовская область;2019;145143
Ульяновская область;2019;43433
Уральский         федеральный округ;2019;343824
Курганская область;2019;46269
Свердловская область ;2019;92018
Тюменская область;2019;83037
в том числе:;2019;0
Ханты-Мансийский автономный округ - Югра;2019;9417
Ямало-Ненецкий автономный округ;2019;2927
Тюменская область  без автономных округов;2019;70693
Челябинская область;2019;122501
Сибирский        федеральный округ;2019;591447
Республика Алтай;2019;10646
Республика Тыва;2019;6388
Республика Хакасия;2019;13626
Алтайский край;2019;144540
Красноярский край;2019;84865
Иркутская область;2019;62154
Кемеровская область;2019;47807
Новосибирская область ;2019;92988
Омская область;2019;98012
Томская область;2019;30422
Дальневосточный федеральный округ;2019;192651
Республика Бурятия;2019;16493
Республика Саха (Якутия);2019;26121
Забайкальский край;2019;22510
Камчатский край;2019;10129
Приморский край;2019;38140
Хабаровский край ;2019;14586
Амурская область;2019;44736
Магаданская область;2019;2787
Сахалинская область;2019;12157
Еврейская автономная область;2019;3344
Чукотский автономный округ;2019;1649
Центральный федеральный округ;2020;1810427
Белгородская область;2020;288879
Брянская область;2020;97286
Владимирская область;2020;32877
Воронежская область;2020;262330
Ивановская область;2020;19335
Калужская область;2020;54392
Костромская область;2020;18274
Курская область;2020;193342
Липецкая область;2020;163683
Московская область;2020;113662
Орловская область;2020;105739
Рязанская область;2020;86014
Смоленская область;2020;26773
Тамбовская область;2020;170809
Тверская область;2020;39481
Тульская область;2020;92927
Ярославская область;2020;39412
г. Москва;2020;5213
Северо-Западный федеральный округ;2020;284322
Республика Карелия;2020;5205
Республика Коми;2020;12134
Архангельская область;2020;10964
в том числе: ;2020;0
Ненецкий автономный округ;2020;776
Архангельская область без автономного округа;2020;10188
Вологодская область;2020;35976
Калининградская область;2020;46135
Ленинградская область;2020;97120
Мурманская область;2020;1702
Новгородская область;2020;25700
Псковская область;2020;49386
г. Санкт-Петербург;2020;0
Южный             федеральный округ;2020;1113253
Республика Адыгея;2020;31814
Республика Калмыкия;2020;27693
Республика Крым;2020;52444
Краснодарский край;2020;432963
Астраханская область;2020;55488
Волгоградская область;2020;179018
Ростовская область;2020;330795
г. Севастополь;2020;3039
Северо-Кавказский        федеральный округ;2020;513041
Республика Дагестан;2020;154909
Республика Ингушетия;2020;11633
Кабардино-Балкарская Республика;2020;59242
Карачаево-Черкесская Республика;2020;31698
Республика Северная Осетия - Алания;2020;32203
Чеченская Республика;2020;39886
Ставропольский край;2020;183472
Приволжский федеральный округ;2020;1518948
Республика Башкортостан;2020;191805
Республика Марий Эл;2020;44309
Республика Мордовия;2020;77613
Республика Татарстан;2020;264329
Удмуртская Республика;2020;71476
Чувашская Республика;2020;44837
Пермский край;2020;49881
Кировская область;2020;48928
Нижегородская область ;2020;84017
Оренбургская область;2020;141647
Пензенская область;2020;129080
Самарская область;2020;124380
Саратовская область;2020;189775
Ульяновская область;2020;56871
Уральский         федеральный округ;2020;339748
Курганская область;2020;45092
Свердловская область ;2020;93616
Тюменская область;2020;87514
в том числе:;2020;0
Ханты-Мансийский автономный округ - Югра;2020;10308
Ямало-Ненецкий автономный округ;2020;3083
Тюменская область  без автономных округов;2020;74124
Челябинская область;2020;113527
Сибирский        федеральный округ;2020;673000
Республика Алтай;2020;11930
Республика Тыва;2020;8071
Республика Хакасия;2020;14239
Алтайский край;2020;163230
Красноярский край;2020;105973
Иркутская область;2020;67043
Кемеровская область;2020;60589
Новосибирская область ;2020;106302
Омская область;2020;101067
Томская область;2020;34556
Дальневосточный федеральный округ;2020;216095
Республика Бурятия;2020;17054
Республика Саха (Якутия);2020;26512
Забайкальский край;2020;23168
Камчатский край;2020;10011
Приморский край;2020;44560
Хабаровский край ;2020;18175
Амурская область;2020;53896
Магаданская область;2020;2797
Сахалинская область;2020;13914
Еврейская автономная область;2020;4398
Чукотский автономный округ;2020;1610
Центральный федеральный округ;2021;2158407
Белгородская область;2021;343018
Брянская область;2021;118138
Владимирская область;2021;38036
Воронежская область;2021;319446
Ивановская область;2021;22497
Калужская область;2021;60059
Костромская область;2021;19810
Курская область;2021;217405
Липецкая область;2021;180340
Московская область;2021;156743
Орловская область;2021;131546
Рязанская область;2021;99722
Смоленская область;2021;28837
Тамбовская область;2021;213406
Тверская область;2021;46910
Тульская область;2021;108960
Ярославская область;2021;48508
г. Москва;2021;5025
Северо-Западный федеральный округ;2021;327739
Республика Карелия;2021;5622
Республика Коми;2021;13001
Архангельская область;2021;14059
в том числе: ;2021;0
Ненецкий автономный округ;2021;1276
Архангельская область без автономного округа;2021;12783
Вологодская область;2021;41824
Калининградская область;2021;56464
Ленинградская область;2021;110583
Мурманская область;2021;2118
Новгородская область;2021;28807
Псковская область;2021;55262
г. Санкт-Петербург;2021;0
Южный             федеральный округ;2021;1385482
Республика Адыгея;2021;34159
Республика Калмыкия;2021;27222
Республика Крым;2021;73053
Краснодарский край;2021;556249
Астраханская область;2021;63063
Волгоградская область;2021;220377
Ростовская область;2021;408233
г. Севастополь;2021;3125
Северо-Кавказский        федеральный округ;2021;670653
Республика Дагестан;2021;178506
Республика Ингушетия;2021;15547
Кабардино-Балкарская Республика;2021;67971
Карачаево-Черкесская Республика;2021;38583
Республика Северная Осетия - Алания;2021;37871
Чеченская Республика;2021;45008
Ставропольский край;2021;287167
Приволжский федеральный округ;2021;1658348
Республика Башкортостан;2021;193313
Республика Марий Эл;2021;49740
Республика Мордовия;2021;91700
Республика Татарстан;2021;248813
Удмуртская Республика;2021;78743
Чувашская Республика;2021;50209
Пермский край;2021;56195
Кировская область;2021;53918
Нижегородская область ;2021;99795
Оренбургская область;2021;144334
Пензенская область;2021;151136
Самарская область;2021;149381
Саратовская область;2021;231904
Ульяновская область;2021;59169
Уральский         федеральный округ;2021;375627
Курганская область;2021;50923
Свердловская область ;2021;101837
Тюменская область;2021;98696
в том числе:;2021;0
Ханты-Мансийский автономный округ - Югра;2021;8603
Ямало-Ненецкий автономный округ;2021;3777
Тюменская область  без автономных округов;2021;86316
Челябинская область;2021;124170
Сибирский        федеральный округ;2021;869867
Республика Алтай;2021;13129
Республика Тыва;2021;8504
Республика Хакасия;2021;14959
Алтайский край;2021;241625
Красноярский край;2021;122606
Иркутская область;2021;74737
Кемеровская область;2021;80285
Новосибирская область ;2021;148713
Омская область;2021;126168
Томская область;2021;39141
Дальневосточный федеральный округ;2021;264226
Республика Бурятия;2021;19366
Республика Саха (Якутия);2021;27918
Забайкальский край;2021;24917
Камчатский край;2021;11077
Приморский край;2021;62956
Хабаровский край ;2021;18762
Амурская область;2021;74554
Магаданская область;2021;2258
Сахалинская область;2021;15171
Еврейская автономная область;2021;5608
Чукотский автономный округ;2021;1640
