Субъект РФ;Год;Продукция сельского хозяйства (млн. руб.)
Сахалинская область;2003;2862.516
Еврейская автономная область;2003;1626.003
Чукотский автономный округ;2003;211.295
Центральный федеральный округ;2004;260334.4
Белгородская область;2004;26435.283
Брянская область;2004;12547.992
Владимирская область;2004;11039.629
Воронежская область;2004;29283.596
Ивановская область;2004;6006.422
Калужская область;2004;9674.795
Костромская область;2004;7250.797
Курская область;2004;19975.378
Липецкая область;2004;17753.554
Московская область;2004;35351.698
Орловская область;2004;14066.474
Рязанская область;2004;12732.221
Смоленская область;2004;8921.379
Тамбовская область;2004;16278.022
Тверская область;2004;9564.069
Тульская область;2004;14406.382
Ярославская область;2004;9046.735
г. Москва;2004;0
Северо-Западный федеральный округ;2004;66627.373
Республика Карелия;2004;2427.78
Республика Коми;2004;3791.6
Архангельская область;2004;5013.913
в том числе: ;2004;0
Ненецкий автономный округ;2004;307.708
Архангельская область без автономного округа;2004;0
Вологодская область;2004;11958.375
Калининградская область;2004;6519.319
Ленинградская область;2004;23202.983
Мурманская область;2004;1278.112
Новгородская область;2004;5467.06
Псковская область;2004;6968.231
г. Санкт-Петербург;2004;0
Южный             федеральный округ;2004;191103.642
Республика Адыгея;2004;3336.222
Республика Калмыкия;2004;3931.853
Республика Крым;2004;0
Краснодарский край;2004;88087.952
Астраханская область;2004;5747.656
Волгоградская область;2004;33063.507
Ростовская область;2004;56936.452
г. Севастополь;2004;0
Северо-Кавказский        федеральный округ;2004;94709.446
Республика Дагестан;2004;21631.793
Республика Ингушетия;2004;1860.818
Кабардино-Балкарская Республика;2004;13695.274
Карачаево-Черкесская Республика;2004;5257.43
Республика Северная Осетия - Алания;2004;7000.911
Чеченская Республика;2004;3767.573
Ставропольский край;2004;41495.647
Приволжский федеральный округ;2004;322716.554
Республика Башкортостан;2004;55276.07
Республика Марий Эл;2004;8306.243
Республика Мордовия;2004;12702.238
Республика Татарстан;2004;53660.449
Удмуртская Республика;2004;15843.895
Чувашская Республика;2004;11869.482
Пермский край;2004;17600.663
Кировская область;2004;15386.677
Нижегородская область ;2004;22563.104
Оренбургская область;2004;28228.453
Пензенская область;2004;14331.407
Самарская область;2004;22708.662
Саратовская область;2004;34012.731
Ульяновская область;2004;10226.48
Уральский         федеральный округ;2004;82158.855
Курганская область;2004;10679.175
Свердловская область ;2004;24303.004
Тюменская область;2004;21991.136
в том числе:;2004;0
Ханты-Мансийский автономный округ - Югра;2004;2482.124
Ямало-Ненецкий автономный округ;2004;573.118
Тюменская область  без автономных округов;2004;0
Челябинская область;2004;25185.54
Сибирский        федеральный округ;2004;179336.296
Республика Алтай;2004;2870.597
Республика Тыва;2004;2071.919
Республика Хакасия;2004;3844.577
Алтайский край;2004;41466.472
Красноярский край;2004;29730.167
Иркутская область;2004;17824.909
Кемеровская область;2004;15256.882
Новосибирская область ;2004;26569.741
Омская область;2004;31167.914
Томская область;2004;8533.118
Дальневосточный федеральный округ;2004;56250.552
Республика Бурятия;2004;7471.37
Республика Саха (Якутия);2004;10755.372
Забайкальский край;2004;7078.436
Камчатский край;2004;1948.819
Приморский край;2004;8347.058
Хабаровский край ;2004;6364.667
Амурская область;2004;8495.746
Магаданская область;2004;722.172
Сахалинская область;2004;2792.014
Еврейская автономная область;2004;2033.916
Чукотский автономный округ;2004;240.982
Центральный федеральный округ;2005;292951.6
